TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",349219,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46041,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50157,0,0,0,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1386875,0,2,1,False
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",623281,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",635990,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",510989,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",497396,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",973542,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",846927,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",408437,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",333125,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",420156,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",452084,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",633646,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",396719,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1027135,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",455104,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1273177,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",613750,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1573125,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",440105,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",548490,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",591302,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1029271,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",505729,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",382865,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",413021,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",533698,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",489428,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",579427,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",416980,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3607031,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",651250,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",433698,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",281094,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",614218,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",406979,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",512604,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",408542,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1132031,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",263802,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",355729,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",403177,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",658021,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",499739,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",550625,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",519688,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1142656,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",682448,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",380781,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",505573,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",556615,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",534479,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1771146,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",596250,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1417135,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",698125,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",522552,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",424167,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",998021,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",564844,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",731302,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",498490,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1183750,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",380990,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",556198,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",506198,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",573021,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",573177,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2564896,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",589844,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1364843,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",428073,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",484531,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",768750,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",522396,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",516250,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1188698,0,3,1,True
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",655781,0,3,1,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",349218,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",80990,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",837917,0,1,1,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45520,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",793177,0,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42396,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",344010,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44323,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",323750,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65937,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",328906,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43802,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",415156,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51302,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",754010,1,1,3,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48073,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",736823,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48645,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",820782,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58542,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",565729,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61615,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",196927,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71718,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",456614,0,1,1,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",36511,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",227969,0,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",30156,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",383177,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47135,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",296198,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40990,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",336771,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",82604,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",283386,1,1,2,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43958,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",518698,1,1,3,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55937,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2513385,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70260,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",431458,1,1,4,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46667,0,0,0,True
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",404636,1,1,4,True
