datetime,cpu,mem
Tue Aug  4 12:01:45 GMT 2020,1.4,130109
Tue Aug  4 12:01:46 GMT 2020,1.4,147604
Tue Aug  4 12:01:46 GMT 2020,1.4,147588
Tue Aug  4 12:01:46 GMT 2020,1.4,147616
Tue Aug  4 12:01:47 GMT 2020,1.4,147658
Tue Aug  4 12:01:47 GMT 2020,1.4,147658
Tue Aug  4 12:01:48 GMT 2020,1.4,147658
Tue Aug  4 12:01:48 GMT 2020,1.4,147658
Tue Aug  4 12:01:48 GMT 2020,1.4,147283
Tue Aug  4 12:01:49 GMT 2020,1.4,147425
Tue Aug  4 12:01:49 GMT 2020,1.4,147505
Tue Aug  4 12:01:49 GMT 2020,1.4,147505
Tue Aug  4 12:01:50 GMT 2020,1.4,147502
Tue Aug  4 12:01:50 GMT 2020,18,151135
Tue Aug  4 12:01:51 GMT 2020,18,151282
Tue Aug  4 12:01:51 GMT 2020,18,152201
Tue Aug  4 12:01:51 GMT 2020,18,153115
Tue Aug  4 12:01:52 GMT 2020,18,158449
Tue Aug  4 12:01:52 GMT 2020,18,161709
Tue Aug  4 12:01:52 GMT 2020,18,161709
Tue Aug  4 12:01:53 GMT 2020,18,161709
Tue Aug  4 12:01:53 GMT 2020,18,161529
Tue Aug  4 12:01:54 GMT 2020,18,161549
Tue Aug  4 12:01:54 GMT 2020,18,161553
Tue Aug  4 12:01:55 GMT 2020,18,161557
Tue Aug  4 12:01:55 GMT 2020,18,161569
Tue Aug  4 12:01:55 GMT 2020,18,161569
Tue Aug  4 12:01:56 GMT 2020,18,161569
Tue Aug  4 12:01:56 GMT 2020,18,161569
Tue Aug  4 12:01:57 GMT 2020,18,161569
Tue Aug  4 12:01:57 GMT 2020,18,161569
Tue Aug  4 12:01:57 GMT 2020,18,161569
Tue Aug  4 12:01:58 GMT 2020,18,161569
Tue Aug  4 12:01:58 GMT 2020,18,161568
Tue Aug  4 12:01:59 GMT 2020,18,161803
Tue Aug  4 12:01:59 GMT 2020,15,165680
Tue Aug  4 12:01:59 GMT 2020,15,165977
Tue Aug  4 12:02:00 GMT 2020,15,167943
Tue Aug  4 12:02:00 GMT 2020,15,167606
Tue Aug  4 12:02:00 GMT 2020,15,167606
Tue Aug  4 12:02:01 GMT 2020,15,167606
Tue Aug  4 12:02:01 GMT 2020,15,167630
Tue Aug  4 12:02:02 GMT 2020,15,167630
Tue Aug  4 12:02:02 GMT 2020,15,167630
Tue Aug  4 12:02:03 GMT 2020,15,167630
Tue Aug  4 12:02:03 GMT 2020,15,167630
Tue Aug  4 12:02:03 GMT 2020,15,167518
Tue Aug  4 12:02:04 GMT 2020,15,167574
Tue Aug  4 12:02:04 GMT 2020,15,167622
Tue Aug  4 12:02:05 GMT 2020,15,167630
Tue Aug  4 12:02:05 GMT 2020,15,167634
Tue Aug  4 12:02:06 GMT 2020,15,167634
Tue Aug  4 12:02:06 GMT 2020,15,167634
Tue Aug  4 12:02:06 GMT 2020,15,167634
Tue Aug  4 12:02:07 GMT 2020,15,167634
Tue Aug  4 12:02:07 GMT 2020,15,167634
Tue Aug  4 12:02:08 GMT 2020,15,167634
Tue Aug  4 12:02:08 GMT 2020,15,167634
Tue Aug  4 12:02:09 GMT 2020,15,167618
Tue Aug  4 12:02:09 GMT 2020,15,167582
Tue Aug  4 12:02:09 GMT 2020,15,167586
Tue Aug  4 12:02:10 GMT 2020,15,167590
Tue Aug  4 12:02:10 GMT 2020,15,167594
Tue Aug  4 12:02:11 GMT 2020,15,167594
Tue Aug  4 12:02:11 GMT 2020,15,167593
Tue Aug  4 12:02:11 GMT 2020,15,167545
Tue Aug  4 12:02:12 GMT 2020,15,134374
Tue Aug  4 12:02:12 GMT 2020,15,133962
Tue Aug  4 12:02:12 GMT 2020,15,133966
Tue Aug  4 12:02:13 GMT 2020,15,133963
Tue Aug  4 12:02:13 GMT 2020,15,167588
