Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
36,2543360,37,0,0,88,38
89,2543472,90,0,0,189,28
190,2544136,190,0,0,292,15
294,2544036,296,0,0,393,11
396,2544684,397,0,0,490,18
491,2545308,492,0,0,593,16
596,2545580,597,0,0,693,15
697,2544796,700,0,0,793,9
803,2545416,804,0,0,892,25
893,2545316,894,0,0,992,17
993,2545108,993,0,0,1094,7
1096,2544100,1097,0,0,1195,11
1197,2544452,1197,0,0,1294,18
1296,2545060,1296,0,0,1400,18
1403,2545060,1405,0,0,1498,10
1500,2544472,1502,0,0,1599,8
1600,2544532,1601,0,0,1697,16
1698,2545380,1698,0,0,1797,13
1798,2545380,1799,0,0,1899,14
1901,2544812,1902,0,0,2001,5
2003,2544812,2005,0,0,2099,15
2100,2545020,2101,0,0,2201,13
2202,2545280,2203,0,0,2301,9
2303,2544300,2304,0,0,2401,7
2403,2544432,2403,0,0,2501,17
2502,2545124,2502,0,0,2604,15
2606,2545384,2608,0,0,2704,14
2706,2544600,2708,0,0,2804,6
2807,2544892,2808,0,0,2903,17
2903,2545104,2904,0,0,3004,14
3008,2545104,3011,0,0,3105,14
3107,2550108,3107,0,0,3204,19
3205,2563132,3205,0,0,3304,27
3305,2561872,3306,0,0,3405,18
3406,2543252,3406,0,0,3507,7
3509,2543376,3510,0,0,3606,17
3608,2543940,3609,0,0,3706,30
3707,2544396,3707,0,0,3808,25
3810,2544964,3811,0,0,3908,20
3910,2546436,3911,0,0,4008,25
4009,2548588,4009,0,0,4107,27
4108,2549960,4108,0,0,4208,22
4209,2550244,4210,0,0,4308,27
4308,2545960,4309,0,0,4409,19
4410,2546188,4411,0,0,4509,24
4509,2545992,4509,0,0,4612,11
4613,2545992,4613,0,0,4712,21
4713,2547536,4713,0,0,4811,27
4812,2547472,4812,0,0,4912,18
4912,2546884,4912,0,0,5012,18
5012,2547840,5013,0,0,5113,17
5113,2548284,5114,0,0,5213,13
5213,2548304,5214,0,0,5313,0
5314,2548304,5314,0,0,5414,25
5414,2549132,5415,0,0,5514,38
5514,2554180,5515,0,0,5614,30
5615,2556824,5615,0,0,5715,7
5716,2557192,5716,0,0,5816,16
5816,2557472,5817,0,0,5916,16
5916,2552376,5917,0,0,6017,6
6018,2551984,6019,0,0,6117,14
6117,2552200,6118,0,0,6218,16
6219,2552324,6219,0,0,6318,12
6318,2552324,6319,0,0,6419,5
6420,2551540,6420,0,0,6520,11
6520,2551676,6521,0,0,6620,20
6621,2553264,6621,0,0,6720,14
6721,2553264,6721,0,0,6820,10
6821,2552088,6821,0,0,6922,8
6923,2552336,6924,0,0,7022,15
