datetime,cpu,mem
Mon Aug  3 22:34:52 GMT 2020,4.8,98269
Mon Aug  3 22:34:53 GMT 2020,4.8,98802
Mon Aug  3 22:34:53 GMT 2020,4.8,98854
Mon Aug  3 22:34:53 GMT 2020,4.8,98870
Mon Aug  3 22:34:54 GMT 2020,4.8,98870
Mon Aug  3 22:34:54 GMT 2020,4.8,98866
Mon Aug  3 22:34:55 GMT 2020,4.8,98866
Mon Aug  3 22:34:55 GMT 2020,4.8,98866
Mon Aug  3 22:34:55 GMT 2020,4.8,98866
Mon Aug  3 22:34:56 GMT 2020,16,97770
Mon Aug  3 22:34:56 GMT 2020,16,97786
Mon Aug  3 22:34:56 GMT 2020,16,97790
Mon Aug  3 22:34:57 GMT 2020,16,97789
Mon Aug  3 22:34:57 GMT 2020,16,97756
Mon Aug  3 22:34:57 GMT 2020,16,102438
Mon Aug  3 22:34:58 GMT 2020,16,102850
Mon Aug  3 22:34:58 GMT 2020,16,109847
Mon Aug  3 22:34:58 GMT 2020,16,111771
Mon Aug  3 22:34:59 GMT 2020,16,121913
Mon Aug  3 22:34:59 GMT 2020,16,121885
Mon Aug  3 22:35:00 GMT 2020,16,121890
Mon Aug  3 22:35:00 GMT 2020,16,121890
Mon Aug  3 22:35:01 GMT 2020,16,120558
Mon Aug  3 22:35:01 GMT 2020,20,120574
Mon Aug  3 22:35:01 GMT 2020,20,120586
Mon Aug  3 22:35:02 GMT 2020,20,120590
Mon Aug  3 22:35:02 GMT 2020,20,120590
Mon Aug  3 22:35:03 GMT 2020,20,120594
Mon Aug  3 22:35:03 GMT 2020,20,120594
Mon Aug  3 22:35:04 GMT 2020,20,120594
Mon Aug  3 22:35:04 GMT 2020,20,120594
Mon Aug  3 22:35:04 GMT 2020,20,120594
Mon Aug  3 22:35:05 GMT 2020,20,120614
Mon Aug  3 22:35:05 GMT 2020,20,120614
Mon Aug  3 22:35:06 GMT 2020,20,120614
Mon Aug  3 22:35:06 GMT 2020,15,120586
Mon Aug  3 22:35:06 GMT 2020,15,120594
Mon Aug  3 22:35:07 GMT 2020,15,120598
Mon Aug  3 22:35:07 GMT 2020,15,120598
Mon Aug  3 22:35:08 GMT 2020,15,120597
Mon Aug  3 22:35:08 GMT 2020,15,123476
Mon Aug  3 22:35:08 GMT 2020,15,170172
Mon Aug  3 22:35:09 GMT 2020,15,191419
Mon Aug  3 22:35:09 GMT 2020,15,192436
Mon Aug  3 22:35:10 GMT 2020,15,195501
Mon Aug  3 22:35:10 GMT 2020,15,194941
Mon Aug  3 22:35:11 GMT 2020,15,194101
Mon Aug  3 22:35:11 GMT 2020,24,192673
Mon Aug  3 22:35:11 GMT 2020,24,192689
Mon Aug  3 22:35:12 GMT 2020,24,192693
Mon Aug  3 22:35:12 GMT 2020,24,192701
Mon Aug  3 22:35:13 GMT 2020,24,192701
Mon Aug  3 22:35:13 GMT 2020,24,192705
Mon Aug  3 22:35:14 GMT 2020,24,192705
Mon Aug  3 22:35:14 GMT 2020,24,192705
Mon Aug  3 22:35:15 GMT 2020,24,192705
Mon Aug  3 22:35:15 GMT 2020,24,192705
Mon Aug  3 22:35:16 GMT 2020,15,192677
Mon Aug  3 22:35:16 GMT 2020,15,192693
Mon Aug  3 22:35:17 GMT 2020,15,192699
Mon Aug  3 22:35:17 GMT 2020,15,192703
Mon Aug  3 22:35:18 GMT 2020,15,192707
Mon Aug  3 22:35:18 GMT 2020,15,192707
Mon Aug  3 22:35:18 GMT 2020,15,192722
Mon Aug  3 22:35:19 GMT 2020,15,192722
Mon Aug  3 22:35:19 GMT 2020,15,192722
Mon Aug  3 22:35:20 GMT 2020,15,192722
Mon Aug  3 22:35:20 GMT 2020,15,192693
Mon Aug  3 22:35:21 GMT 2020,15,191995
Mon Aug  3 22:35:21 GMT 2020,17,191664
Mon Aug  3 22:35:22 GMT 2020,17,185544
Mon Aug  3 22:35:22 GMT 2020,17,185948
Mon Aug  3 22:35:22 GMT 2020,17,188001
Mon Aug  3 22:35:23 GMT 2020,17,179078
Mon Aug  3 22:35:23 GMT 2020,17,211143
Mon Aug  3 22:35:24 GMT 2020,17,214209
Mon Aug  3 22:35:24 GMT 2020,17,214331
Mon Aug  3 22:35:25 GMT 2020,17,214327
Mon Aug  3 22:35:25 GMT 2020,17,210531
Mon Aug  3 22:35:26 GMT 2020,0,210335
Mon Aug  3 22:35:26 GMT 2020,0,209550
Mon Aug  3 22:35:27 GMT 2020,0,209230
Mon Aug  3 22:35:27 GMT 2020,0,209272
Mon Aug  3 22:35:28 GMT 2020,0,192745
Mon Aug  3 22:35:28 GMT 2020,0,192744
Mon Aug  3 22:35:29 GMT 2020,0,237267
Mon Aug  3 22:35:29 GMT 2020,0,190348
Mon Aug  3 22:35:30 GMT 2020,0,189273
Mon Aug  3 22:35:30 GMT 2020,0,189927
Mon Aug  3 22:35:31 GMT 2020,0,206746
Mon Aug  3 22:35:31 GMT 2020,0,190747
Mon Aug  3 22:35:32 GMT 2020,0,190739
Mon Aug  3 22:35:32 GMT 2020,0,190747
Mon Aug  3 22:35:33 GMT 2020,0,190771
Mon Aug  3 22:35:33 GMT 2020,0,190767
Mon Aug  3 22:35:34 GMT 2020,0,190767
Mon Aug  3 22:35:34 GMT 2020,0,190767
Mon Aug  3 22:35:35 GMT 2020,0,190767
Mon Aug  3 22:35:35 GMT 2020,0,190747
Mon Aug  3 22:35:36 GMT 2020,0,190747
Mon Aug  3 22:35:36 GMT 2020,21,190707
Mon Aug  3 22:35:37 GMT 2020,21,190723
Mon Aug  3 22:35:37 GMT 2020,21,190727
Mon Aug  3 22:35:38 GMT 2020,21,190731
Mon Aug  3 22:35:38 GMT 2020,21,190700
Mon Aug  3 22:35:39 GMT 2020,21,190700
Mon Aug  3 22:35:39 GMT 2020,21,190692
Mon Aug  3 22:35:40 GMT 2020,21,190692
Mon Aug  3 22:35:40 GMT 2020,21,190692
Mon Aug  3 22:35:41 GMT 2020,21,190667
Mon Aug  3 22:35:41 GMT 2020,0,190643
Mon Aug  3 22:35:41 GMT 2020,0,183769
Mon Aug  3 22:35:42 GMT 2020,0,202057
Mon Aug  3 22:35:42 GMT 2020,0,202049
Mon Aug  3 22:35:43 GMT 2020,0,202886
Mon Aug  3 22:35:43 GMT 2020,0,202894
Mon Aug  3 22:35:44 GMT 2020,0,202378
Mon Aug  3 22:35:44 GMT 2020,0,202378
Mon Aug  3 22:35:45 GMT 2020,0,201626
Mon Aug  3 22:35:45 GMT 2020,0,201600
Mon Aug  3 22:35:46 GMT 2020,0,200521
Mon Aug  3 22:35:46 GMT 2020,0,200778
Mon Aug  3 22:35:47 GMT 2020,0,192407
Mon Aug  3 22:35:47 GMT 2020,0,192391
Mon Aug  3 22:35:48 GMT 2020,0,193198
Mon Aug  3 22:35:48 GMT 2020,0,191066
Mon Aug  3 22:35:49 GMT 2020,0,190482
Mon Aug  3 22:35:49 GMT 2020,0,191175
Mon Aug  3 22:35:49 GMT 2020,0,191223
Mon Aug  3 22:35:50 GMT 2020,0,176718
Mon Aug  3 22:35:50 GMT 2020,0,197634
Mon Aug  3 22:35:51 GMT 2020,0,195130
Mon Aug  3 22:35:51 GMT 2020,0,195194
Mon Aug  3 22:35:52 GMT 2020,0,194846
Mon Aug  3 22:35:53 GMT 2020,0,194862
Mon Aug  3 22:35:53 GMT 2020,0,194866
Mon Aug  3 22:35:54 GMT 2020,0,194870
Mon Aug  3 22:35:54 GMT 2020,0,194874
Mon Aug  3 22:35:55 GMT 2020,0,194874
Mon Aug  3 22:35:55 GMT 2020,0,194874
Mon Aug  3 22:35:56 GMT 2020,0,194874
Mon Aug  3 22:35:56 GMT 2020,0,194874
Mon Aug  3 22:35:57 GMT 2020,0,194874
Mon Aug  3 22:35:57 GMT 2020,0,194846
Mon Aug  3 22:35:58 GMT 2020,0,194862
Mon Aug  3 22:35:58 GMT 2020,0,194854
Mon Aug  3 22:35:59 GMT 2020,0,194858
Mon Aug  3 22:36:00 GMT 2020,0,194861
Mon Aug  3 22:36:00 GMT 2020,0,194769
Mon Aug  3 22:36:00 GMT 2020,0,170286
Mon Aug  3 22:36:01 GMT 2020,0,204182
Mon Aug  3 22:36:01 GMT 2020,0,204138
Mon Aug  3 22:36:02 GMT 2020,0,205550
Mon Aug  3 22:36:02 GMT 2020,0,205546
Mon Aug  3 22:36:03 GMT 2020,0,205166
Mon Aug  3 22:36:03 GMT 2020,0,205182
Mon Aug  3 22:36:04 GMT 2020,0,204798
Mon Aug  3 22:36:04 GMT 2020,0,204802
Mon Aug  3 22:36:05 GMT 2020,0,204802
Mon Aug  3 22:36:06 GMT 2020,0,204802
Mon Aug  3 22:36:06 GMT 2020,0,204762
Mon Aug  3 22:36:07 GMT 2020,0,204762
Mon Aug  3 22:36:07 GMT 2020,0,204762
Mon Aug  3 22:36:08 GMT 2020,0,204738
Mon Aug  3 22:36:08 GMT 2020,0,204754
Mon Aug  3 22:36:09 GMT 2020,0,204758
Mon Aug  3 22:36:09 GMT 2020,0,204714
Mon Aug  3 22:36:10 GMT 2020,0,204706
Mon Aug  3 22:36:10 GMT 2020,0,204706
Mon Aug  3 22:36:11 GMT 2020,0,204706
Mon Aug  3 22:36:11 GMT 2020,0,204706
Mon Aug  3 22:36:12 GMT 2020,0,204706
Mon Aug  3 22:36:12 GMT 2020,0,204583
Mon Aug  3 22:36:13 GMT 2020,0,188566
Mon Aug  3 22:36:13 GMT 2020,0,204302
Mon Aug  3 22:36:14 GMT 2020,0,195990
Mon Aug  3 22:36:14 GMT 2020,0,195902
Mon Aug  3 22:36:15 GMT 2020,0,217694
Mon Aug  3 22:36:15 GMT 2020,0,216187
Mon Aug  3 22:36:16 GMT 2020,0,216983
Mon Aug  3 22:36:16 GMT 2020,0,217643
Mon Aug  3 22:36:16 GMT 2020,0,218301
Mon Aug  3 22:36:17 GMT 2020,0,217901
Mon Aug  3 22:36:18 GMT 2020,0,214057
Mon Aug  3 22:36:18 GMT 2020,0,213768
Mon Aug  3 22:36:19 GMT 2020,0,213658
Mon Aug  3 22:36:20 GMT 2020,0,197618
Mon Aug  3 22:36:20 GMT 2020,0,201399
Mon Aug  3 22:36:21 GMT 2020,0,197873
Mon Aug  3 22:36:21 GMT 2020,71,197807
Mon Aug  3 22:36:21 GMT 2020,71,195442
Mon Aug  3 22:36:22 GMT 2020,71,195285
Mon Aug  3 22:36:22 GMT 2020,71,195781
Mon Aug  3 22:36:23 GMT 2020,71,195794
Mon Aug  3 22:36:23 GMT 2020,71,197835
Mon Aug  3 22:36:24 GMT 2020,71,197751
Mon Aug  3 22:36:25 GMT 2020,71,197775
Mon Aug  3 22:36:25 GMT 2020,71,197775
Mon Aug  3 22:36:26 GMT 2020,71,197755
Mon Aug  3 22:36:26 GMT 2020,0,197755
Mon Aug  3 22:36:27 GMT 2020,0,197755
Mon Aug  3 22:36:27 GMT 2020,0,197755
Mon Aug  3 22:36:28 GMT 2020,0,197755
Mon Aug  3 22:36:29 GMT 2020,0,197655
Mon Aug  3 22:36:29 GMT 2020,0,197671
Mon Aug  3 22:36:30 GMT 2020,0,197675
Mon Aug  3 22:36:30 GMT 2020,0,197679
Mon Aug  3 22:36:31 GMT 2020,0,197667
Mon Aug  3 22:36:31 GMT 2020,0,197667
Mon Aug  3 22:36:32 GMT 2020,0,197667
Mon Aug  3 22:36:32 GMT 2020,0,197667
Mon Aug  3 22:36:33 GMT 2020,0,197667
Mon Aug  3 22:36:33 GMT 2020,0,197603
Mon Aug  3 22:36:34 GMT 2020,0,197578
Mon Aug  3 22:36:34 GMT 2020,0,174303
Mon Aug  3 22:36:35 GMT 2020,0,208087
Mon Aug  3 22:36:35 GMT 2020,0,208087
Mon Aug  3 22:36:36 GMT 2020,0,209247
Mon Aug  3 22:36:36 GMT 2020,23,209247
Mon Aug  3 22:36:37 GMT 2020,23,209063
Mon Aug  3 22:36:37 GMT 2020,23,209063
Mon Aug  3 22:36:38 GMT 2020,23,208674
Mon Aug  3 22:36:38 GMT 2020,23,208331
Mon Aug  3 22:36:39 GMT 2020,23,208423
Mon Aug  3 22:36:39 GMT 2020,23,199587
Mon Aug  3 22:36:40 GMT 2020,23,199538
Mon Aug  3 22:36:40 GMT 2020,23,199450
Mon Aug  3 22:36:41 GMT 2020,23,198154
Mon Aug  3 22:36:41 GMT 2020,25,196314
Mon Aug  3 22:36:42 GMT 2020,25,197016
Mon Aug  3 22:36:42 GMT 2020,25,197088
Mon Aug  3 22:36:43 GMT 2020,25,197297
