datetime,cpu,mem
Tue Aug  4 11:54:38 GMT 2020,19,188050
Tue Aug  4 11:54:38 GMT 2020,19,205325
Tue Aug  4 11:54:39 GMT 2020,19,174997
Tue Aug  4 11:54:39 GMT 2020,19,212696
Tue Aug  4 11:54:40 GMT 2020,19,218399
Tue Aug  4 11:54:40 GMT 2020,19,223190
Tue Aug  4 11:54:41 GMT 2020,19,223296
Tue Aug  4 11:54:41 GMT 2020,19,222368
Tue Aug  4 11:54:42 GMT 2020,19,222388
Tue Aug  4 11:54:42 GMT 2020,19,222389
Tue Aug  4 11:54:43 GMT 2020,19,222397
Tue Aug  4 11:54:43 GMT 2020,19,222397
Tue Aug  4 11:54:43 GMT 2020,19,222401
Tue Aug  4 11:54:44 GMT 2020,19,222397
Tue Aug  4 11:54:44 GMT 2020,19,222397
Tue Aug  4 11:54:45 GMT 2020,19,222390
Tue Aug  4 11:54:45 GMT 2020,19,217141
Tue Aug  4 11:54:46 GMT 2020,19,232278
Tue Aug  4 11:54:46 GMT 2020,19,237557
Tue Aug  4 11:54:46 GMT 2020,19,235539
Tue Aug  4 11:54:47 GMT 2020,19,235711
Tue Aug  4 11:54:47 GMT 2020,19,235724
Tue Aug  4 11:54:48 GMT 2020,19,235724
Tue Aug  4 11:54:48 GMT 2020,19,235732
Tue Aug  4 11:54:49 GMT 2020,19,235733
Tue Aug  4 11:54:49 GMT 2020,19,235733
Tue Aug  4 11:54:50 GMT 2020,19,235765
Tue Aug  4 11:54:50 GMT 2020,19,245942
Tue Aug  4 11:54:51 GMT 2020,19,247252
Tue Aug  4 11:54:51 GMT 2020,19,244239
Tue Aug  4 11:54:52 GMT 2020,19,239355
Tue Aug  4 11:54:52 GMT 2020,19,239375
Tue Aug  4 11:54:53 GMT 2020,19,239384
Tue Aug  4 11:54:53 GMT 2020,19,239380
Tue Aug  4 11:54:54 GMT 2020,19,239380
Tue Aug  4 11:54:54 GMT 2020,19,239369
Tue Aug  4 11:54:55 GMT 2020,19,205402
Tue Aug  4 11:54:55 GMT 2020,19,205078
Tue Aug  4 11:54:56 GMT 2020,19,221594
Tue Aug  4 11:54:56 GMT 2020,19,221583
Tue Aug  4 11:54:57 GMT 2020,19,230027
Tue Aug  4 11:54:57 GMT 2020,19,255860
Tue Aug  4 11:54:58 GMT 2020,19,249260
Tue Aug  4 11:54:58 GMT 2020,19,244968
Tue Aug  4 11:54:59 GMT 2020,19,244965
Tue Aug  4 11:54:59 GMT 2020,19,207452
Tue Aug  4 11:55:00 GMT 2020,19,207152
Tue Aug  4 11:55:00 GMT 2020,19,207124
Tue Aug  4 11:55:01 GMT 2020,19,207116
Tue Aug  4 11:55:01 GMT 2020,19,249178
Tue Aug  4 11:55:02 GMT 2020,19,249426
Tue Aug  4 11:55:02 GMT 2020,19,254519
Tue Aug  4 11:55:03 GMT 2020,19,246098
Tue Aug  4 11:55:03 GMT 2020,19,246100
Tue Aug  4 11:55:04 GMT 2020,19,212993
Tue Aug  4 11:55:04 GMT 2020,19,208046
Tue Aug  4 11:55:05 GMT 2020,19,224684
Tue Aug  4 11:55:06 GMT 2020,19,224649
Tue Aug  4 11:55:06 GMT 2020,19,249942
Tue Aug  4 11:55:07 GMT 2020,19,252575
Tue Aug  4 11:55:07 GMT 2020,19,242691
Tue Aug  4 11:55:08 GMT 2020,19,242879
Tue Aug  4 11:55:09 GMT 2020,19,242895
Tue Aug  4 11:55:09 GMT 2020,19,242895
Tue Aug  4 11:55:10 GMT 2020,19,242901
Tue Aug  4 11:55:11 GMT 2020,19,225691
Tue Aug  4 11:55:11 GMT 2020,19,225195
Tue Aug  4 11:55:12 GMT 2020,19,225051
Tue Aug  4 11:55:12 GMT 2020,19,225041
Tue Aug  4 11:55:13 GMT 2020,19,224831
Tue Aug  4 11:55:13 GMT 2020,19,225279
Tue Aug  4 11:55:14 GMT 2020,19,224795
Tue Aug  4 11:55:14 GMT 2020,19,261690
Tue Aug  4 11:55:15 GMT 2020,19,259290
Tue Aug  4 11:55:15 GMT 2020,19,247586
Tue Aug  4 11:55:16 GMT 2020,19,243238
Tue Aug  4 11:55:16 GMT 2020,19,243238
Tue Aug  4 11:55:17 GMT 2020,19,243238
Tue Aug  4 11:55:18 GMT 2020,19,243238
Tue Aug  4 11:55:18 GMT 2020,19,243098
Tue Aug  4 11:55:19 GMT 2020,19,243112
Tue Aug  4 11:55:19 GMT 2020,19,235767
Tue Aug  4 11:55:20 GMT 2020,19,257303
Tue Aug  4 11:55:20 GMT 2020,19,249999
Tue Aug  4 11:55:21 GMT 2020,19,246203
Tue Aug  4 11:55:22 GMT 2020,19,246212
Tue Aug  4 11:55:22 GMT 2020,19,246208
Tue Aug  4 11:55:23 GMT 2020,19,245148
Tue Aug  4 11:55:24 GMT 2020,19,261754
Tue Aug  4 11:55:24 GMT 2020,19,210224
Tue Aug  4 11:55:25 GMT 2020,19,226152
Tue Aug  4 11:55:25 GMT 2020,19,226152
Tue Aug  4 11:55:26 GMT 2020,19,226263
Tue Aug  4 11:55:26 GMT 2020,19,226695
Tue Aug  4 11:55:27 GMT 2020,19,226383
Tue Aug  4 11:55:27 GMT 2020,19,246609
Tue Aug  4 11:55:28 GMT 2020,19,246939
