Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
2,2700788,3,660,0,80,31
81,2663264,81,660,0,181,30
182,2672024,183,660,0,282,32
283,2676084,283,660,0,383,32
384,2676704,384,660,0,483,14
484,2676044,484,660,0,583,37
584,2683636,585,660,0,684,36
685,2690052,685,660,0,783,35
784,2694672,785,660,0,884,27
885,2700820,886,660,0,985,24
986,2703636,987,660,0,1086,27
1088,2702556,1091,660,0,1186,27
1186,2702012,1187,660,0,1286,13
1287,2704148,1287,660,0,1386,31
1386,2708976,1387,660,0,1486,21
1487,2709664,1487,660,0,1588,22
1589,2708964,1590,660,0,1690,17
1691,2708688,1692,660,0,1788,30
1789,2709456,1789,660,0,1888,21
1889,2709564,1889,660,0,1990,21
1992,2709564,1993,660,0,2091,19
2093,2708976,2094,660,0,2193,15
2195,2708976,2196,660,0,2291,19
2293,2709628,2294,660,0,2391,18
2392,2709876,2392,660,0,2493,17
2494,2710144,2495,660,0,2594,17
2596,2709316,2597,660,0,2698,7
2700,2709288,2701,660,0,2793,21
2794,2710268,2795,660,0,2893,15
2894,2709092,2895,660,0,2995,24
2996,2709692,2996,660,0,3095,24
3096,2710052,3097,660,0,3195,23
3196,2703960,3196,660,0,3296,28
3297,2709056,3297,660,0,3396,20
3397,2676524,3397,660,0,3497,8
3498,2676380,3499,660,0,3599,5
3601,2675952,3602,660,0,3697,26
3698,2677040,3699,660,0,3798,26
3799,2677352,3800,660,0,3898,27
3899,2677364,3899,660,0,4001,5
4003,2676776,4004,660,0,4100,16
4101,2676808,4102,660,0,4199,17
4200,2677216,4201,660,0,4301,17
4303,2677216,4305,660,0,4403,19
4405,2676824,4406,660,0,4503,8
4509,2676824,4512,660,0,4602,17
4603,2677472,4604,660,0,4702,18
4703,2677680,4703,660,0,4804,21
4806,2677652,4808,660,0,4905,15
4907,2677064,4909,660,0,5005,12
5007,2677516,5009,660,0,5104,22
5105,2678204,5105,660,0,5206,18
5209,2678484,5210,660,0,5306,20
5308,2678288,5309,660,0,5407,12
5409,2677896,5410,660,0,5507,15
5508,2678284,5509,660,0,5607,18
5608,2678344,5608,660,0,5712,13
5714,2678796,5715,660,0,5810,21
5812,2678796,5813,660,0,5911,6
5915,2677816,5917,660,0,6010,27
6011,2679260,6011,660,0,6110,26
6111,2680316,6112,660,0,6212,28
6214,2681568,6215,660,0,6313,23
6316,2683220,6316,660,0,6412,24
6413,2685456,6413,660,0,6512,29
6513,2686852,6515,660,0,6612,34
6612,2695708,6613,660,0,6712,29
6712,2691600,6713,660,0,6813,9
6815,2691488,6815,660,0,6913,28
6913,2691404,6913,660,0,7013,32
7014,2700236,7014,660,0,7113,26
7114,2691580,7114,660,0,7214,22
7214,2700368,7215,660,0,7314,24
7315,2701852,7315,660,0,7415,29
7416,2693012,7416,660,0,7516,20
7516,2692908,7516,660,0,7617,6
7617,2692948,7618,660,0,7717,15
7717,2694832,7718,660,0,7817,15
7817,2695080,7817,660,0,7917,17
7917,2695080,7918,660,0,8017,11
8018,2694544,8018,660,0,8118,2
8119,2694760,8119,660,0,8219,17
8220,2695472,8220,660,0,8320,14
8321,2695472,8322,660,0,8419,16
8420,2695472,8420,660,0,8520,10
8520,2695136,8521,660,0,8621,7
8621,2694908,8621,660,0,8722,15
8722,2696336,8723,660,0,8821,17
8822,2696336,8822,660,0,8922,14
8923,2696584,8923,660,0,9023,6
9023,2695800,9024,660,0,9125,8
