Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
15,2674880,16,0,0,92,29
94,2675440,94,0,0,193,16
194,2675048,194,0,0,296,6
301,2675712,303,0,0,394,14
396,2676256,397,0,0,495,18
496,2676852,497,0,0,596,15
599,2675740,600,0,0,696,7
698,2676016,699,0,0,795,18
797,2677228,797,0,0,896,17
897,2681672,898,0,0,997,12
999,2674916,1000,0,0,1097,13
1098,2675536,1099,0,0,1197,15
1199,2675620,1199,0,0,1297,25
1298,2694428,1298,0,0,1398,13
1399,2691244,1400,0,0,1498,21
1499,2672448,1500,0,0,1598,15
1599,2673804,1600,0,0,1699,6
1701,2674392,1702,0,0,1799,18
1800,2674632,1801,0,0,1901,14
1905,2675620,1907,0,0,2002,18
2004,2674836,2006,0,0,2104,3
2108,2675076,2110,0,0,2202,12
2205,2675676,2206,0,0,2302,20
2304,2675084,2305,0,0,2402,16
2403,2674804,2404,0,0,2507,3
2510,2675060,2511,0,0,2603,16
2605,2675396,2606,0,0,2704,20
2706,2675664,2707,0,0,2806,13
2809,2674840,2810,0,0,2908,17
2913,2674840,2914,0,0,3006,22
3008,2676472,3008,0,0,3106,17
3109,2676472,3110,0,0,3209,12
3211,2675688,3212,0,0,3310,7
3312,2675748,3313,0,0,3409,18
3412,2676672,3413,0,0,3509,14
3511,2676672,3511,0,0,3611,11
3613,2676384,3614,0,0,3711,18
3713,2676376,3713,0,0,3809,35
3810,2675420,3811,0,0,3912,25
3914,2675908,3916,0,0,4012,22
4015,2676900,4016,0,0,4111,28
4112,2678704,4113,0,0,4211,38
4211,2678932,4212,0,0,4311,32
4312,2682024,4312,0,0,4412,18
4412,2676800,4413,0,0,4513,25
4514,2676808,4514,0,0,4612,22
4613,2676612,4613,0,0,4713,19
4714,2678012,4714,0,0,4813,36
4814,2687256,4814,0,0,4913,29
4914,2700972,4914,0,0,5015,20
5015,2710944,5016,0,0,5114,39
5115,2703080,5115,0,0,5215,35
5216,2680076,5216,0,0,5315,27
5316,2679556,5316,0,0,5416,30
5417,2679812,5418,0,0,5516,37
5517,2680556,5517,0,0,5616,33
5617,2679980,5617,0,0,5716,31
5717,2679440,5717,0,0,5818,27
5818,2679724,5819,0,0,5917,35
5918,2680824,5918,0,0,6018,31
6018,2680292,6018,0,0,6118,26
6118,2679404,6119,0,0,6219,21
6220,2679932,6220,0,0,6319,31
6319,2680920,6319,0,0,6419,30
6419,2681428,6420,0,0,6519,30
6520,2681496,6520,0,0,6620,18
6621,2681348,6621,0,0,6720,29
6721,2682092,6722,0,0,6820,31
6821,2683020,6821,0,0,6920,32
6921,2683280,6921,1234595,1234595,7021,22
7021,2683032,7021,1234595,1234595,7122,19
7123,2683644,7123,1234595,1234595,7222,34
7222,2684908,7222,1234595,1234595,7322,30
7322,2685364,7323,1234595,1234595,7422,34
7423,2684984,7423,1234595,1234595,7522,21
7523,2685048,7523,1234595,1234595,7623,27
7624,2685596,7625,1234595,1234595,7723,39
7724,2687784,7724,1234595,1234595,7823,30
7824,2687720,7824,1234595,1234595,7924,31
7924,2672336,7925,1234595,1234595,8024,9
8024,2672148,8025,1234595,1234595,8125,15
8126,2672744,8126,1234595,1234595,8225,15
8225,2672548,8226,1234595,1234595,8325,15
8326,2672548,8326,1234595,1234595,8426,14
8427,2672156,8427,1234595,1234595,8528,2
8529,2672384,8529,1234595,1234595,8628,16
8628,2673096,8629,1234595,1234595,8728,16
8729,2673484,8730,1234595,1234595,8828,19
8829,2668976,8829,1234595,1234595,8929,18
8929,2669044,8930,1234595,1234595,9030,6
9032,2668648,9032,1234595,1234595,9131,9
9132,2668924,9132,1234595,1234595,9231,20
9232,2669556,9232,1234595,1234595,9331,13
9332,2669360,9332,1234595,1234595,9432,13
9432,2669608,9433,1234595,1234595,9533,16
9534,2668824,9534,1234595,1234595,9634,6
9634,2668872,9635,1234595,1234595,9734,15
9735,2668668,9736,1234595,1234595,9834,16
9835,2668932,9836,1234595,1234595,9935,19
9936,2668932,9936,1234595,1234595,10036,17
10036,2668932,10037,1234595,1234595,10137,2
10138,2668344,10138,1234595,1234595,10238,17
10238,2668920,10239,1234595,1234595,10338,15
10339,2669144,10339,1234595,1234595,10438,21
10438,2669804,10439,1234595,1234595,10539,27
10539,2670496,10540,1234595,1234595,10639,21
10640,2670868,10640,1234595,1234595,10740,21
10741,2672888,10741,1234595,1234595,10841,29
10842,2675200,10842,1234595,1234595,10941,35
10942,2673336,10942,1234595,1234595,11041,27
11042,2669916,11042,1234595,1234595,11142,22
11142,2670528,11142,1234595,1234595,11242,15
11243,2670440,11243,1234595,1234595,11342,21
11343,2670968,11343,1234595,1234595,11443,20
11444,2670792,11444,1234595,1234595,11543,19
11544,2670504,11544,1234595,1234595,11644,10
11644,2670740,11644,1234595,1234595,11747,16
11748,2671752,11748,1234595,1234595,11848,15
11849,2671752,11849,1234595,1234595,11947,13
11948,2671804,11948,1234595,1234595,12048,0
12048,2671676,12048,1234595,1234595,12149,14
12150,2672100,12150,1234595,1234595,12249,32
12249,2673308,12249,1234595,1234595,12349,30
12350,2673952,12350,1234595,1234595,12449,30
12450,2675080,12450,1234595,1234595,12550,42
12550,2675948,12551,1234595,1234595,12650,24
12651,2674488,12651,1234595,1234595,12751,32
12752,2680192,12753,1234595,1234595,12851,47
12851,2676440,12852,1234595,1234595,12952,61
12952,2679052,12953,1234595,1234595,13057,71
13058,2685392,13058,1234595,1234595,13152,57
13153,2684800,13154,1234595,1234595,13253,40
13253,2683788,13254,1234595,1234595,13353,26
13354,2686112,13355,1234595,1234595,13455,31
13456,2686708,13457,1234595,1234595,13554,41
13555,2687464,13556,1234595,1234595,13654,35
13656,2687368,13656,1234595,1234595,13755,36
13756,2687440,13756,1234595,1234595,13855,31
13856,2698744,13857,1234595,1234595,13956,26
13957,2699788,13957,1234595,1234595,14056,40
14057,2701288,14058,1234595,1234595,14156,39
14157,2701888,14158,1234595,1234595,14259,30
14260,2702024,14262,1234595,1234595,14358,36
14359,2701728,14360,1234595,1234595,14460,11
14462,2701136,14463,1234595,1234595,14559,10
14560,2701644,14560,1234595,1234595,14659,21
14660,2701988,14661,1234595,1234595,14760,14
14765,2702168,14766,1234595,1234595,14866,26
14869,2702112,14871,1234595,1234595,14962,37
14963,2692936,14963,1234595,1234595,15064,21
15068,2692936,15070,1234595,1234595,15162,35
15164,2693788,15166,1234595,1234595,15265,19
15267,2693716,15268,1234595,1234595,15366,17
15368,2693816,15370,1234595,1234595,15466,38
15471,2692928,15473,1234595,1234595,15567,27
15570,2692484,15573,1234595,1234595,15666,29
15669,2692464,15670,1234595,1234595,15765,18
15766,2693444,15767,1234595,1234595,15868,20
15871,2693444,15873,1234595,1234595,15967,20
15968,2693296,15969,1234595,1234595,16069,18
16072,2693296,16073,1234595,1234595,16169,9
16171,2692596,16172,1234595,1234595,16269,19
16270,2693444,16271,1234595,1234595,16369,16
16370,2693436,16371,1234595,1234595,16470,16
16472,2693436,16472,1234595,1234595,16572,15
16574,2693656,16575,1234595,1234595,16671,21
16673,2692920,16674,1234595,1234595,16774,7
16777,2692988,16779,1234595,1234595,16871,32
16872,2694728,16873,1234595,1234595,16972,28
16973,2695464,16973,1234595,1234595,17074,33
17076,2695120,17078,1234595,1234595,17173,50
17175,2695076,17176,1234595,1234595,17275,36
17277,2696452,17279,1234595,1234595,17374,55
17375,2695804,17377,1234595,1234595,17474,33
17475,2697324,17475,1234595,1234595,17574,27
17575,2692504,17575,1234595,1234595,17674,26
17675,2692768,17676,1234595,1234595,17775,2
17776,2691864,17777,1234595,1234595,17875,17
17876,2692840,17876,1234595,1234595,17976,22
17977,2693144,17978,1234595,1234595,18076,21
18077,2693620,18077,1234595,1234595,18177,14
18178,2693536,18178,1234595,1234595,18277,10
18278,2693200,18278,1234595,1234595,18378,12
18378,2693664,18379,1234595,1234595,18478,17
18479,2694372,18480,1234595,1234595,18578,18
18579,2694388,18579,1234595,1234595,18678,31
18679,2695888,18679,1234595,1234595,18778,20
18779,2695996,18780,1234595,1234595,18879,26
18880,2697056,18881,1234595,1234595,18980,36
18981,2695244,18982,1234595,1234595,19081,46
19082,2697016,19083,1234595,1234595,19180,39
19181,2696332,19181,1234595,1234595,19280,11
19281,2695740,19281,1234595,1234595,19381,19
19382,2690940,19382,1234595,1234595,19481,20
19482,2691616,19482,1234595,1234595,19582,16
19582,2691560,19583,1234595,1234595,19682,15
19683,2690996,19683,1234595,1234595,19783,2
19784,2690928,19785,1234595,1234595,19883,17
19884,2692644,19885,1234595,1234595,19983,16
19985,2692644,19985,1234595,1234595,20083,15
20084,2692596,20085,1234595,1234595,20184,18
20185,2692596,20185,1234595,1234595,20284,4
20285,2691992,20285,1234595,1234595,20385,18
20386,2692696,20386,1234595,1234595,20485,31
20486,2694288,20486,1234595,1234595,20585,33
20586,2694464,20586,1234595,1234595,20685,31
20686,2695300,20686,1234595,1234595,20787,20
20789,2695824,20789,1234595,1234595,20887,38
20889,2697464,20889,1234595,1234595,20987,36
20988,2698104,20988,1234595,1234595,21088,26
21089,2699164,21089,1234595,1234595,21138,31
21139,2694748,21139,1234595,1234595,21238,17
21239,2694008,21240,1234595,1234595,21339,21
21340,2693980,21341,1234595,1234595,21439,26
21440,2694044,21440,1234595,1234595,21539,22
21540,2694220,21541,1234595,1234595,21640,19
21641,2694312,21641,1234595,1234595,21740,4
21741,2694096,21741,1234595,1234595,21841,15
21842,2694260,21843,1234595,1234595,21941,18
21942,2695228,21943,1234595,1234595,22041,15
22042,2695132,22042,1234595,1234595,22141,20
22142,2695832,22142,1234595,1234595,22242,21
22243,2695444,22244,1234595,1234595,22342,28
22344,2696756,22344,1234595,1234595,22442,31
22443,2697724,22444,1234595,1234595,22543,34
22543,2698648,22544,1234595,1234595,22643,46
22644,2700048,22644,1234595,1234595,22744,28
22745,2698908,22745,1234595,1234595,22844,31
22845,2699880,22846,1234595,1234595,22947,32
22948,2697432,22949,1234595,1234595,23046,44
23047,2703652,23048,1234595,1234595,23146,41
23147,2711252,23147,1234595,1234595,23247,30
23247,2710624,23248,1234595,1234595,23347,56
23348,2707488,23348,1234595,1234595,23448,57
23448,2687548,23448,1234595,1234595,23548,50
23549,2688852,23549,1234595,1234595,23648,46
23649,2677660,23649,1234595,1234595,23749,34
23749,2677024,23750,1234595,1234595,23850,25
23850,2677308,23851,1234595,1234595,23949,39
23950,2676008,23950,1234595,1234595,24050,39
24051,2676508,24051,1234595,1234595,24150,36
24151,2676520,24151,1234595,1234595,24250,36
24251,2676532,24251,1234595,1234595,24351,27
24351,2676020,24352,1234595,1234595,24452,28
24453,2676760,24453,1234595,1234595,24552,39
24553,2677200,24553,1234595,1234595,24652,40
24653,2677256,24653,1234595,1234595,24753,36
24753,2677384,24754,1234595,1234595,24853,38
24854,2677628,24854,1234595,1234595,24953,35
24954,2677136,24954,1234595,1234595,25054,31
25055,2669592,25056,1234595,1234595,25154,42
25155,2671876,25155,1234595,1234595,25254,40
25255,2672568,25256,1234595,1234595,25355,39
25355,2672988,25356,1234595,1234595,25455,36
25456,2672772,25457,1234595,1234595,25555,40
25556,2672208,25557,1234595,1234595,25656,25
25657,2672484,25657,1234595,1234595,25757,40
25757,2673724,25758,1234595,1234595,25857,36
25858,2675556,25858,1234595,1234595,25957,32
25957,2675100,25958,1234595,1234595,26058,34
26058,2675484,26059,1234595,1234595,26158,33
26158,2675504,26159,1234595,1234595,26258,21
26259,2659544,26259,1234595,1234595,26358,8
26359,2659928,26359,1234595,1234595,26459,17
26459,2660748,26460,1234595,1234595,26560,15
26561,2660716,26561,1234595,1234595,26660,17
26661,2660708,26661,1234595,1234595,26761,16
26762,2660808,26762,1234595,1234595,26862,14
26863,2660808,26863,1234595,1234595,26963,14
26963,2660364,26964,1234595,1234595,27065,4
27066,2660216,27066,1234595,1234595,27168,0
27169,2660336,27170,1234595,1234595,27268,20
27270,2660336,27271,1234595,1234595,27368,18
27370,2660832,27371,1234595,1234595,27468,19
27469,2661036,27470,1234595,1234595,27569,18
27570,2660832,27570,1234595,1234595,27669,20
27670,2660912,27671,1234595,1234595,27770,21
27771,2660836,27771,1234595,1234595,27871,22
27872,2660092,27872,1234595,1234595,27971,13
27972,2659944,27973,1234595,1234595,28072,22
28073,2661312,28073,1234595,1234595,28172,0
28173,2658128,28174,1234595,1234595,28272,35
28273,2658372,28273,1234595,1234595,28373,39
28373,2654648,28374,1234595,1234595,28473,17
28474,2654604,28474,1234595,1234595,28573,15
28574,2654408,28574,1234595,1234595,28675,7
28676,2654464,28676,1234595,1234595,28775,17
28775,2654636,28776,1234595,1234595,28877,23
28878,2655132,28879,1234595,1234595,28975,16
28976,2658320,28976,1234595,1234595,29076,41
29076,2663556,29077,1234595,1234595,29176,49
29177,2669576,29177,1234595,1234595,29277,52
29278,2671348,29278,1234595,1234595,29377,23
29378,2672784,29379,1234595,1234595,29478,30
29480,2674028,29480,1234595,1234595,29578,29
29579,2676524,29579,1234595,1234595,29678,30
29679,2678540,29680,1234595,1234595,29779,36
29779,2677848,29780,1234595,1234595,29879,34
29880,2690504,29880,1234595,1234595,29979,17
