datetime,cpu,mem
Tue Aug  4 12:56:10 GMT 2020,0.1,117337
Tue Aug  4 12:56:11 GMT 2020,0.1,117271
Tue Aug  4 12:56:11 GMT 2020,0.1,117259
Tue Aug  4 12:56:12 GMT 2020,0.1,117287
Tue Aug  4 12:56:12 GMT 2020,0.1,117287
Tue Aug  4 12:56:12 GMT 2020,0.1,117291
Tue Aug  4 12:56:13 GMT 2020,0.1,117263
Tue Aug  4 12:56:13 GMT 2020,0.1,115647
Tue Aug  4 12:56:14 GMT 2020,0.1,115655
Tue Aug  4 12:56:14 GMT 2020,0.1,115659
Tue Aug  4 12:56:15 GMT 2020,0.1,115668
Tue Aug  4 12:56:15 GMT 2020,0.1,115674
Tue Aug  4 12:56:16 GMT 2020,0.1,121713
Tue Aug  4 12:56:16 GMT 2020,0.1,121912
Tue Aug  4 12:56:16 GMT 2020,0.1,122921
Tue Aug  4 12:56:17 GMT 2020,0.1,121499
Tue Aug  4 12:56:17 GMT 2020,0.1,124134
Tue Aug  4 12:56:18 GMT 2020,0.1,128712
Tue Aug  4 12:56:18 GMT 2020,0.1,128288
Tue Aug  4 12:56:18 GMT 2020,0.1,128016
Tue Aug  4 12:56:19 GMT 2020,0.1,128032
Tue Aug  4 12:56:19 GMT 2020,0.1,128032
Tue Aug  4 12:56:20 GMT 2020,0.1,128036
Tue Aug  4 12:56:20 GMT 2020,0.1,128495
Tue Aug  4 12:56:21 GMT 2020,0.1,207379
Tue Aug  4 12:56:21 GMT 2020,0.1,182010
Tue Aug  4 12:56:22 GMT 2020,0.1,189530
Tue Aug  4 12:56:22 GMT 2020,0.1,202801
Tue Aug  4 12:56:23 GMT 2020,0.1,206174
Tue Aug  4 12:56:23 GMT 2020,0.1,214651
Tue Aug  4 12:56:24 GMT 2020,0.1,265586
Tue Aug  4 12:56:24 GMT 2020,0.1,267610
Tue Aug  4 12:56:25 GMT 2020,0.1,266733
Tue Aug  4 12:56:26 GMT 2020,0.1,253357
Tue Aug  4 12:56:26 GMT 2020,0.1,253849
Tue Aug  4 12:56:27 GMT 2020,0.1,253808
Tue Aug  4 12:56:28 GMT 2020,0.1,257348
Tue Aug  4 12:56:28 GMT 2020,0.1,265299
Tue Aug  4 12:56:29 GMT 2020,0.1,267458
Tue Aug  4 12:56:29 GMT 2020,0.1,269451
Tue Aug  4 12:56:30 GMT 2020,0.1,268567
Tue Aug  4 12:56:31 GMT 2020,0.1,262699
Tue Aug  4 12:56:31 GMT 2020,0.1,262709
Tue Aug  4 12:56:32 GMT 2020,0.1,225718
Tue Aug  4 12:56:33 GMT 2020,0.1,196513
