datetime,cpu,mem
Tue Aug  4 00:13:01 GMT 2020,8.4,112307
Tue Aug  4 00:13:01 GMT 2020,8.4,113375
Tue Aug  4 00:13:01 GMT 2020,8.4,113411
Tue Aug  4 00:13:02 GMT 2020,8.4,113443
Tue Aug  4 00:13:02 GMT 2020,8.4,113443
Tue Aug  4 00:13:03 GMT 2020,8.4,113438
Tue Aug  4 00:13:03 GMT 2020,8.4,113438
Tue Aug  4 00:13:03 GMT 2020,8.4,113438
Tue Aug  4 00:13:04 GMT 2020,8.4,113438
Tue Aug  4 00:13:04 GMT 2020,8.4,113438
Tue Aug  4 00:13:05 GMT 2020,8.4,113460
Tue Aug  4 00:13:05 GMT 2020,8.4,113460
Tue Aug  4 00:13:05 GMT 2020,8.4,113460
Tue Aug  4 00:13:06 GMT 2020,8.4,94820
Tue Aug  4 00:13:06 GMT 2020,8.4,93582
Tue Aug  4 00:13:06 GMT 2020,8.4,93706
Tue Aug  4 00:13:07 GMT 2020,8.4,104746
Tue Aug  4 00:13:07 GMT 2020,8.4,104646
Tue Aug  4 00:13:07 GMT 2020,22,79979
Tue Aug  4 00:13:08 GMT 2020,22,96858
Tue Aug  4 00:13:08 GMT 2020,22,85855
Tue Aug  4 00:13:08 GMT 2020,22,102977
Tue Aug  4 00:13:09 GMT 2020,22,103287
Tue Aug  4 00:13:09 GMT 2020,22,103460
Tue Aug  4 00:13:09 GMT 2020,22,103391
Tue Aug  4 00:13:10 GMT 2020,22,135550
Tue Aug  4 00:13:10 GMT 2020,22,103533
Tue Aug  4 00:13:10 GMT 2020,22,103973
Tue Aug  4 00:13:11 GMT 2020,22,69264
Tue Aug  4 00:13:11 GMT 2020,22,69368
Tue Aug  4 00:13:12 GMT 2020,22,68587
Tue Aug  4 00:13:12 GMT 2020,22,68648
Tue Aug  4 00:13:12 GMT 2020,0,87857
Tue Aug  4 00:13:13 GMT 2020,0,108892
Tue Aug  4 00:13:13 GMT 2020,0,110372
Tue Aug  4 00:13:14 GMT 2020,0,110886
Tue Aug  4 00:13:14 GMT 2020,0,112497
Tue Aug  4 00:13:15 GMT 2020,0,114243
