Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
17,2610424,18,0,0,83,27
85,2609640,85,0,0,183,17
184,2610932,185,0,0,284,15
287,2611116,287,0,0,387,15
390,2610528,392,0,0,488,7
492,2610136,494,0,0,585,16
587,2611628,587,0,0,687,21
688,2612188,689,0,0,788,17
791,2611256,792,0,0,889,8
893,2611680,894,0,0,989,20
990,2612608,991,0,0,1090,14
1092,2612252,1093,0,0,1192,8
1194,2611708,1196,0,0,1291,11
1294,2608180,1295,0,0,1391,16
1392,2609100,1393,0,0,1492,21
1494,2609376,1494,0,0,1593,11
1596,2608644,1597,0,0,1693,12
1696,2608792,1697,0,0,1793,17
1794,2610028,1795,0,0,1896,15
1899,2609756,1900,0,0,1998,8
2002,2608812,2004,0,0,2097,12
2099,2609408,2099,0,0,2195,14
2198,2609892,2198,0,0,2297,16
2300,2609892,2303,0,0,2400,12
2404,2609304,2408,0,0,2499,16
2503,2609680,2504,0,0,2597,16
2598,2610180,2599,0,0,2698,15
2699,2610236,2699,0,0,2800,9
2801,2609716,2803,0,0,2900,10
2902,2609780,2902,0,0,2999,18
3000,2610388,3000,0,0,3100,13
3101,2610636,3102,0,0,3201,12
3204,2612564,3206,0,0,3300,23
3301,2627268,3301,0,0,3401,28
3401,2626408,3402,0,0,3501,17
3501,2607200,3502,0,0,3601,2
3602,2607052,3602,0,0,3702,22
3702,2605776,3703,0,0,3802,24
3802,2606936,3803,0,0,3902,14
3903,2605908,3903,0,0,4003,26
4003,2606028,4004,0,0,4103,25
4104,2607248,4104,0,0,4206,19
4209,2606892,4210,0,0,4309,21
4311,2607948,4317,0,0,4405,32
4405,2610716,4407,0,0,4504,27
4505,2608472,4505,0,0,4606,10
4608,2607296,4609,0,0,4705,36
4706,2603384,4706,0,0,4806,30
4806,2604404,4807,0,0,4906,15
4907,2605252,4908,0,0,5006,25
5007,2607916,5007,0,0,5107,33
5107,2607788,5108,0,0,5208,18
5208,2610872,5208,0,0,5308,30
5308,2606976,5309,0,0,5408,38
5409,2608968,5409,0,0,5508,28
5509,2609176,5509,0,0,5609,25
5609,2609956,5610,0,0,5709,37
5710,2612728,5710,0,0,5810,34
5810,2611384,5811,0,0,5910,27
5911,2607728,5911,0,0,6011,31
6011,2608488,6012,0,0,6112,32
6113,2609260,6113,0,0,6211,25
6212,2608580,6212,0,0,6312,25
6312,2610896,6313,0,0,6412,26
6413,2611100,6413,0,0,6512,32
6513,2611808,6513,0,0,6613,32
6614,2611528,6614,0,0,6713,41
6714,2627684,6714,0,0,6814,29
6814,2628036,6815,0,0,6914,29
6914,2628712,6915,0,0,7014,21
7015,2629732,7015,0,0,7115,28
7116,2629024,7116,0,0,7215,28
7216,2626352,7216,0,0,7315,32
7316,2627272,7316,0,0,7416,34
7416,2628960,7417,0,0,7516,35
7517,2630708,7517,0,0,7617,0
7617,2630596,7617,0,0,7717,19
7718,2628232,7719,0,0,7817,36
7818,2625264,7818,0,0,7918,41
7918,2626296,7919,0,0,8018,37
8019,2626324,8019,0,0,8119,33
8120,2627296,8120,0,0,8220,42
8221,2629640,8221,0,0,8321,40
8322,2630968,8322,0,0,8421,32
8422,2628568,8422,0,0,8521,27
8522,2625596,8522,0,0,8623,0
8625,2627632,8625,0,0,8724,56
8725,2622536,8726,0,0,8824,56
8826,2622664,8827,0,0,8925,41
8927,2623108,8928,0,0,9031,41
9032,2623952,9033,0,0,9126,50
9127,2625648,9128,0,0,9225,49
9226,2626784,9226,0,0,9326,44
9326,2611232,9327,0,0,9426,20
9427,2610936,9427,0,0,9528,44
9528,2607008,9529,0,0,9627,40
9628,2608092,9629,0,0,9728,40
9729,2608768,9729,0,0,9828,36
9829,2608712,9830,0,0,9929,21
9932,2608828,9934,0,0,10028,36
10029,2610612,10029,0,0,10128,37
10129,2612248,10130,0,0,10228,37
10229,2612544,10230,0,0,10329,14
10330,2611904,10330,0,0,10430,32
10432,2607244,10432,0,0,10530,48
10531,2608576,10532,0,0,10630,36
10631,2608776,10632,0,0,10731,28
10732,2608780,10733,0,0,10832,25
10833,2608412,10834,0,0,10931,38
10932,2610692,10933,0,0,11031,40
11032,2612076,11033,0,0,11132,36
11132,2610888,11133,0,0,11233,11
11234,2610888,11235,0,0,11334,47
11335,2606600,11335,0,0,11434,50
11435,2607808,11435,0,0,11534,37
11535,2608312,11536,0,0,11635,23
11636,2608160,11637,0,0,11735,36
11737,2609224,11738,0,0,11836,38
11837,2610712,11837,0,0,11936,40
11937,2612048,11939,0,0,12036,45
12037,2611516,12037,0,0,12136,40
12137,2612836,12137,0,0,12237,25
12239,2608040,12239,0,0,12338,54
12339,2606428,12339,0,0,12438,37
12439,2606832,12440,0,0,12539,28
12540,2608964,12540,0,0,12639,30
12640,2609224,12640,0,0,12740,25
12740,2609080,12741,0,0,12840,35
12841,2609360,12841,0,0,12940,30
12940,2609852,12941,0,0,13041,10
13042,2608704,13042,0,0,13141,28
13142,2610484,13143,0,0,13241,28
13242,2613120,13242,0,0,13342,30
13343,2613212,13343,0,0,13442,30
13443,2613284,13444,0,0,13542,43
13543,2612996,13544,0,0,13643,36
13645,2613472,13645,0,0,13743,48
13744,2614320,13744,0,0,13844,47
13845,2614444,13846,0,0,13946,45
13948,2614176,13949,0,0,14044,37
14045,2614244,14046,0,0,14145,20
14146,2617028,14147,0,0,14246,28
14247,2620244,14248,0,0,14346,35
14346,2630108,14347,0,0,14448,26
14450,2629664,14451,0,0,14549,26
14551,2630100,14552,0,0,14650,16
14652,2629804,14653,0,0,14749,6
14750,2630020,14751,0,0,14848,22
14849,2630396,14850,0,0,14952,20
14954,2630268,14956,0,0,15051,22
15053,2630288,15054,0,0,15152,21
15154,2630288,15157,0,0,15252,18
15254,2629548,15255,0,0,15352,10
15355,2629868,15356,0,0,15451,21
15452,2631052,15452,0,0,15554,18
15558,2631052,15560,0,0,15654,25
15656,2631052,15657,0,0,15757,22
15759,2631052,15761,0,0,15857,20
15860,2630716,15862,0,0,15957,1
15960,2630792,15962,0,0,16054,30
16056,2631684,16056,0,0,16158,22
16161,2631536,16163,0,0,16259,23
16261,2631536,16263,0,0,16359,23
16362,2631536,16364,0,0,16460,20
16463,2630648,16465,0,0,16560,0
16563,2630804,16566,0,0,16659,16
16662,2631268,16663,0,0,16760,18
16761,2631736,16762,0,0,16861,20
16862,2631700,16863,0,0,16960,17
16961,2631688,16962,0,0,17063,5
17067,2631352,17068,0,0,17161,14
17164,2632092,17166,0,0,17261,36
17262,2633248,17262,0,0,17361,44
17362,2648792,17362,0,0,17462,43
17462,2629480,17463,0,0,17566,17
17569,2629580,17571,0,0,17663,32
17664,2631328,17665,0,0,17763,39
17764,2631812,17765,0,0,17863,41
17864,2615612,17865,0,0,17964,28
17965,2609876,17966,0,0,18065,42
18066,2611592,18067,0,0,18164,50
18165,2615264,18165,0,0,18264,82
18265,2620416,18265,0,0,18365,44
18365,2622796,18366,0,0,18465,39
18466,2611164,18466,0,0,18566,17
18567,2611164,18568,0,0,18667,31
18668,2612296,18668,0,0,18766,29
18767,2612464,18768,0,0,18868,31
18868,2611056,18869,0,0,18968,16
18968,2610868,18969,0,0,19069,8
19070,2610592,19070,0,0,19170,12
19171,2610552,19171,0,0,19271,18
19272,2610520,19273,0,0,19371,21
19372,2610372,19372,0,0,19472,17
19473,2610372,19473,0,0,19573,18
19573,2610372,19574,0,0,19674,8
19675,2610300,19675,0,0,19774,15
19775,2610968,19776,0,0,19874,20
19875,2611012,19875,0,0,19975,17
19975,2611100,19976,0,0,20075,18
20076,2610212,20076,0,0,20176,19
20176,2610208,20177,0,0,20277,24
20278,2609764,20279,0,0,20328,2
20328,2609764,20329,0,0,20429,19
20430,2609568,20430,0,0,20531,16
20532,2610192,20533,0,0,20631,20
20632,2610192,20632,0,0,20731,20
20732,2610192,20732,0,0,20832,18
20833,2610144,20833,0,0,20933,7
20934,2609272,20934,0,0,21033,17
21034,2609940,21034,0,0,21134,19
21135,2609816,21135,0,0,21234,18
21235,2609816,21235,0,0,21335,19
21335,2609816,21336,0,0,21435,22
21436,2609964,21436,0,0,21536,6
21536,2609224,21537,0,0,21636,16
21637,2609236,21637,0,0,21738,20
21739,2609652,21740,0,0,21837,38
21838,2610104,21838,0,0,21938,34
21939,2610660,21939,0,0,22038,33
22039,2608852,22039,0,0,22140,17
22142,2609176,22143,0,0,22239,34
22240,2610320,22240,0,0,22339,28
22340,2610420,22340,0,0,22440,32
22440,2612712,22441,0,0,22541,38
22542,2612740,22542,0,0,22642,13
22643,2611552,22644,0,0,22743,25
22744,2605724,22745,0,0,22843,26
22843,2606284,22844,0,0,22943,18
22944,2606148,22944,0,0,23043,16
23044,2606188,23044,0,0,23144,5
23145,2605564,23146,0,0,23244,19
23245,2606576,23246,0,0,23345,20
23346,2606676,23347,0,0,23445,16
23445,2606824,23446,0,0,23545,18
23546,2606084,23546,0,0,23646,1
23647,2606084,23648,0,0,23746,33
23746,2606460,23747,0,0,23846,33
23847,2604540,23847,0,0,23947,29
23948,2605252,23949,0,0,24048,25
24049,2605460,24049,0,0,24149,21
24150,2606084,24151,0,0,24248,34
24249,2607844,24249,0,0,24349,40
24349,2609424,24350,0,0,24449,34
24450,2607784,24450,0,0,24549,20
24550,2603336,24550,0,0,24650,32
24650,2603688,24651,0,0,24750,28
24751,2604348,24751,2325422,2325422,24850,32
24851,2604924,24851,2325422,2325422,24951,21
24951,2604856,24952,2325422,2325422,25052,10
25053,2605012,25054,2325422,2325422,25152,30
25153,2602820,25154,2325422,2325422,25253,23
25253,2602968,25254,2325422,2325422,25352,23
25353,2603012,25353,2325422,2325422,25453,12
25453,2602716,25454,2325422,2325422,25553,2
25554,2602876,25554,2325422,2325422,25654,16
25655,2603396,25655,2325422,2325422,25754,16
25755,2603248,25755,2325422,2325422,25854,18
25855,2603080,25855,2325422,2325422,25954,20
25955,2602804,25956,2325422,2325422,26055,4
26056,2602780,26057,2325422,2325422,26156,15
26157,2603160,26157,2325422,2325422,26256,22
26257,2603316,26258,2325422,2325422,26356,21
26357,2603168,26357,2325422,2325422,26457,17
26458,2603388,26458,2325422,2325422,26558,5
26559,2603084,26560,2325422,2325422,26658,0
26659,2602628,26659,2325422,2325422,26758,20
26759,2603028,26760,2325422,2325422,26859,24
26860,2603136,26860,2325422,2325422,26960,17
26961,2603136,26961,2325422,2325422,27060,21
27061,2600636,27061,2325422,2325422,27161,11
27162,2600004,27162,2325422,2325422,27261,13
27262,2599988,27263,2325422,2325422,27361,21
27362,2600332,27363,2325422,2325422,27463,18
27464,2600332,27465,2325422,2325422,27562,27
27563,2600184,27564,2325422,2325422,27663,0
27663,2600184,27664,2325422,2325422,27764,9
27765,2599740,27766,2325422,2325422,27864,10
27865,2599600,27866,2325422,2325422,27964,21
27965,2600604,27966,2325422,2325422,28064,19
28065,2600604,28066,2325422,2325422,28165,16
28166,2600604,28166,2325422,2325422,28266,17
28267,2599856,28267,2325422,2325422,28366,9
28367,2599856,28367,2325422,2325422,28468,21
28469,2600520,28469,2325422,2325422,28568,29
28569,2601944,28569,2325422,2325422,28668,30
28669,2602688,28670,2325422,2325422,28768,48
28769,2603448,28769,2325422,2325422,28869,30
28870,2603368,28871,2325422,2325422,28969,35
28970,2606256,28970,2325422,2325422,29070,31
29070,2606792,29071,2325422,2325422,29170,23
29171,2607200,29172,2325422,2325422,29272,18
29273,2601712,29273,2325422,2325422,29371,12
29372,2601896,29372,2325422,2325422,29472,12
29472,2601320,29473,2325422,2325422,29572,18
29573,2601472,29573,2325422,2325422,29672,14
29673,2601508,29673,2325422,2325422,29772,2
29773,2601360,29773,2325422,2325422,29873,14
29874,2601948,29875,2325422,2325422,29973,17
29974,2602112,29975,2325422,2325422,30074,20
30074,2602128,30075,2325422,2325422,30174,13
30175,2601684,30175,2325422,2325422,30274,10
30275,2602012,30275,2325422,2325422,30375,32
30375,2603432,30376,2325422,2325422,30475,31
30476,2603928,30476,2325422,2325422,30575,30
30576,2604672,30576,2325422,2325422,30676,22
30676,2604616,30677,2325422,2325422,30777,30
30777,2606828,30778,2325422,2325422,30877,44
30877,2606148,30878,2325422,2325422,30978,37
30978,2606764,30979,2325422,2325422,31078,27
31079,2601516,31080,2325422,2325422,31178,21
31179,2600924,31179,2325422,2325422,31280,44
31281,2602652,31282,2325422,2325422,31379,35
31379,2604308,31380,2325422,2325422,31479,32
31480,2605208,31480,2325422,2325422,31580,25
31581,2604756,31581,2325422,2325422,31681,18
31682,2605224,31682,2325422,2325422,31781,30
31782,2605936,31783,2325422,2325422,31881,26
31882,2606164,31882,2325422,2325422,31982,14
31982,2606056,31983,2325422,2325422,32082,14
32083,2605960,32083,2325422,2325422,32182,2
32183,2606172,32183,130262,130262,32283,16
32284,2606728,32285,130262,130262,32384,21
32384,2607092,32385,130262,130262,32484,17
32484,2606944,32485,130262,130262,32585,0
32585,2606764,32586,130262,130262,32685,23
32686,2606320,32687,130262,130262,32786,1
32786,2606220,32787,130262,130262,32886,21
32886,2606916,32887,130262,130262,32987,22
32988,2607172,32988,130262,130262,33087,33
33088,2607848,33088,130262,130262,33187,33
33188,2608344,33189,130262,130262,33289,39
33291,2608592,33292,130262,130262,33391,24
33393,2608736,33395,130262,130262,33489,40
33491,2609544,33493,130262,130262,33589,35
33590,2611140,33590,130262,130262,33691,38
33693,2612676,33694,130262,130262,33790,45
33791,2612692,33791,130262,130262,33890,39
33891,2610012,33891,130262,130262,33991,18
33992,2603600,33993,130262,130262,34091,27
34092,2603844,34092,130262,130262,34191,19
34192,2604312,34192,130262,130262,34291,18
34292,2603868,34293,130262,130262,34392,19
34393,2603720,34393,130262,130262,34492,14
34493,2603424,34493,130262,130262,34593,0
34594,2603268,34594,130262,130262,34693,17
34694,2604028,34695,130262,130262,34794,14
34795,2604032,34795,130262,130262,34893,15
34894,2604004,34895,130262,130262,34994,22
34994,2603632,34995,130262,130262,35096,17
35099,2605200,35100,130262,130262,35195,34
35195,2606048,35196,130262,130262,35295,32
35296,2606644,35296,130262,130262,35396,33
35397,2607556,35397,130262,130262,35496,26
35497,2608340,35497,130262,130262,35597,33
35598,2607384,35598,130262,130262,35697,36
35697,2603720,35698,130262,130262,35797,21
35798,2603464,35798,130262,130262,35897,18
35898,2602596,35898,130262,130262,35998,14
35999,2602968,35999,130262,130262,36099,25
36099,2605140,36100,130262,130262,36199,18
36199,2604992,36200,130262,130262,36299,16
36300,2604992,36300,130262,130262,36400,11
36400,2604252,36401,130262,130262,36501,8
36502,2604368,36503,130262,130262,36601,0
36601,2604508,36602,130262,130262,36702,18
36703,2604508,36704,130262,130262,36802,19
36802,2604628,36803,130262,130262,36902,18
36903,2604620,36903,130262,130262,37002,10
37003,2603960,37004,130262,130262,37103,10
37104,2603828,37104,130262,130262,37203,23
37204,2604404,37204,130262,130262,37304,22
37304,2604404,37305,130262,130262,37404,22
37405,2604404,37405,130262,130262,37505,20
37505,2604404,37506,130262,130262,37606,15
