RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,22,22,27.272727272727273,66.66666666666667,6,3,1,0,12
2,22,22,27.272727272727273,66.66666666666667,6,3,1,0,12
3,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
4,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
5,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
6,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
7,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
8,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
9,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
10,22,22,36.36363636363637,72.72727272727273,8,3,0,0,11
