Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,147117,2585491.250681199,440618.3658038147,440618.3658038147,21.88964577656676,694021.2027896995,694021.2027896995
2,145638,2547316.9518569466,1301689.8053645117,1301689.8053645117,20.711829436038514,1745993.5212177122,1745993.5212177122
3,146296,2546452.671232877,847237.0164383561,847237.0164383561,21.27620660536686,1149596.6951672863,1149596.6951672863
4,147062,2416398.1989100818,834972.8113079019,360255.6886920981,21.934604904632153,1338144.1997816593,577353.0032751092
5,145965,2479096.5934065934,983782.1559065934,979117.1559065934,20.77815934065934,983782.1559065934,979117.1559065934
6,147579,2476980.483367278,1034368.3333333334,1031112.9769178547,22.24727235521118,1480684.6987366376,1476024.6987366376
7,152992,2515919.347740668,447398.24819908314,447398.24819908314,26.796187721643467,941015.3236914601,941015.3236914601
8,153725,2488809.40547588,436012.84028683184,436012.84028683184,27.349629603817174,1370581.3463114754,1370581.3463114754
9,152805,2555014.7147540986,409885.7921311475,409885.7921311475,27.08725869389949,1528302.7701711492,1528302.7701711492
10,152184,2580436.974325214,687618.0487162607,687618.0487162607,25.928842517490757,955619.2278133577,955619.2278133577
