Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
36,2394356,36,0,0,35,32
136,2393396,137,0,0,135,20
238,2393836,238,0,0,236,8
337,2394780,338,0,0,336,16
438,2394388,438,0,0,436,18
538,2393984,538,0,0,537,20
640,2394192,640,0,0,638,3
739,2394688,740,0,0,738,19
841,2394604,841,0,0,839,15
940,2394824,941,0,0,939,18
1042,2391216,1042,0,0,1040,12
1142,2391524,1143,0,0,1141,11
1192,2392376,1192,0,0,1190,15
1294,2392180,1295,0,0,1291,15
1392,2392180,1392,0,0,1391,16
1493,2391592,1493,0,0,1491,13
1594,2391672,1595,0,0,1593,5
1694,2392436,1695,0,0,1693,15
1796,2392436,1797,0,0,1794,14
1895,2391944,1895,0,0,1893,18
1998,2391328,1998,0,0,1995,8
2097,2391624,2097,0,0,2095,8
2197,2392020,2198,0,0,2195,15
2298,2392020,2298,0,0,2296,16
2398,2392020,2398,0,0,2396,16
2498,2391628,2499,0,0,2497,4
2599,2393164,2600,0,0,2598,15
2700,2392920,2700,0,0,2698,17
2799,2392980,2800,0,0,2798,17
2899,2390160,2900,0,0,2898,16
3001,2389904,3002,0,0,2999,5
3101,2390436,3102,0,0,3099,16
3204,2390552,3205,0,0,3201,15
3301,2390552,3302,0,0,3300,14
3404,2389952,3404,0,0,3401,6
3504,2390188,3504,0,0,3502,12
3603,2390260,3603,0,0,3601,18
3703,2390260,3704,0,0,3702,19
3803,2390116,3804,0,0,3802,23
3905,2389608,3906,0,0,3903,14
4003,2402736,4003,0,0,4003,33
4103,2405304,4104,0,0,4103,39
4204,2390884,4204,0,0,4203,29
4304,2392036,4305,0,0,4304,18
4404,2397124,4405,0,0,4404,33
4505,2397632,4505,0,0,4504,21
4605,2393708,4605,0,0,4605,24
4705,2394428,4706,0,0,4705,33
4806,2395708,4806,0,0,4805,34
4906,2397432,4907,0,0,4906,30
5007,2396904,5007,0,0,5006,24
5108,2399652,5108,0,0,5107,26
5208,2394948,5208,0,0,5207,27
5308,2395184,5308,0,0,5307,24
5409,2395384,5409,0,0,5408,19
5509,2396012,5510,0,0,5509,24
5609,2396996,5610,0,0,5608,21
5709,2397300,5710,0,0,5709,25
5810,2370728,5810,0,0,5809,29
5911,2371452,5912,0,0,5910,28
6011,2372512,6011,0,0,6010,41
6111,2372764,6111,0,0,6110,19
6211,2373564,6212,0,0,6210,23
6311,2373164,6312,0,0,6311,19
6412,2373820,6412,0,0,6411,20
6512,2373820,6513,0,0,6512,18
6613,2374068,6613,0,0,6612,28
6713,2373156,6714,0,0,6712,18
6814,2374180,6815,0,0,6813,40
6914,2379020,6915,0,0,6913,36
7015,2393584,7015,0,0,7014,29
7115,2393388,7115,0,0,7114,18
7216,2405324,7217,0,0,7215,21
7316,2406472,7316,0,0,7315,29
7417,2406080,7417,0,0,7415,20
7517,2406080,7518,0,0,7516,17
7619,2405296,7619,0,0,7617,6
7719,2405696,7720,0,0,7718,12
7820,2406184,7820,0,0,7818,22
7919,2406060,7920,0,0,7918,18
8020,2406132,8020,0,0,8019,15
8121,2405308,8121,0,0,8119,3
8222,2405596,8222,0,0,8220,10
8321,2406300,8321,0,0,8320,15
8422,2406300,8422,0,0,8421,17
8522,2406104,8523,0,0,8521,15
8623,2405308,8623,0,0,8622,13
8724,2404936,8725,0,0,8723,6
8824,2404948,8825,0,0,8823,19
8928,2405144,8929,0,0,8925,12
9025,2405220,9025,0,0,9024,21
9127,2404828,9127,0,0,9125,11
9227,2405652,9227,0,0,9225,14
9327,2407172,9327,0,0,9326,28
9428,2407668,9428,0,0,9426,26
9528,2408128,9528,0,0,9527,33
9629,2410420,9630,0,0,9628,18
9729,2410756,9730,0,0,9728,45
9831,2410932,9831,0,0,9829,16
9931,2406240,9931,0,0,9929,17
10031,2406048,10031,2287207,2287207,10030,27
10131,2409864,10131,2287207,2287207,10130,35
10232,2413124,10232,2287207,2287207,10230,35
10332,2418420,10332,2287207,2287207,10331,44
10432,2421008,10432,2287207,2287207,10431,35
10532,2396496,10532,2287207,2287207,10532,32
10634,2397512,10634,2287207,2287207,10633,20
10733,2397884,10733,2287207,2287207,10732,35
10833,2397988,10833,2287207,2287207,10833,16
10933,2400820,10934,2287207,2287207,10933,38
11034,2405024,11034,2287207,2287207,11033,30
11135,2405360,11135,2287207,2287207,11134,21
11235,2406384,11235,2287207,2287207,11234,19
11335,2403244,11336,2287207,2287207,11335,23
11436,2407184,11437,2287207,2287207,11436,35
11537,2412548,11537,2287207,2287207,11536,46
11637,2414708,11638,2287207,2287207,11637,31
11738,2416896,11738,2287207,2287207,11737,38
11838,2417852,11838,2287207,2287207,11838,47
11939,2419720,11940,2287207,2287207,11939,32
12039,2420528,12040,2287207,2287207,12039,44
12140,2421968,12140,2287207,2287207,12139,39
12240,2421712,12240,2287207,2287207,12240,37
12341,2421864,12341,2287207,2287207,12340,33
12441,2426236,12442,2287207,2287207,12441,50
12542,2430260,12542,2287207,2287207,12541,44
12646,2431956,12646,2287207,2287207,12645,52
12746,2430040,12746,2287207,2287207,12745,0
12847,2430800,12847,2287207,2287207,12846,33
12947,2432064,12947,2287207,2287207,12946,35
13047,2446072,13048,2287207,2287207,13047,45
13149,2488560,13149,2287207,2287207,13148,53
13249,2530228,13250,2287207,2287207,13248,50
13350,2534316,13351,2287207,2287207,13349,34
13449,2554056,13450,2287207,2287207,13449,46
13551,2554840,13551,2287207,2287207,13549,27
13652,2555088,13653,2287207,2287207,13651,31
13753,2555088,13754,2287207,2287207,13751,36
13852,2555144,13853,2287207,2287207,13851,31
13953,2555684,13954,2287207,2287207,13952,33
