Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
23,2352124,24,0,0,87,18
88,2352200,89,0,0,188,21
189,2353148,189,0,0,288,24
289,2351580,289,0,0,391,10
393,2350992,394,0,0,491,15
492,2352288,493,0,0,591,25
593,2352252,594,0,0,691,28
693,2352056,694,0,0,791,16
792,2351468,793,0,0,894,8
896,2351768,897,0,0,992,22
993,2352464,993,0,0,1092,14
1093,2352464,1094,0,0,1195,10
1196,2352072,1197,0,0,1297,5
1300,2352364,1302,291346,291346,1394,21
1395,2348488,1396,291346,291346,1497,15
1499,2348292,1500,291346,291346,1597,12
1599,2347376,1601,291346,291346,1699,8
1701,2347180,1702,291346,291346,1796,18
1797,2348200,1798,291346,291346,1896,15
1898,2348060,1898,291346,291346,1999,14
2001,2347440,2003,291346,291346,2100,3
2103,2347660,2105,291346,291346,2198,18
2200,2348104,2201,291346,291346,2299,16
2300,2348104,2302,291346,291346,2401,11
2403,2347124,2404,291346,291346,2501,11
2503,2347340,2504,291346,291346,2601,18
2602,2348004,2603,291346,291346,2702,13
2703,2348004,2704,291346,291346,2803,15
2805,2347724,2806,291346,291346,2905,3
2907,2347708,2910,291346,291346,3004,16
3006,2348640,3007,291346,291346,3103,13
3105,2348564,3106,291346,291346,3206,16
3208,2348564,3210,291346,291346,3306,10
3307,2347976,3308,291346,291346,3409,12
3411,2348596,3411,291346,291346,3506,15
3507,2348948,3507,291346,291346,3606,15
3607,2348948,3607,291346,291346,3707,7
3708,2348232,3709,291346,291346,3807,24
3808,2348688,3809,291346,291346,3907,26
3909,2349460,3910,291346,291346,4007,22
4008,2348572,4009,291346,291346,4110,17
4113,2349480,4114,291346,291346,4209,32
4211,2350260,4212,291346,291346,4309,36
4310,2363864,4311,291346,291346,4408,36
4409,2364108,4409,291346,291346,4509,26
4510,2347492,4510,291346,291346,4610,25
4610,2343916,4611,291346,291346,4710,28
4710,2344680,4711,291346,291346,4811,13
4812,2345532,4813,291346,291346,4911,26
4911,2346420,4912,291346,291346,5011,29
5012,2348804,5012,291346,291346,5111,18
5112,2347292,5113,291346,291346,5212,30
5213,2353200,5213,291346,291346,5312,37
5313,2345332,5314,291346,291346,5412,29
5413,2344836,5414,291346,291346,5513,25
5514,2345856,5514,291346,291346,5613,35
5614,2347832,5614,291346,291346,5713,29
5714,2348412,5714,291346,291346,5814,28
5815,2346984,5816,291346,291346,5914,41
5915,2344152,5915,291346,291346,6015,29
6016,2345008,6016,291346,291346,6116,24
6117,2345216,6117,291346,291346,6216,27
6216,2346712,6217,291346,291346,6316,31
6317,2348532,6317,291346,291346,6416,30
6417,2346788,6417,291346,291346,6517,29
6517,2344492,6518,291346,291346,6618,45
6619,2363696,6620,291346,291346,6720,37
6721,2364152,6722,291346,291346,6819,26
6821,2364960,6821,291346,291346,6919,29
6920,2367080,6920,291346,291346,7020,34
7021,2365352,7022,291346,291346,7120,21
7121,2360772,7121,291346,291346,7221,24
7222,2362092,7222,3741370,3741370,7320,36
7321,2364488,7322,3741370,3741370,7421,37
7422,2365036,7423,3741370,3741370,7523,28
7524,2366360,7524,3741370,3741370,7622,22
7623,2365812,7623,3741370,3741370,7723,23
7725,2361996,7725,3741370,3741370,7822,34
7822,2362968,7823,3741370,3741370,7923,0
7923,2363608,7924,3741370,3741370,8023,40
8023,2365572,8024,3741370,3741370,8123,42
8124,2366644,8124,3741370,3741370,8223,33
8224,2367100,8224,3741370,3741370,8324,25
8325,2365000,8326,3741370,3741370,8424,52
8425,2364272,8425,3741370,3741370,8525,44
8526,2366064,8526,3741370,3741370,8625,47
8626,2365820,8626,3741370,3741370,8726,28
8727,2366268,8727,3741370,3741370,8826,43
8827,2367756,8828,3741370,3741370,8927,42
8928,2369200,8929,3741370,3741370,9027,46
9028,2354604,9028,3741370,3741370,9127,19
