RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",2135,0,0,0,True
1,"TfprPrefetchingStrategy",938,0,0,0,True
1,"TfprPrefetchingStrategy",1042,0,0,0,True
1,"TfprPrefetchingStrategy",1416615,0,1,1,True
1,"TfprPrefetchingStrategy",744427,0,1,1,True
1,"TfprPrefetchingStrategy",802656,0,1,1,True
1,"TfprPrefetchingStrategy",810104,0,1,1,True
1,"TfprPrefetchingStrategy",741927,0,1,1,True
2,"TfprPrefetchingStrategy",1804687,0,1,1,True
2,"TfprPrefetchingStrategy",1061354,0,1,1,True
2,"TfprPrefetchingStrategy",513541,0,1,1,True
2,"TfprPrefetchingStrategy",535677,0,1,1,True
2,"TfprPrefetchingStrategy",855938,0,1,1,True
2,"TfprPrefetchingStrategy",856771,0,1,1,True
2,"TfprPrefetchingStrategy",698802,0,1,1,True
2,"TfprPrefetchingStrategy",979583,0,1,1,True
3,"TfprPrefetchingStrategy",3382448,0,1,1,True
3,"TfprPrefetchingStrategy",436094,0,1,1,True
3,"TfprPrefetchingStrategy",493854,0,1,1,True
3,"TfprPrefetchingStrategy",711875,0,1,1,True
3,"TfprPrefetchingStrategy",778229,0,1,1,True
3,"TfprPrefetchingStrategy",474270,0,1,1,True
3,"TfprPrefetchingStrategy",1068906,0,1,1,True
3,"TfprPrefetchingStrategy",418802,0,1,1,True
4,"TfprPrefetchingStrategy",3510104,0,1,1,True
4,"TfprPrefetchingStrategy",800677,0,1,1,True
4,"TfprPrefetchingStrategy",550104,0,1,1,True
4,"TfprPrefetchingStrategy",419740,0,1,1,True
4,"TfprPrefetchingStrategy",793125,0,1,1,True
4,"TfprPrefetchingStrategy",543750,0,1,1,True
4,"TfprPrefetchingStrategy",1965208,0,1,1,True
4,"TfprPrefetchingStrategy",518489,0,1,1,True
5,"TfprPrefetchingStrategy",2312032,0,1,1,True
5,"TfprPrefetchingStrategy",619323,0,1,1,True
5,"TfprPrefetchingStrategy",754167,0,1,1,True
5,"TfprPrefetchingStrategy",1307031,0,1,1,True
5,"TfprPrefetchingStrategy",2098750,0,1,1,True
5,"TfprPrefetchingStrategy",554062,0,1,1,True
5,"TfprPrefetchingStrategy",828021,0,1,1,True
5,"TfprPrefetchingStrategy",636250,0,1,1,True
6,"TfprPrefetchingStrategy",1500416,0,1,1,True
6,"TfprPrefetchingStrategy",956198,0,1,1,True
6,"TfprPrefetchingStrategy",502657,0,1,1,True
6,"TfprPrefetchingStrategy",524479,0,1,1,True
6,"TfprPrefetchingStrategy",1281771,0,1,1,True
6,"TfprPrefetchingStrategy",625469,0,1,1,True
6,"TfprPrefetchingStrategy",928073,0,1,1,True
6,"TfprPrefetchingStrategy",587656,0,1,1,True
7,"TfprPrefetchingStrategy",4517135,0,1,1,True
7,"TfprPrefetchingStrategy",764531,0,1,1,True
7,"TfprPrefetchingStrategy",882500,0,1,1,True
7,"TfprPrefetchingStrategy",429636,0,1,1,True
7,"TfprPrefetchingStrategy",584115,0,1,1,True
7,"TfprPrefetchingStrategy",617813,0,1,1,True
7,"TfprPrefetchingStrategy",894427,0,1,1,True
7,"TfprPrefetchingStrategy",888281,0,1,1,True
8,"TfprPrefetchingStrategy",2160729,0,1,1,True
8,"TfprPrefetchingStrategy",484115,0,1,1,True
8,"TfprPrefetchingStrategy",597813,0,1,1,True
8,"TfprPrefetchingStrategy",899532,0,1,1,True
8,"TfprPrefetchingStrategy",754792,0,1,1,True
8,"TfprPrefetchingStrategy",1107552,0,1,1,True
8,"TfprPrefetchingStrategy",983229,0,1,1,True
8,"TfprPrefetchingStrategy",815260,0,1,1,True
9,"TfprPrefetchingStrategy",4316406,0,1,1,True
9,"TfprPrefetchingStrategy",466041,0,1,1,True
9,"TfprPrefetchingStrategy",657448,0,1,1,True
9,"TfprPrefetchingStrategy",821302,0,1,1,True
9,"TfprPrefetchingStrategy",812916,0,1,1,True
9,"TfprPrefetchingStrategy",601250,0,1,1,True
9,"TfprPrefetchingStrategy",795781,0,1,1,True
9,"TfprPrefetchingStrategy",798489,0,1,1,True
10,"TfprPrefetchingStrategy",5119531,0,1,1,True
10,"TfprPrefetchingStrategy",616615,0,1,1,True
10,"TfprPrefetchingStrategy",677865,0,1,1,True
10,"TfprPrefetchingStrategy",804323,0,1,1,True
10,"TfprPrefetchingStrategy",849011,0,1,1,True
10,"TfprPrefetchingStrategy",730469,0,1,1,True
10,"TfprPrefetchingStrategy",933750,0,1,1,True
10,"TfprPrefetchingStrategy",811615,0,1,1,True
