Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,146953,2570336.2890252215,397826.4860259032,290983.8534423995,21.828220858895705,786538.3490566037,575300.9609164421
2,147386,2674471.5377294356,270008.77226376615,134154.11012916383,22.723118750407263,730115.6323529412,362758.6323529412
3,148176,2466849.9716024343,519293.5605138607,519293.5605138607,23.079107505070994,815323.966029724,815323.966029724
4,147475,2406706.3070652173,1461234.4483695652,1461234.4483695652,22.080207348771268,1638185.1546077684,1638185.1546077684
5,146560,2578261.1600547195,289295.1080711354,289295.1080711354,21.990424076607386,547861.9792746115,547861.9792746115
6,146755,2547804.862798635,791613.9153583618,791613.9153583618,21.392749595219513,1538082.7400530505,1538082.7400530505
7,148978,2480290.2837928715,467751.64895763283,0.0,23.89778076664425,1269245.806569343,0.0
8,148075,2618137.301759134,431394.51082543976,431394.51082543976,22.80567676394059,1426400.6420581655,1426400.6420581655
9,142136,2576676.763918252,1848396.6046511629,1475065.9393939395,18.028188865398167,1848396.6046511629,1475065.9393939395
10,150957,2462205.2478339304,869338.1324806289,869338.1324806289,25.34704711347047,1285664.9319414208,1285664.9319414208
