Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
7,2450872,7,0,0,91,29
92,2451880,92,0,0,191,37
192,2454000,192,0,0,291,30
292,2453880,292,0,0,391,26
392,2453376,393,0,0,493,11
494,2453352,494,0,0,593,46
594,2456676,595,0,0,693,37
694,2461864,694,0,0,793,36
794,2462676,794,0,0,893,18
894,2470704,895,0,0,994,26
995,2477396,996,0,0,1095,31
1096,2483920,1096,0,0,1195,25
1196,2484164,1196,0,0,1295,19
1296,2481536,1296,0,0,1396,8
1398,2481364,1398,0,0,1497,19
1498,2481580,1499,0,0,1597,18
1599,2481424,1600,0,0,1697,16
1698,2481464,1699,0,0,1798,8
1799,2480876,1799,0,0,1899,9
1900,2480476,1901,0,0,1999,13
2001,2481560,2001,0,0,2100,13
2102,2481560,2102,0,0,2200,17
2201,2479992,2201,0,0,2301,7
2302,2478704,2302,0,0,2402,11
2404,2479468,2404,0,0,2502,14
2504,2479968,2504,0,0,2603,12
2606,2479816,2607,0,0,2702,17
2704,2479816,2704,0,0,2804,7
2806,2479424,2806,0,0,2903,12
2905,2479748,2905,0,0,3004,16
3006,2480288,3007,0,0,3105,17
3107,2480288,3107,0,0,3205,14
3206,2480288,3207,0,0,3305,11
3307,2479696,3307,0,0,3407,10
3410,2480032,3410,0,0,3507,16
3508,2480344,3509,0,0,3607,18
3608,2480820,3608,0,0,3707,28
3708,2480904,3709,0,0,3807,16
3809,2480516,3809,0,0,3908,25
3908,2480428,3908,0,0,4008,27
4009,2481380,4009,0,0,4108,27
4109,2482124,4109,0,0,4209,18
4210,2482876,4210,0,0,4309,24
4310,2484776,4310,0,0,4410,30
4410,2489688,4411,0,0,4510,25
4511,2490060,4511,0,0,4610,22
4611,2485712,4611,0,0,4711,28
4711,2486836,4712,0,0,4811,36
4812,2487824,4812,0,0,4911,30
4912,2489372,4912,0,0,5012,21
5012,2488192,5013,0,0,5112,17
5113,2490136,5113,0,0,5213,24
5213,2486564,5214,0,0,5313,28
5314,2486312,5314,0,0,5414,20
5415,2486284,5416,0,0,5514,32
5515,2489312,5515,0,0,5614,28
5615,2505724,5616,0,0,5715,44
5716,2501724,5716,0,0,5815,32
5816,2464428,5817,0,0,5916,24
5917,2465728,5919,0,0,6016,40
6018,2466920,6018,0,0,6117,19
6118,2466724,6118,0,0,6218,24
6219,2468480,6220,0,0,6319,21
6329,2468988,6330,0,0,6419,28
6420,2470312,6420,0,0,6519,27
6520,2470384,6521,0,0,6619,36
6620,2470288,6621,0,0,6720,28
6721,2485576,6722,0,0,6820,22
6823,2492036,6824,0,0,6923,29
6926,2496896,6927,0,0,7021,27
7023,2496112,7023,0,0,7122,31
7123,2495720,7124,0,0,7223,7
7225,2495328,7226,0,0,7323,14
7324,2496432,7325,1700742,1700742,7426,13
7429,2496416,7431,1700742,1700742,7525,18
7528,2496416,7530,1700742,1700742,7628,17
7632,2495600,7633,1700742,1700742,7728,2
7732,2495428,7736,1700742,1700742,7825,15
7827,2496400,7828,1700742,1700742,7926,17
7929,2496876,7931,1700742,1700742,8028,19
8031,2496876,8032,1700742,1700742,8127,17
8129,2496876,8130,1700742,1700742,8229,10
8232,2496528,8233,1700742,1700742,8328,17
8330,2496940,8330,1700742,1700742,8428,0
8429,2496408,8430,1700742,1700742,8528,16
8529,2496272,8529,1700742,1700742,8629,14
8630,2496272,8631,1700742,1700742,8732,15
8733,2495828,8734,1700742,1700742,8834,4
8838,2495984,8839,1700742,1700742,8933,18
8935,2496660,8936,1700742,1700742,9033,20
9035,2496840,9035,1700742,1700742,9132,14
9133,2496544,9133,1700742,1700742,9233,29
9234,2497264,9234,1700742,1700742,9333,23
9334,2497260,9335,1700742,1700742,9433,30
9434,2496592,9435,1700742,1700742,9534,30
9534,2497352,9535,1700742,1700742,9634,31
9635,2498496,9636,1700742,1700742,9734,34
9735,2500192,9735,1700742,1700742,9834,44
9835,2498708,9835,1700742,1700742,9934,18
9935,2494220,9935,1700742,1700742,10035,31
10036,2494196,10036,1700742,1700742,10135,43
10136,2496024,10136,1700742,1700742,10235,47
10236,2498340,10236,1700742,1700742,10336,44
10337,2498964,10337,1700742,1700742,10436,0
10437,2501260,10437,1700742,1700742,10536,39
10537,2507316,10538,1700742,1700742,10637,46
10637,2487936,10638,1700742,1700742,10737,21
10739,2488412,10739,1700742,1700742,10837,20
10838,2487928,10838,1700742,1700742,10938,29
10939,2489564,10939,1700742,1700742,11038,50
11039,2493512,11039,1700742,1700742,11138,18
11139,2493728,11140,1700742,1700742,11239,16
11240,2493728,11240,1700742,1700742,11339,18
11341,2493824,11341,1700742,1700742,11440,0
11441,2498468,11441,1700742,1700742,11542,61
11543,2503208,11543,1700742,1700742,11642,51
11643,2505304,11643,1700742,1700742,11742,46
11743,2508412,11744,1700742,1700742,11844,31
11846,2509072,11847,1700742,1700742,11944,40
11945,2508992,11946,1700742,1700742,12045,53
12046,2511744,12047,1700742,1700742,12145,45
12146,2512788,12147,1700742,1700742,12247,50
12248,2513360,12249,1700742,1700742,12347,42
12348,2512496,12349,1700742,1700742,12447,44
12448,2512860,12449,1700742,1700742,12549,50
12550,2513964,12551,1700742,1700742,12649,47
12651,2518384,12651,1700742,1700742,12750,56
12751,2521316,12751,1700742,1700742,12850,51
12851,2519232,12851,1700742,1700742,12951,51
12952,2519076,12953,1700742,1700742,13051,51
13052,2551932,13052,1700742,1700742,13151,61
13152,2596848,13152,1700742,1700742,13252,48
13253,2621548,13254,1700742,1700742,13352,62
13353,2661648,13353,1700742,1700742,13452,40
13454,2662656,13455,1700742,1700742,13553,24
13554,2662636,13555,1700742,1700742,13653,53
13654,2663412,13655,1700742,1700742,13754,28
13756,2663628,13756,1700742,1700742,13854,34
13856,2663628,13856,1700742,1700742,13955,58
13956,2663876,13957,1700742,1700742,14055,31
14057,2663432,14057,1700742,1700742,14159,8
14163,2663532,14164,1700742,1700742,14256,37
14257,2664204,14258,1700742,1700742,14359,19
14362,2664140,14364,1700742,1700742,14459,0
14461,2651820,14462,1700742,1700742,14559,24
14562,2651672,14563,1700742,1700742,14659,23
14661,2651672,14662,1700742,1700742,14760,24
14763,2651920,14764,1700742,1700742,14862,8
14864,2651292,14865,1700742,1700742,14960,18
14961,2651792,14962,1700742,1700742,15060,21
15061,2638820,15061,1700742,1700742,15163,25
15165,2638820,15166,1700742,1700742,15264,20
15266,2638820,15268,1700742,1700742,15364,25
15368,2638672,15369,1700742,1700742,15465,18
15468,2638828,15470,1700742,1700742,15564,27
15566,2638336,15567,1700742,1700742,15664,34
15664,2637960,15665,1700742,1700742,15764,15
15765,2637740,15765,1700742,1700742,15867,20
15870,2638132,15871,1700742,1700742,15966,31
15968,2638476,15969,1700742,1700742,16065,36
16066,2638808,16067,1700742,1700742,16168,40
16170,2639460,16171,1700742,1700742,16268,41
16270,2639708,16271,1700742,1700742,16370,31
16372,2640128,16374,1700742,1700742,16469,38
16471,2640192,16472,1700742,1700742,16569,38
16569,2642548,16570,1700742,1700742,16671,45
16672,2642884,16672,1700742,1700742,16769,50
16770,2641692,16771,1700742,1700742,16870,68
16871,2638108,16871,1700742,1700742,16970,52
16971,2642036,16971,1700742,1700742,17070,31
17071,2641484,17072,1700742,1700742,17171,41
17172,2643732,17172,1700742,1700742,17271,72
17273,2647680,17273,1700742,1700742,17372,52
17373,2652116,17374,1700742,1700742,17476,0
17478,2659560,17478,1700742,1700742,17573,62
17574,2660740,17575,1700742,1700742,17673,51
17675,2667796,17676,1700742,1700742,17774,48
17775,2664404,17776,1700742,1700742,17874,23
17876,2664620,17876,1700742,1700742,17974,52
17976,2665424,17977,1700742,1700742,18075,35
18079,2666120,18079,1700742,1700742,18175,55
18177,2668116,18178,1700742,1700742,18275,44
18277,2668804,18278,1700742,1700742,18376,40
18378,2647284,18379,1700742,1700742,18477,56
18479,2646692,18480,1700742,1700742,18578,26
18581,2646592,18582,1700742,1700742,18679,34
18682,2647004,18683,1700742,1700742,18779,32
18782,2646856,18783,1700742,1700742,18879,36
18881,2646560,18881,1700742,1700742,18981,17
18986,2646264,18987,1700742,1700742,19081,25
19085,2646264,19086,1700742,1700742,19182,12
19189,2645448,19191,1700742,1700742,19283,13
