STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",2149167,0,1,3,True
"TfprPrefetchingStrategy",2292,0,0,0,True
"TfprPrefetchingStrategy",2031,0,0,0,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",1770,0,0,0,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",1543386,0,1,3,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",1357136,0,1,3,True
"TfprPrefetchingStrategy",1575261,0,1,3,True
"TfprPrefetchingStrategy",1510,0,0,0,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",1642760,0,1,3,True
"TfprPrefetchingStrategy",1510,0,0,0,True
"TfprPrefetchingStrategy",1461250,0,1,3,True
"TfprPrefetchingStrategy",1453334,0,1,3,True
"TfprPrefetchingStrategy",1979,0,0,0,True
"TfprPrefetchingStrategy",1521406,0,1,3,True
"TfprPrefetchingStrategy",1979,0,0,0,True
"TfprPrefetchingStrategy",4988386,0,1,3,True
"TfprPrefetchingStrategy",996666,0,0,1,True
"TfprPrefetchingStrategy",964323,0,0,1,True
"TfprPrefetchingStrategy",3282,0,0,0,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",2780989,0,1,3,True
"TfprPrefetchingStrategy",1823,0,0,0,True
