Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
75,2363108,75,0,0,74,10
175,2364168,176,0,0,174,25
275,2364364,275,0,0,274,15
375,2363996,375,0,0,374,18
476,2364228,477,0,0,475,11
577,2365540,577,0,0,576,15
676,2365316,677,0,0,675,17
777,2364888,777,0,0,776,21
877,2369216,878,0,0,876,18
977,2386320,978,0,0,976,33
1078,2389468,1078,0,0,1077,17
1180,2389468,1180,0,0,1178,8
1280,2390560,1280,0,0,1278,24
1380,2392556,1381,0,0,1379,31
1481,2419380,1481,0,0,1480,31
1581,2419832,1582,0,0,1581,21
1682,2420992,1683,0,0,1682,25
1782,2421456,1782,0,0,1782,23
1883,2420752,1883,0,0,1883,20
1984,2420984,1985,0,0,1984,16
2084,2421384,2085,0,0,2084,16
2185,2421640,2185,0,0,2184,15
2285,2421248,2285,0,0,2284,12
2387,2421248,2388,0,0,2386,7
2487,2421660,2487,0,0,2486,19
2587,2421872,2587,0,0,2586,15
2687,2419608,2687,0,0,2686,15
2789,2419548,2790,0,0,2788,11
2889,2420096,2890,0,0,2888,16
2991,2420392,2991,0,0,2989,14
3090,2419608,3090,0,0,3089,17
3192,2419844,3192,0,0,3191,15
3292,2420288,3292,0,0,3291,11
3392,2420564,3393,0,0,3392,16
3493,2419976,3493,0,0,3492,12
3594,2419968,3595,0,0,3593,7
3695,2420540,3695,0,0,3694,17
3794,2421620,3794,0,0,3793,27
3894,2421580,3895,0,0,3894,23
3996,2422876,3996,0,0,3995,21
4096,2424708,4096,0,0,4095,30
4197,2426428,4197,0,0,4196,29
4297,2426476,4297,0,0,4296,13
4398,2421004,4398,0,0,4397,14
4499,2422332,4499,0,0,4498,34
4599,2440072,4599,0,0,4598,37
4701,2437576,4702,0,0,4700,19
4800,2421848,4800,0,0,4799,43
4902,2421260,4902,0,0,4900,31
5001,2421784,5001,0,0,5000,16
5101,2422376,5101,0,0,5100,8
5202,2422504,5202,0,0,5201,11
5302,2422504,5302,0,0,5301,17
5402,2421924,5403,0,0,5402,11
5503,2426512,5504,0,0,5502,37
5603,2430212,5604,0,0,5602,38
5704,2430316,5704,0,0,5703,14
5807,2430120,5807,0,0,5805,1
5905,2431232,5906,0,0,5904,18
6006,2431552,6007,0,0,6005,15
6106,2431552,6106,0,0,6105,15
6208,2431160,6209,0,0,6207,10
6308,2431204,6309,0,0,6307,18
6408,2431612,6408,0,0,6407,15
6509,2431664,6509,0,0,6507,16
6609,2431288,6610,0,0,6608,11
6710,2431164,6711,0,0,6709,5
6811,2432400,6812,0,0,6810,18
6911,2432284,6911,0,0,6910,17
7011,2431892,7011,0,0,7010,8
7114,2431892,7114,0,0,7112,7
7212,2430268,7212,0,0,7211,28
7313,2430516,7313,0,0,7312,13
7413,2429928,7414,0,0,7412,7
7514,2429928,7514,0,0,7513,5
7615,2430116,7616,0,0,7614,16
7716,2426148,7716,0,0,7714,14
7816,2426120,7816,0,0,7815,13
7917,2425916,7917,0,0,7916,1
8018,2426436,8019,0,0,8016,16
8117,2426656,8118,0,0,8116,14
8217,2426656,8218,0,0,8216,15
8319,2425872,8319,0,0,8317,9
8421,2426812,8421,0,0,8419,10
8521,2426224,8521,0,0,8519,15
8620,2426180,8620,0,0,8619,13
8721,2425868,8721,0,0,8720,6
8823,2426200,8824,0,0,8822,9
8923,2426808,8924,0,0,8922,14
9023,2426776,9023,0,0,9022,13
9123,2425992,9123,0,0,9122,11
9225,2425796,9226,0,0,9224,2
9325,2426588,9325,0,0,9324,15
9427,2426588,9427,0,0,9424,14
9525,2426000,9526,0,0,9524,16
9626,2425680,9626,0,0,9625,2
9728,2426064,9728,0,0,9726,15
9827,2426396,9827,0,0,9826,20
9927,2426448,9928,0,0,9926,17
10028,2425860,10029,0,0,10027,10
10129,2426060,10130,0,0,10128,10
10231,2426988,10231,0,0,10229,17
10330,2426988,10330,0,0,10329,13
10430,2426400,10430,0,0,10430,11
10532,2426272,10533,0,0,10531,9
10632,2426592,10633,0,0,10631,15
10733,2426716,10733,0,0,10732,12
10832,2426716,10833,0,0,10832,13
10934,2426192,10934,0,0,10933,2
11034,2426972,11035,0,0,11034,13
11134,2427136,11134,0,0,11133,13
11234,2427384,11235,0,0,11234,13
11335,2426796,11335,0,0,11334,8
11437,2426600,11437,0,0,11436,8
11537,2427496,11537,0,0,11536,15
11636,2427408,11637,0,0,11636,14
11737,2426924,11737,0,0,11736,17
11840,2426924,11841,0,0,11839,6
11941,2427604,11941,0,0,11940,14
12042,2427604,12042,0,0,12041,14
12141,2427604,12141,0,0,12140,15
12241,2423916,12242,0,0,12241,6
12342,2424452,12343,0,0,12342,13
12442,2425172,12443,0,0,12442,24
12542,2425884,12543,0,0,12542,26
12644,2426264,12645,0,0,12644,17
12744,2427408,12745,0,0,12744,24
12844,2429664,12845,0,0,12844,37
12945,2429664,12945,0,0,12944,19
13048,2424176,13049,0,0,13046,6
13146,2428324,13147,0,0,13145,33
13246,2428876,13247,0,0,13246,25
13347,2428852,13347,0,0,13346,21
13447,2429844,13447,0,0,13446,19
13548,2430108,13548,0,0,13547,28
13648,2430208,13648,0,0,13647,21
13748,2429708,13748,0,0,13747,8
13849,2430696,13850,0,0,13848,20
13950,2430992,13950,0,0,13949,16
14049,2430992,14050,0,0,14048,12
14150,2430600,14150,0,0,14149,2
14251,2431104,14252,0,0,14250,10
14351,2431352,14351,0,0,14350,15
14451,2431352,14452,0,0,14451,13
14555,2430764,14556,0,0,14552,8
14653,2430724,14654,0,0,14652,10
14754,2431332,14754,0,0,14753,16
14854,2431332,14854,0,0,14852,17
14954,2430940,14954,0,0,14953,14
15056,2430940,15057,0,0,15055,1
15156,2431084,15157,0,0,15155,19
15257,2431084,15258,0,0,15256,17
15356,2431084,15357,0,0,15355,17
15457,2430888,15457,0,0,15456,13
15559,2431120,15560,0,0,15558,9
15659,2431768,15659,0,0,15658,16
15762,2431796,15762,0,0,15759,13
15859,2431196,15860,0,0,15859,20
15960,2431196,15960,0,0,15959,2
16061,2431012,16062,0,0,16060,14
16161,2431528,16161,0,0,16160,15
16262,2431816,16262,0,0,16261,15
16362,2431424,16362,0,0,16361,9
16464,2431652,16465,0,0,16463,6
16564,2432436,16564,0,0,16563,13
16666,2432232,16667,0,0,16664,16
16765,2432088,16765,0,0,16764,16
16866,2431580,16866,0,0,16864,3
16967,2431792,16968,0,0,16965,12
17066,2432112,17067,0,0,17065,14
17167,2432112,17168,0,0,17166,15
17269,2431728,17270,0,0,17267,17
17369,2429852,17369,0,0,17368,15
17469,2430208,17470,0,0,17468,17
17569,2430012,17570,0,0,17568,17
17670,2429704,17670,0,0,17669,14
17770,2429508,17771,0,0,17769,1
17871,2430240,17872,0,0,17870,14
17973,2430460,17973,0,0,17971,13
18072,2430584,18072,0,0,18071,16
18172,2429800,18172,0,0,18171,6
18222,2429800,18223,0,0,18222,4
18324,2430232,18324,0,0,18323,15
18424,2430788,18424,0,0,18423,16
18524,2430788,18524,0,0,18523,14
18626,2429944,18627,0,0,18624,5
18726,2430392,18727,0,0,18725,12
18826,2430900,18826,0,0,18825,17
18926,2430900,18926,0,0,18925,16
19027,2430704,19027,0,0,19026,14
19129,2430704,19130,0,0,19127,7
19228,2431436,19229,0,0,19227,17
19328,2431684,19329,0,0,19327,12
19429,2431292,19429,0,0,19428,14
19532,2431292,19533,0,0,19530,1
19631,2431820,19631,0,0,19629,16
19732,2431796,19732,0,0,19730,16
19831,2431796,19831,0,0,19830,15
19932,2431208,19932,0,0,19931,5
20033,2431208,20034,0,0,20032,9
20134,2431996,20134,0,0,20132,14
20233,2431996,20234,0,0,20232,15
20334,2431644,20334,0,0,20333,16
20435,2431644,20435,0,0,20434,3
20535,2431992,20536,0,0,20534,14
20637,2431780,20637,0,0,20635,15
20736,2432024,20737,0,0,20735,17
20837,2431232,20837,0,0,20835,7
20938,2431232,20939,0,0,20937,11
21038,2431624,21038,0,0,21037,16
