datetime,cpu,mem
Tue Aug  4 09:26:38 GMT 2020,22,102767
Tue Aug  4 09:26:38 GMT 2020,22,106845
Tue Aug  4 09:26:39 GMT 2020,22,107100
Tue Aug  4 09:26:39 GMT 2020,22,107124
Tue Aug  4 09:26:39 GMT 2020,22,107140
Tue Aug  4 09:26:40 GMT 2020,22,107140
Tue Aug  4 09:26:40 GMT 2020,22,107140
Tue Aug  4 09:26:41 GMT 2020,22,107140
Tue Aug  4 09:26:41 GMT 2020,22,107140
Tue Aug  4 09:26:41 GMT 2020,22,107136
Tue Aug  4 09:26:42 GMT 2020,22,107136
Tue Aug  4 09:26:42 GMT 2020,22,106472
Tue Aug  4 09:26:43 GMT 2020,22,106490
Tue Aug  4 09:26:43 GMT 2020,22,109008
Tue Aug  4 09:26:43 GMT 2020,22,109218
Tue Aug  4 09:26:44 GMT 2020,22,109353
Tue Aug  4 09:26:44 GMT 2020,22,116219
Tue Aug  4 09:26:44 GMT 2020,22,117721
Tue Aug  4 09:26:45 GMT 2020,22,118151
Tue Aug  4 09:26:45 GMT 2020,22,118127
Tue Aug  4 09:26:46 GMT 2020,22,118128
Tue Aug  4 09:26:46 GMT 2020,22,118128
Tue Aug  4 09:26:46 GMT 2020,22,118132
Tue Aug  4 09:26:47 GMT 2020,22,118133
Tue Aug  4 09:26:47 GMT 2020,22,118113
Tue Aug  4 09:26:48 GMT 2020,22,117261
Tue Aug  4 09:26:48 GMT 2020,22,117277
Tue Aug  4 09:26:48 GMT 2020,22,117281
Tue Aug  4 09:26:49 GMT 2020,22,117241
Tue Aug  4 09:26:49 GMT 2020,22,117241
Tue Aug  4 09:26:50 GMT 2020,22,117241
Tue Aug  4 09:26:50 GMT 2020,22,117241
Tue Aug  4 09:26:51 GMT 2020,22,117241
Tue Aug  4 09:26:51 GMT 2020,22,117241
Tue Aug  4 09:26:52 GMT 2020,22,117241
Tue Aug  4 09:26:52 GMT 2020,22,117241
Tue Aug  4 09:26:52 GMT 2020,22,117217
Tue Aug  4 09:26:53 GMT 2020,22,117222
Tue Aug  4 09:26:53 GMT 2020,22,117226
Tue Aug  4 09:26:53 GMT 2020,22,119461
Tue Aug  4 09:26:54 GMT 2020,22,139475
Tue Aug  4 09:26:54 GMT 2020,22,174703
Tue Aug  4 09:26:55 GMT 2020,22,188494
Tue Aug  4 09:26:55 GMT 2020,22,188688
Tue Aug  4 09:26:56 GMT 2020,22,188893
Tue Aug  4 09:26:56 GMT 2020,22,189129
Tue Aug  4 09:26:57 GMT 2020,22,187989
Tue Aug  4 09:26:57 GMT 2020,22,188208
Tue Aug  4 09:26:58 GMT 2020,22,187924
Tue Aug  4 09:26:58 GMT 2020,22,187940
Tue Aug  4 09:26:59 GMT 2020,22,188005
Tue Aug  4 09:26:59 GMT 2020,22,187990
Tue Aug  4 09:27:00 GMT 2020,22,188006
Tue Aug  4 09:27:00 GMT 2020,22,187991
Tue Aug  4 09:27:01 GMT 2020,22,188071
Tue Aug  4 09:27:01 GMT 2020,22,188112
Tue Aug  4 09:27:02 GMT 2020,22,188095
Tue Aug  4 09:27:02 GMT 2020,22,188095
Tue Aug  4 09:27:03 GMT 2020,22,187859
Tue Aug  4 09:27:03 GMT 2020,22,187871
Tue Aug  4 09:27:04 GMT 2020,22,187877
Tue Aug  4 09:27:04 GMT 2020,22,187893
Tue Aug  4 09:27:05 GMT 2020,22,187893
Tue Aug  4 09:27:06 GMT 2020,22,187893
Tue Aug  4 09:27:06 GMT 2020,22,187794
Tue Aug  4 09:27:06 GMT 2020,22,187145
Tue Aug  4 09:27:07 GMT 2020,22,187589
Tue Aug  4 09:27:07 GMT 2020,22,188032
Tue Aug  4 09:27:08 GMT 2020,22,188652
Tue Aug  4 09:27:08 GMT 2020,22,172774
Tue Aug  4 09:27:09 GMT 2020,22,191181
Tue Aug  4 09:27:09 GMT 2020,22,191838
Tue Aug  4 09:27:10 GMT 2020,22,192538
Tue Aug  4 09:27:10 GMT 2020,22,192802
Tue Aug  4 09:27:11 GMT 2020,22,193126
Tue Aug  4 09:27:11 GMT 2020,22,193179
Tue Aug  4 09:27:12 GMT 2020,22,193211
Tue Aug  4 09:27:12 GMT 2020,22,193069
Tue Aug  4 09:27:13 GMT 2020,22,176218
Tue Aug  4 09:27:13 GMT 2020,22,191460
Tue Aug  4 09:27:14 GMT 2020,22,191543
Tue Aug  4 09:27:15 GMT 2020,22,191142
Tue Aug  4 09:27:15 GMT 2020,22,191290
Tue Aug  4 09:27:16 GMT 2020,22,192200
Tue Aug  4 09:27:16 GMT 2020,22,192369
Tue Aug  4 09:27:17 GMT 2020,22,192470
Tue Aug  4 09:27:17 GMT 2020,22,192808
Tue Aug  4 09:27:18 GMT 2020,22,192836
Tue Aug  4 09:27:18 GMT 2020,22,192924
Tue Aug  4 09:27:19 GMT 2020,22,192659
Tue Aug  4 09:27:19 GMT 2020,22,192799
Tue Aug  4 09:27:20 GMT 2020,22,192783
Tue Aug  4 09:27:21 GMT 2020,22,192789
Tue Aug  4 09:27:21 GMT 2020,22,192789
Tue Aug  4 09:27:22 GMT 2020,22,192781
Tue Aug  4 09:27:22 GMT 2020,22,192773
Tue Aug  4 09:27:23 GMT 2020,22,192741
Tue Aug  4 09:27:24 GMT 2020,22,192737
Tue Aug  4 09:27:24 GMT 2020,22,192633
Tue Aug  4 09:27:25 GMT 2020,22,192665
Tue Aug  4 09:27:25 GMT 2020,22,192673
Tue Aug  4 09:27:26 GMT 2020,22,192685
Tue Aug  4 09:27:26 GMT 2020,22,192666
Tue Aug  4 09:27:27 GMT 2020,22,193373
Tue Aug  4 09:27:27 GMT 2020,22,180153
Tue Aug  4 09:27:28 GMT 2020,22,198521
Tue Aug  4 09:27:28 GMT 2020,22,198521
Tue Aug  4 09:27:29 GMT 2020,22,199569
Tue Aug  4 09:27:29 GMT 2020,22,199381
Tue Aug  4 09:27:30 GMT 2020,22,199013
Tue Aug  4 09:27:30 GMT 2020,22,198518
Tue Aug  4 09:27:31 GMT 2020,22,198511
Tue Aug  4 09:27:32 GMT 2020,22,197767
Tue Aug  4 09:27:32 GMT 2020,22,198382
Tue Aug  4 09:27:33 GMT 2020,22,198391
Tue Aug  4 09:27:33 GMT 2020,22,198543
Tue Aug  4 09:27:34 GMT 2020,22,197134
Tue Aug  4 09:27:35 GMT 2020,22,198045
Tue Aug  4 09:27:35 GMT 2020,22,198523
Tue Aug  4 09:27:36 GMT 2020,22,198701
Tue Aug  4 09:27:36 GMT 2020,22,199509
Tue Aug  4 09:27:37 GMT 2020,22,199661
Tue Aug  4 09:27:37 GMT 2020,22,199749
Tue Aug  4 09:27:38 GMT 2020,22,199737
Tue Aug  4 09:27:39 GMT 2020,22,199817
Tue Aug  4 09:27:39 GMT 2020,22,199445
Tue Aug  4 09:27:40 GMT 2020,22,199525
Tue Aug  4 09:27:41 GMT 2020,22,199553
Tue Aug  4 09:27:41 GMT 2020,22,199641
Tue Aug  4 09:27:42 GMT 2020,22,199680
Tue Aug  4 09:27:42 GMT 2020,22,199708
Tue Aug  4 09:27:43 GMT 2020,22,199736
Tue Aug  4 09:27:44 GMT 2020,22,199776
Tue Aug  4 09:27:44 GMT 2020,22,199808
Tue Aug  4 09:27:45 GMT 2020,22,199838
Tue Aug  4 09:27:46 GMT 2020,22,199909
Tue Aug  4 09:27:46 GMT 2020,22,215867
Tue Aug  4 09:27:47 GMT 2020,22,205060
Tue Aug  4 09:27:47 GMT 2020,22,205060
Tue Aug  4 09:27:48 GMT 2020,22,206006
Tue Aug  4 09:27:49 GMT 2020,22,205715
Tue Aug  4 09:27:49 GMT 2020,22,205715
Tue Aug  4 09:27:50 GMT 2020,22,204823
Tue Aug  4 09:27:51 GMT 2020,22,204839
Tue Aug  4 09:27:51 GMT 2020,22,204855
Tue Aug  4 09:27:52 GMT 2020,22,204875
Tue Aug  4 09:27:53 GMT 2020,22,205007
Tue Aug  4 09:27:53 GMT 2020,22,205043
Tue Aug  4 09:27:54 GMT 2020,22,205031
Tue Aug  4 09:27:54 GMT 2020,22,205031
Tue Aug  4 09:27:55 GMT 2020,22,204839
Tue Aug  4 09:27:55 GMT 2020,22,204915
Tue Aug  4 09:27:56 GMT 2020,22,204995
Tue Aug  4 09:27:57 GMT 2020,22,204999
Tue Aug  4 09:27:57 GMT 2020,22,205003
Tue Aug  4 09:27:58 GMT 2020,22,205003
Tue Aug  4 09:27:58 GMT 2020,22,205714
Tue Aug  4 09:27:59 GMT 2020,22,204495
Tue Aug  4 09:27:59 GMT 2020,22,204387
Tue Aug  4 09:28:00 GMT 2020,22,204136
Tue Aug  4 09:28:01 GMT 2020,22,235558
Tue Aug  4 09:28:01 GMT 2020,22,207734
Tue Aug  4 09:28:02 GMT 2020,22,207951
Tue Aug  4 09:28:03 GMT 2020,22,208759
Tue Aug  4 09:28:03 GMT 2020,22,208767
Tue Aug  4 09:28:04 GMT 2020,22,208771
Tue Aug  4 09:28:05 GMT 2020,22,208726
Tue Aug  4 09:28:05 GMT 2020,22,208815
Tue Aug  4 09:28:06 GMT 2020,22,208739
Tue Aug  4 09:28:06 GMT 2020,22,208843
Tue Aug  4 09:28:07 GMT 2020,22,192343
Tue Aug  4 09:28:08 GMT 2020,22,208651
Tue Aug  4 09:28:08 GMT 2020,22,209258
Tue Aug  4 09:28:09 GMT 2020,22,211301
Tue Aug  4 09:28:10 GMT 2020,22,211465
Tue Aug  4 09:28:11 GMT 2020,22,211338
Tue Aug  4 09:28:11 GMT 2020,22,211354
Tue Aug  4 09:28:12 GMT 2020,22,211366
Tue Aug  4 09:28:13 GMT 2020,22,211370
Tue Aug  4 09:28:14 GMT 2020,22,211366
Tue Aug  4 09:28:14 GMT 2020,22,211542
Tue Aug  4 09:28:15 GMT 2020,22,211498
Tue Aug  4 09:28:16 GMT 2020,22,211486
Tue Aug  4 09:28:16 GMT 2020,22,211282
Tue Aug  4 09:28:17 GMT 2020,22,211314
Tue Aug  4 09:28:18 GMT 2020,22,211422
Tue Aug  4 09:28:18 GMT 2020,22,211406
Tue Aug  4 09:28:19 GMT 2020,22,211353
Tue Aug  4 09:28:20 GMT 2020,22,198689
Tue Aug  4 09:28:20 GMT 2020,22,216749
Tue Aug  4 09:28:21 GMT 2020,22,217637
Tue Aug  4 09:28:22 GMT 2020,22,217825
Tue Aug  4 09:28:23 GMT 2020,22,217581
Tue Aug  4 09:28:23 GMT 2020,22,216869
Tue Aug  4 09:28:24 GMT 2020,22,215888
Tue Aug  4 09:28:25 GMT 2020,22,216634
Tue Aug  4 09:28:25 GMT 2020,22,216693
Tue Aug  4 09:28:26 GMT 2020,22,199465
Tue Aug  4 09:28:27 GMT 2020,22,214577
Tue Aug  4 09:28:27 GMT 2020,22,215516
Tue Aug  4 09:28:28 GMT 2020,22,215617
