STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",488541,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",196303,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293958,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39219,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",291510,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",33594,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",546250,0,2,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",224114,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",206458,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39218,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",553698,0,2,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",300521,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",268646,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38697,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",191198,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50000,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",330417,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",323593,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",407813,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50156,0,0,0,True
