datetime,cpu,mem
Mon Aug  3 21:33:20 GMT 2020,0.6,75603
Mon Aug  3 21:33:20 GMT 2020,0.6,76420
Mon Aug  3 21:33:20 GMT 2020,0.6,93562
Mon Aug  3 21:33:21 GMT 2020,0.6,148394
Mon Aug  3 21:33:21 GMT 2020,0.6,198334
Mon Aug  3 21:33:22 GMT 2020,16,208415
Mon Aug  3 21:33:22 GMT 2020,16,179371
Mon Aug  3 21:33:23 GMT 2020,16,219770
Mon Aug  3 21:33:23 GMT 2020,16,222040
Mon Aug  3 21:33:23 GMT 2020,16,225499
Mon Aug  3 21:33:24 GMT 2020,16,225328
Mon Aug  3 21:33:24 GMT 2020,16,225377
Mon Aug  3 21:33:25 GMT 2020,16,224465
Mon Aug  3 21:33:25 GMT 2020,16,224482
Mon Aug  3 21:33:26 GMT 2020,16,224486
Mon Aug  3 21:33:26 GMT 2020,16,224494
Mon Aug  3 21:33:27 GMT 2020,24,225451
Mon Aug  3 21:33:27 GMT 2020,24,235349
Mon Aug  3 21:33:28 GMT 2020,24,243390
Mon Aug  3 21:33:28 GMT 2020,24,238335
Mon Aug  3 21:33:28 GMT 2020,24,238331
Mon Aug  3 21:33:29 GMT 2020,24,238331
Mon Aug  3 21:33:29 GMT 2020,24,238331
Mon Aug  3 21:33:30 GMT 2020,24,238319
Mon Aug  3 21:33:30 GMT 2020,24,238159
Mon Aug  3 21:33:31 GMT 2020,24,238201
Mon Aug  3 21:33:31 GMT 2020,24,238815
Mon Aug  3 21:33:32 GMT 2020,24,248028
Mon Aug  3 21:33:32 GMT 2020,24,246209
Mon Aug  3 21:33:33 GMT 2020,24,241893
Mon Aug  3 21:33:33 GMT 2020,24,242343
Mon Aug  3 21:33:34 GMT 2020,24,242507
Mon Aug  3 21:33:34 GMT 2020,24,242507
Mon Aug  3 21:33:35 GMT 2020,24,242507
Mon Aug  3 21:33:35 GMT 2020,24,241863
Mon Aug  3 21:33:36 GMT 2020,24,241832
Mon Aug  3 21:33:36 GMT 2020,18,208497
Mon Aug  3 21:33:37 GMT 2020,18,208122
Mon Aug  3 21:33:37 GMT 2020,18,224523
Mon Aug  3 21:33:38 GMT 2020,18,224519
Mon Aug  3 21:33:38 GMT 2020,18,245826
Mon Aug  3 21:33:39 GMT 2020,18,259013
Mon Aug  3 21:33:39 GMT 2020,18,259847
Mon Aug  3 21:33:40 GMT 2020,18,243742
Mon Aug  3 21:33:40 GMT 2020,18,243735
Mon Aug  3 21:33:41 GMT 2020,18,260165
Mon Aug  3 21:33:41 GMT 2020,18,210630
Mon Aug  3 21:33:42 GMT 2020,18,210182
Mon Aug  3 21:33:42 GMT 2020,18,210155
Mon Aug  3 21:33:43 GMT 2020,0,227246
Mon Aug  3 21:33:43 GMT 2020,0,227246
Mon Aug  3 21:33:44 GMT 2020,0,227242
Mon Aug  3 21:33:44 GMT 2020,0,227246
Mon Aug  3 21:33:45 GMT 2020,0,227239
Mon Aug  3 21:33:45 GMT 2020,0,227271
Mon Aug  3 21:33:46 GMT 2020,0,243867
Mon Aug  3 21:33:46 GMT 2020,0,243868
Mon Aug  3 21:33:47 GMT 2020,0,244978
Mon Aug  3 21:33:47 GMT 2020,0,229175
Mon Aug  3 21:33:48 GMT 2020,0,229179
Mon Aug  3 21:33:49 GMT 2020,0,245799
Mon Aug  3 21:33:49 GMT 2020,0,246215
Mon Aug  3 21:33:50 GMT 2020,0,246207
Mon Aug  3 21:33:50 GMT 2020,0,246207
Mon Aug  3 21:33:51 GMT 2020,0,245175
Mon Aug  3 21:33:52 GMT 2020,0,245137
Mon Aug  3 21:33:52 GMT 2020,23,244383
Mon Aug  3 21:33:53 GMT 2020,23,243979
Mon Aug  3 21:33:53 GMT 2020,23,243976
Mon Aug  3 21:33:54 GMT 2020,23,227524
Mon Aug  3 21:33:54 GMT 2020,23,227509
Mon Aug  3 21:33:55 GMT 2020,23,227506
Mon Aug  3 21:33:55 GMT 2020,23,244439
Mon Aug  3 21:33:56 GMT 2020,23,244827
Mon Aug  3 21:33:56 GMT 2020,23,244859
Mon Aug  3 21:33:57 GMT 2020,23,244851
Mon Aug  3 21:33:57 GMT 2020,23,244851
Mon Aug  3 21:33:58 GMT 2020,23,244859
Mon Aug  3 21:33:59 GMT 2020,23,244859
Mon Aug  3 21:33:59 GMT 2020,23,244847
Mon Aug  3 21:34:00 GMT 2020,21,244834
