RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,22,22,4.545454545454546,50.0,1,1,2,0,18
2,22,22,9.090909090909092,50.0,2,2,3,0,15
3,22,22,9.090909090909092,50.0,2,2,3,0,15
4,22,22,9.090909090909092,50.0,2,2,3,0,15
5,22,22,9.090909090909092,50.0,2,2,3,0,15
6,22,22,9.090909090909092,50.0,2,2,3,0,15
7,22,22,9.090909090909092,50.0,2,2,3,0,15
8,22,22,9.090909090909092,50.0,2,2,3,0,15
9,22,22,9.090909090909092,50.0,2,2,3,0,15
10,22,22,9.090909090909092,50.0,2,2,3,0,15
