Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
30,2443160,31,0,0,28,19
80,2444004,80,0,0,78,17
184,2445724,186,0,0,180,28
281,2447244,282,0,0,279,26
385,2448448,387,0,0,383,18
482,2457792,482,0,0,481,40
582,2479500,582,0,0,581,26
682,2501724,683,0,0,681,36
782,2525140,782,0,0,781,33
885,2545864,887,0,0,884,35
986,2555176,988,0,0,984,33
1084,2556988,1084,0,0,1083,35
1184,2564500,1184,0,0,1183,41
1285,2569924,1286,0,0,1285,43
1386,2568612,1387,0,0,1386,28
1486,2569696,1487,0,0,1485,14
1587,2570004,1587,0,0,1586,18
1688,2537720,1689,0,0,1687,27
1788,2548844,1788,0,0,1787,27
1888,2550216,1889,0,0,1887,32
1988,2547968,1989,0,0,1988,40
2089,2553044,2089,0,0,2088,32
2192,2557664,2194,0,0,2190,39
2290,2565628,2291,0,0,2289,40
2390,2572936,2390,0,0,2389,43
2494,2569000,2495,0,0,2492,22
2591,2570988,2592,0,0,2590,30
2691,2572332,2692,0,0,2690,14
2792,2576616,2792,0,0,2790,27
2894,2577332,2895,0,0,2892,24
2995,2577648,2996,0,0,2993,27
3099,2578452,3100,0,0,3096,14
3197,2579784,3198,0,0,3195,26
3297,2580084,3298,0,0,3295,28
3397,2580084,3398,0,0,3396,25
3497,2579104,3497,0,0,3495,21
3601,2579104,3603,0,0,3597,3
3696,2580176,3697,277812,277812,3695,28
3797,2580440,3797,277812,277812,3795,22
3897,2581352,3898,277812,277812,3896,27
4000,2580368,4001,277812,277812,3998,11
4101,2580456,4102,277812,277812,4099,11
4199,2581068,4200,277812,277812,4198,20
4303,2581068,4304,277812,277812,4300,14
4401,2585088,4402,277812,277812,4399,23
4500,2599632,4500,277812,277812,4499,21
4601,2598284,4601,277812,277812,4599,20
4701,2579376,4701,277812,277812,4700,20
4804,2579508,4805,277812,277812,4802,19
4905,2578700,4907,277812,277812,4903,16
5007,2578700,5009,277812,277812,5005,9
5103,2579492,5104,277812,277812,5102,18
5203,2579492,5204,277812,277812,5202,17
5307,2579576,5308,277812,277812,5304,21
5408,2578988,5409,277812,277812,5405,15
5507,2579276,5508,277812,277812,5505,11
5606,2579828,5606,277812,277812,5604,18
5709,2579828,5710,277812,277812,5707,16
5809,2579836,5810,277812,277812,5807,19
5910,2579076,5911,277812,277812,5908,14
6008,2580380,6009,277812,277812,6007,21
6108,2581316,6109,277812,277812,6107,30
6212,2582308,6214,277812,277812,6210,29
6313,2582464,6315,277812,277812,6310,28
6411,2584468,6411,277812,277812,6409,26
6510,2584768,6511,277812,277812,6509,29
6610,2584996,6610,277812,277812,6609,18
6710,2579896,6710,277812,277812,6709,22
6811,2596496,6811,277812,277812,6809,19
6910,2598000,6911,277812,277812,6910,31
7011,2590536,7011,277812,277812,7010,31
7111,2589740,7111,277812,277812,7110,21
7213,2596444,7214,277812,277812,7212,23
7312,2598500,7312,277812,277812,7311,29
7412,2593064,7412,277812,277812,7412,19
7513,2592868,7513,277812,277812,7512,20
7613,2593080,7614,277812,277812,7613,2
7715,2593636,7715,277812,277812,7714,20
7815,2593500,7816,277812,277812,7814,18
7914,2592360,7914,277812,277812,7913,20
8015,2591576,8015,277812,277812,8014,7
8115,2591576,8115,277812,277812,8115,6
8216,2592136,8217,277812,277812,8216,15
8317,2592136,8317,277812,277812,8316,15
8417,2592136,8417,277812,277812,8416,14
8517,2591548,8518,277812,277812,8517,7
8618,2591812,8619,277812,277812,8618,9
8719,2592740,8720,277812,277812,8719,18
8820,2592480,8821,277812,277812,8819,15
8920,2592460,8921,277812,277812,8920,18
9021,2591872,9021,277812,277812,9020,13
9122,2591916,9122,277812,277812,9121,5
9223,2592828,9224,277812,277812,9222,18
9323,2592828,9323,277812,277812,9322,16
9423,2592828,9424,277812,277812,9422,22
9524,2592044,9524,277812,277812,9523,11
9625,2592044,9625,277812,277812,9624,11
9725,2592328,9726,277812,277812,9725,19
9827,2592444,9827,277812,277812,9825,16
9926,2592536,9927,277812,277812,9926,15
10027,2591948,10027,277812,277812,10026,10
10128,2592036,10129,277812,277812,10128,12
10229,2592884,10229,277812,277812,10228,18
10329,2592884,10329,277812,277812,10328,16
10429,2592884,10429,277812,277812,10428,15
10530,2592316,10530,277812,277812,10529,9
10632,2592120,10633,277812,277812,10631,10
10731,2593400,10731,277812,277812,10730,31
10831,2591892,10831,277812,277812,10830,32
10931,2592268,10932,277812,277812,10931,26
11032,2594328,11033,277812,277812,11032,17
11133,2594248,11133,277812,277812,11132,28
11233,2594508,11234,277812,277812,11233,15
11334,2589484,11334,277812,277812,11333,28
11434,2601448,11434,277812,277812,11433,17
11535,2606808,11535,277812,277812,11534,30
11635,2599312,11635,277812,277812,11634,28
11735,2600244,11735,277812,277812,11734,27
11837,2596384,11838,277812,277812,11836,17
11937,2597352,11938,277812,277812,11936,12
12037,2597616,12038,277812,277812,12036,18
12137,2593304,12137,277812,277812,12136,18
12237,2593124,12237,277812,277812,12236,15
12340,2593140,12340,277812,277812,12338,2
12439,2593248,12440,277812,277812,12438,16
12538,2593248,12539,277812,277812,12537,17
12639,2593248,12639,277812,277812,12638,16
12739,2592852,12739,277812,277812,12738,9
12839,2593412,12840,277812,277812,12839,10
12941,2590180,12941,277812,277812,12940,23
13040,2590180,13041,277812,277812,13040,24
13141,2590180,13141,277812,277812,13140,22
13241,2589592,13242,277812,277812,13241,17
13343,2589592,13344,277812,277812,13342,8
13443,2590024,13444,277812,277812,13443,20
13543,2589828,13543,277812,277812,13542,18
13644,2589828,13644,277812,277812,13643,17
13744,2589160,13745,277812,277812,13744,10
13846,2589312,13847,277812,277812,13845,3
13946,2590072,13947,277812,277812,13945,14
14046,2590320,14047,277812,277812,14046,14
14146,2590320,14147,277812,277812,14146,18
14247,2589732,14247,277812,277812,14246,13
14348,2590236,14348,277812,277812,14347,5
14449,2590740,14449,277812,277812,14448,17
14549,2590740,14549,277812,277812,14548,17
14649,2590864,14650,277812,277812,14649,16
14750,2590108,14750,277812,277812,14749,16
14851,2589628,14851,277812,277812,14850,2
14953,2590464,14954,277812,277812,14952,14
15052,2590660,15052,277812,277812,15051,19
15152,2590464,15153,277812,277812,15152,21
15253,2589484,15253,277812,277812,15252,18
15354,2590080,15355,277812,277812,15353,19
15454,2591472,15454,277812,277812,15453,29
15555,2592216,15555,277812,277812,15554,28
15655,2592712,15655,277812,277812,15654,32
15756,2594156,15756,277812,277812,15755,25
15856,2590956,15856,277812,277812,15855,17
15957,2590848,15957,277812,277812,15956,32
16057,2586144,16058,277812,277812,16057,26
16158,2585752,16158,277812,277812,16157,20
16258,2586168,16258,277812,277812,16257,18
16358,2586940,16359,277812,277812,16358,17
16459,2586940,16459,277812,277812,16458,17
16559,2586940,16559,277812,277812,16558,16
16660,2585960,16660,277812,277812,16659,6
16761,2586172,16761,277812,277812,16760,7
16861,2586648,16861,277812,277812,16860,13
16961,2586060,16961,277812,277812,16960,0
17061,2587164,17062,277812,277812,17061,29
17162,2587188,17162,277812,277812,17161,22
17263,2588552,17263,277812,277812,17261,27
17363,2589024,17363,277812,277812,17362,37
17463,2590212,17464,277812,277812,17462,31
17563,2590252,17564,277812,277812,17563,44
17664,2590312,17665,277812,277812,17663,9
17766,2585504,17766,277812,277812,17764,25
17864,2589480,17865,277812,277812,17864,38
17966,2594892,17966,277812,277812,17965,42
18066,2595388,18066,277812,277812,18065,30
18166,2594648,18166,277812,277812,18165,19
18267,2596008,18268,277812,277812,18266,22
18366,2596316,18367,277812,277812,18366,33
18467,2604592,18468,277812,277812,18466,34
18567,2604228,18568,277812,277812,18567,32
18668,2602372,18668,277812,277812,18667,22
18768,2602428,18768,277812,277812,18767,28
18868,2605460,18869,277812,277812,18868,34
18969,2597128,18969,277812,277812,18968,37
19069,2589272,19069,277812,277812,19068,29
19170,2588528,19170,277812,277812,19169,12
19271,2588912,19272,277812,277812,19270,12
19371,2589808,19372,277812,277812,19370,27
19472,2590292,19472,277812,277812,19471,20
19572,2590212,19572,277812,277812,19571,23
19623,2590212,19623,277812,277812,19622,19
19723,2589272,19723,277812,277812,19722,24
19824,2590304,19825,277812,277812,19823,22
19924,2591836,19924,277812,277812,19923,31
20026,2592332,20026,277812,277812,20024,33
20125,2592780,20125,277812,277812,20124,38
20226,2593336,20226,277812,277812,20225,35
20326,2594768,20327,277812,277812,20326,23
20427,2595552,20427,277812,277812,20426,24
20527,2596732,20527,277812,277812,20526,35
20628,2591700,20628,277812,277812,20627,23
20728,2591872,20729,277812,277812,20727,30
20828,2590620,20829,277812,277812,20828,18
20929,2591244,20929,277812,277812,20928,18
21030,2591244,21030,277812,277812,21029,14
21130,2590948,21130,277812,277812,21129,20
21230,2590948,21230,277812,277812,21229,18
21330,2590208,21331,277812,277812,21330,8
21431,2590496,21432,277812,277812,21430,13
21531,2590932,21531,277812,277812,21530,18
21632,2591616,21633,277812,277812,21631,30
21732,2592228,21733,277812,277812,21732,34
21833,2592508,21834,277812,277812,21832,25
21934,2593164,21935,277812,277812,21933,25
22034,2595516,22034,277812,277812,22033,34
22134,2595356,22134,277812,277812,22133,47
22234,2595436,22235,277812,277812,22233,19
22335,2590144,22335,277812,277812,22334,16
22437,2590556,22438,277812,277812,22435,28
22535,2589852,22535,277812,277812,22534,37
22635,2590068,22636,277812,277812,22635,23
22736,2590180,22736,277812,277812,22735,19
22836,2589720,22837,277812,277812,22836,9
22937,2589872,22938,277812,277812,22936,6
23037,2590420,23038,277812,277812,23036,19
23138,2590420,23139,277812,277812,23137,15
23238,2590420,23238,277812,277812,23237,15
23338,2589236,23339,277812,277812,23337,16
23440,2589312,23441,277812,277812,23439,5
23540,2590212,23540,277812,277812,23538,18
23639,2590212,23640,277812,277812,23638,16
23740,2590124,23740,277812,277812,23739,18
23840,2590044,23840,277812,277812,23839,21
23941,2589132,23941,277812,277812,23940,7
24042,2589528,24042,277812,277812,24041,8
24141,2590132,24142,277812,277812,24141,21
24242,2590132,24243,277812,277812,24241,21
24342,2590380,24343,277812,277812,24342,30
24443,2590704,24443,277812,277812,24442,34
24543,2591044,24543,277812,277812,24542,21
24643,2592464,24644,277812,277812,24643,38
24744,2593952,24744,277812,277812,24743,34
24844,2595384,24845,277812,277812,24844,34
24945,2595384,24945,277812,277812,24944,23
25045,2590332,25045,277812,277812,25044,27
25145,2590340,25146,277812,277812,25145,23
25246,2590380,25246,277812,277812,25245,33
25346,2590700,25346,277812,277812,25345,22
25446,2590896,25447,277812,277812,25446,19
25547,2590600,25547,277812,277812,25546,13
25648,2590420,25648,277812,277812,25647,13
25747,2591208,25748,277812,277812,25747,22
25848,2591156,25848,277812,277812,25847,23
25948,2591008,25948,277812,277812,25947,17
26048,2590700,26049,277812,277812,26048,19
26149,2591240,26149,277812,277812,26148,16
26249,2593028,26249,277812,277812,26248,31
26351,2593772,26351,277812,277812,26349,32
26450,2593624,26451,277812,277812,26450,31
26551,2595552,26551,277812,277812,26550,40
26651,2594320,26652,277812,277812,26650,24
26752,2595920,26752,277812,277812,26751,20
26852,2591772,26852,277812,277812,26851,26
26952,2593332,26953,277812,277812,26952,36
27053,2593520,27053,277812,277812,27052,28
27154,2592780,27154,277812,277812,27153,13
27254,2593828,27254,277812,277812,27254,22
27354,2593828,27355,277812,277812,27354,21
27455,2593828,27455,277812,277812,27454,19
27555,2589980,27555,277812,277812,27554,20
27655,2588992,27656,277812,277812,27655,13
27756,2589268,27757,277812,277812,27755,11
27856,2589504,27857,277812,277812,27855,19
27957,2589752,27958,277812,277812,27956,20
28057,2589604,28058,277812,277812,28057,20
28158,2589160,28158,277812,277812,28157,18
28260,2589160,28260,277812,277812,28259,4
28359,2590096,28360,277812,277812,28359,21
28461,2590584,28461,277812,277812,28460,22
28560,2590584,28561,277812,277812,28559,28
28661,2590332,28662,277812,277812,28660,30
28761,2589824,28761,277812,277812,28760,25
28863,2589732,28864,277812,277812,28862,7
28963,2590564,28963,277812,277812,28962,22
29063,2590564,29063,277812,277812,29062,21
29164,2590564,29164,277812,277812,29163,18
29263,2590564,29264,277812,277812,29262,20
29364,2590416,29364,277812,277812,29363,18
29464,2590416,29464,277812,277812,29463,4
29565,2590860,29566,277812,277812,29564,22
29665,2591392,29665,277812,277812,29664,18
29766,2591460,29766,277812,277812,29765,20
29866,2591568,29867,277812,277812,29866,23
29967,2590828,29967,277812,277812,29966,16
30068,2590836,30068,277812,277812,30067,5
30169,2591256,30169,277812,277812,30168,20
30269,2591484,30269,277812,277812,30268,18
30369,2590744,30370,277812,277812,30369,20
30470,2590744,30470,277812,277812,30469,18
30570,2590300,30571,277812,277812,30570,17
30672,2590540,30673,277812,277812,30671,15
30772,2590780,30773,277812,277812,30771,26
30872,2591432,30872,277812,277812,30871,28
30972,2592176,30973,277812,277812,30971,32
31073,2592772,31073,277812,277812,31072,38
31174,2592324,31175,277812,277812,31173,28
31274,2594924,31274,277812,277812,31273,39
31375,2596104,31375,277812,277812,31374,41
31475,2596768,31476,277812,277812,31474,30
31577,2591768,31577,277812,277812,31576,35
31679,2590968,31679,277812,277812,31677,22
31780,2590792,31781,277812,277812,31778,17
31878,2590880,31879,277812,277812,31878,29
31980,2591216,31980,277812,277812,31979,16
32079,2590772,32080,277812,277812,32078,21
32180,2590120,32180,277812,277812,32179,14
32281,2589972,32282,277812,277812,32280,1
32381,2591484,32381,277812,277812,32380,16
32480,2591336,32481,277812,277812,32480,16
32581,2591188,32581,277812,277812,32580,18
32681,2592508,32682,277812,277812,32680,30
32782,2592336,32782,277812,277812,32781,19
32882,2593888,32882,277812,277812,32881,27
32984,2594324,32985,277812,277812,32983,32
33083,2596376,33083,277812,277812,33082,32
33183,2596896,33183,277812,277812,33182,27
33284,2596192,33284,277812,277812,33283,22
33384,2590912,33384,277812,277812,33383,26
33484,2591316,33485,277812,277812,33484,25
33585,2591536,33585,277812,277812,33584,27
33685,2591784,33686,277812,277812,33685,17
33786,2591388,33786,277812,277812,33785,6
33886,2591908,33887,277812,277812,33885,10
33986,2592236,33986,277812,277812,33985,17
34087,2592236,34087,277812,277812,34086,18
34187,2592088,34187,277812,277812,34186,17
34287,2591200,34288,277812,277812,34287,16
34388,2591588,34389,277812,277812,34387,15
34488,2592880,34488,277812,277812,34487,36
34588,2593644,34589,277812,277812,34588,33
34689,2594340,34689,277812,277812,34688,33
34789,2595000,34789,277812,277812,34788,29
34889,2596728,34890,1445125,1445125,34889,36
34990,2597768,34990,1445125,1445125,34989,28
35091,2598004,35092,1445125,1445125,35090,20
35191,2592780,35191,1445125,1445125,35190,28
35291,2593764,35291,1445125,1445125,35290,31
35393,2593616,35393,1445125,1445125,35391,1
35493,2594460,35494,1445125,1445125,35492,28
35593,2594460,35593,1445125,1445125,35592,18
35693,2594676,35694,1445125,1445125,35692,18
35794,2594588,35794,1445125,1445125,35793,20
35894,2593680,35894,1445125,1445125,35893,13
35995,2594252,35995,1445125,1445125,35994,16
36097,2594412,36097,1445125,1445125,36095,18
36195,2594412,36196,1445125,1445125,36195,17
36296,2594264,36296,1445125,1445125,36295,16
36396,2593376,36396,1445125,1445125,36395,15
36496,2593220,36496,1445125,1445125,36496,0
36597,2594124,36598,1445125,1445125,36596,18
36697,2594428,36697,1445125,1445125,36696,18
36798,2594272,36798,1445125,1445125,36797,20
36899,2594504,36900,1445125,1445125,36899,18
37000,2594060,37001,1445125,1445125,36999,22
37102,2594060,37102,1445125,1445125,37101,8
37201,2595076,37202,1445125,1445125,37201,19
37302,2595076,37302,1445125,1445125,37301,20
37402,2594928,37402,1445125,1445125,37401,20
37504,2594928,37504,1445125,1445125,37503,23
37605,2592696,37605,1445125,1445125,37604,23
37706,2592804,37707,1445125,1445125,37706,13
37806,2593336,37806,1445125,1445125,37805,22
37906,2593452,37906,1445125,1445125,37905,21
38007,2593452,38007,1445125,1445125,38006,18
38108,2593452,38108,1445125,1445125,38107,23
38208,2592564,38209,1445125,1445125,38208,7
38309,2592808,38310,1445125,1445125,38309,15
38409,2593576,38409,1445125,1445125,38408,20
38510,2593428,38511,1445125,1445125,38509,17
38610,2593428,38611,1445125,1445125,38610,22
38711,2593428,38711,1445125,1445125,38710,18
38812,2592716,38812,1445125,1445125,38811,10
38912,2593372,38913,1445125,1445125,38912,16
