STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",15597343,0,0,3,True
"TfprPrefetchingStrategy",1259323,0,1,1,True
"TfprPrefetchingStrategy",706510,1,1,1,True
"TfprPrefetchingStrategy",886,0,0,0,True
"TfprPrefetchingStrategy",565990,1,1,1,True
"TfprPrefetchingStrategy",781,0,0,0,True
"TfprPrefetchingStrategy",609844,1,1,1,True
"TfprPrefetchingStrategy",781,0,0,0,True
"TfprPrefetchingStrategy",583854,1,1,1,True
"TfprPrefetchingStrategy",1041,0,0,0,True
"TfprPrefetchingStrategy",727188,1,1,1,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",700053,1,1,1,True
"TfprPrefetchingStrategy",763542,1,1,1,True
"TfprPrefetchingStrategy",1146,0,0,0,True
"TfprPrefetchingStrategy",1308855,0,1,2,True
"TfprPrefetchingStrategy",1302,0,0,0,True
"TfprPrefetchingStrategy",1198,0,0,0,True
"TfprPrefetchingStrategy",989,0,0,0,True
"TfprPrefetchingStrategy",1132188,0,1,2,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",810990,0,1,1,True
"TfprPrefetchingStrategy",587708,0,1,1,True
"TfprPrefetchingStrategy",3072,0,0,0,True
"TfprPrefetchingStrategy",892500,0,1,1,True
"TfprPrefetchingStrategy",1198,0,0,0,True
"TfprPrefetchingStrategy",702657,0,1,1,True
"TfprPrefetchingStrategy",885,0,0,0,True
"TfprPrefetchingStrategy",784844,0,1,1,True
"TfprPrefetchingStrategy",781,0,0,0,True
"TfprPrefetchingStrategy",900833,0,1,1,True
"TfprPrefetchingStrategy",1146,0,0,0,True
"TfprPrefetchingStrategy",835730,0,1,1,True
"TfprPrefetchingStrategy",778750,0,1,1,True
"TfprPrefetchingStrategy",1094,0,0,0,True
