Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,155904,2459580.8406169666,1033184.9183804627,1033184.9183804627,18.064301220584056,1784279.3928967814,1784279.3928967814
2,154869,2688893.7812297735,435363.70355987054,416132.6841423948,17.59482200647249,727175.0508108108,695054.0508108108
3,154713,2513116.689119171,1131490.198834197,569930.685880829,17.600122234825097,1415738.141815235,713106.141815235
4,156066,2498826.8472400513,724073.6559691912,724073.6559691912,18.333761232349165,1450008.6838046273,1450008.6838046273
5,155870,2491673.1953727505,334286.0559125964,334286.0559125964,18.605780096615803,639003.8120393121,639003.8120393121
6,151346,2338306.1601588354,699296.6181336863,695295.6181336863,15.612177365982793,699296.6181336863,695295.6181336863
7,152161,2473918.533245556,711580.5806451613,707582.5806451613,16.32937368708234,711580.5806451613,707582.5806451613
8,157871,2376574.421319797,644741.4194162437,644741.4194162437,19.96697608802082,1010052.1640159045,1010052.1640159045
9,161496,2615192.771712159,39428.96650124069,39428.96650124069,22.183728272447954,308541.23300970875,308541.23300970875
10,156916,2666717.5734355045,757247.748403576,757247.748403576,19.307151979565774,1273737.888292159,1273737.888292159
