Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
27,2288672,27,0,0,26,24
128,2288324,128,0,0,127,15
228,2289032,228,0,0,227,14
329,2289908,329,0,0,327,16
431,2289384,432,0,0,429,14
535,2289664,536,0,0,531,3
629,2292312,630,0,0,628,35
730,2295876,730,0,0,729,34
832,2303484,832,0,0,830,33
930,2318304,932,0,0,929,34
1031,2341704,1032,0,0,1030,37
1134,2365100,1134,0,0,1130,34
1231,2386748,1232,0,0,1230,37
1335,2398360,1336,0,0,1333,25
1432,2401432,1433,0,0,1431,34
1533,2409060,1533,0,0,1532,41
1634,2415880,1634,0,0,1633,39
1734,2421048,1734,0,0,1733,20
1837,2424404,1838,0,0,1835,28
1936,2425736,1936,0,0,1934,20
2040,2426524,2040,0,0,2036,17
2136,2392048,2137,0,0,2135,32
2246,2396836,2247,0,0,2242,31
2338,2398968,2339,0,0,2337,37
2439,2402020,2440,0,0,2438,41
2539,2403244,2540,0,0,2538,30
2639,2408388,2640,0,0,2639,30
2740,2417120,2740,0,0,2739,37
2840,2422648,2840,0,0,2839,48
2940,2421012,2941,0,0,2939,27
3041,2421828,3041,0,0,3040,26
3142,2426068,3143,0,0,3141,17
3242,2430120,3243,0,0,3241,28
3342,2431204,3342,0,0,3341,22
3443,2430188,3443,0,0,3442,25
3547,2431192,3549,0,0,3544,8
3643,2432032,3644,0,0,3642,30
3743,2432636,3743,0,0,3742,25
3844,2432884,3844,0,0,3843,34
3944,2432048,3945,0,0,3944,24
4045,2433172,4045,0,0,4044,24
4145,2433852,4145,0,0,4144,22
4245,2433656,4246,0,0,4245,16
4346,2433460,4346,0,0,4345,13
4447,2433264,4448,0,0,4447,15
4547,2433708,4548,0,0,4547,18
4649,2433512,4649,0,0,4648,19
4699,2433512,4699,0,0,4698,18
4799,2432612,4800,0,0,4799,23
4899,2438844,4899,0,0,4899,9
5001,2453572,5002,0,0,5000,30
5101,2451072,5101,0,0,5100,32
5201,2432032,5201,0,0,5200,23
5302,2431888,5302,0,0,5301,10
5403,2432380,5403,0,0,5402,18
5503,2432184,5503,0,0,5502,19
5603,2432184,5603,0,0,5602,18
5703,2431792,5704,0,0,5703,12
5805,2431620,5805,0,0,5804,7
5905,2432548,5906,0,0,5905,16
6005,2432548,6006,0,0,6005,13
6106,2432808,6106,0,0,6105,21
6206,2432888,6206,0,0,6205,21
6306,2434160,6307,0,0,6306,22
6407,2435428,6407,0,0,6406,26
6507,2438204,6508,0,0,6507,28
6608,2438508,6608,0,0,6607,30
6708,2438400,6708,0,0,6707,3
6809,2433368,6809,0,0,6808,28
6909,2446476,6909,0,0,6908,36
7010,2443420,7010,0,0,7009,35
7110,2443588,7110,0,0,7109,15
7211,2444924,7211,0,0,7210,25
7311,2450924,7311,0,0,7310,32
7412,2449172,7412,0,0,7411,35
7512,2450760,7512,0,0,7511,32
7612,2442696,7612,0,0,7611,17
7712,2445664,7713,0,0,7711,31
7813,2442644,7813,3673659,3673659,7812,35
7913,2449956,7913,3673659,3673659,7912,25
8013,2442396,8014,3673659,3673659,8013,21
8114,2451388,8115,3673659,3673659,8113,33
8215,2447644,8215,3673659,3673659,8214,32
8314,2440680,8315,3673659,3673659,8314,38
8416,2441548,8416,3673659,3673659,8415,18
8517,2447220,8517,3673659,3673659,8516,23
8616,2447220,8617,3673659,3673659,8616,26
8717,2446112,8717,3673659,3673659,8716,18
8818,2445736,8818,3673659,3673659,8817,13
8919,2445764,8919,3673659,3673659,8918,6
9019,2446340,9020,3673659,3673659,9019,18
9119,2446340,9120,3673659,3673659,9119,12
9220,2446144,9220,3673659,3673659,9219,17
9320,2445556,9320,3673659,3673659,9320,11
9424,2445556,9424,3673659,3673659,9423,14
9523,2445924,9524,3673659,3673659,9523,18
9623,2446468,9623,3673659,3673659,9623,13
9724,2446732,9724,3673659,3673659,9723,17
9824,2446192,9825,3673659,3673659,9824,13
9927,2446412,9928,3673659,3673659,9926,6
10027,2446580,10027,3673659,3673659,10026,17
10127,2446580,10128,3673659,3673659,10127,15
10227,2446580,10228,3673659,3673659,10227,14
10328,2446180,10329,3673659,3673659,10328,15
10429,2446476,10429,3673659,3673659,10429,5
10530,2447412,10531,3673659,3673659,10529,19
10630,2447608,10630,3673659,3673659,10629,20
10730,2447480,10731,3673659,3673659,10730,16
10831,2447680,10831,3673659,3673659,10830,25
10931,2448400,10932,3673659,3673659,10931,23
11032,2449748,11032,3673659,3673659,11031,31
11133,2451844,11134,3673659,3673659,11132,34
11233,2450244,11233,3673659,3673659,11233,33
11334,2450244,11334,3673659,3673659,11333,7
11434,2445048,11434,3673659,3673659,11433,24
11534,2453608,11534,3673659,3673659,11533,33
11635,2455900,11635,3673659,3673659,11634,33
11735,2455676,11735,3673659,3673659,11734,22
11835,2458024,11835,3673659,3673659,11835,10
11936,2458992,11936,3673659,3673659,11935,18
12036,2454480,12036,3673659,3673659,12035,16
