TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,4,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,5,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,6,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,7,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,8,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,9,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,10,0.0,0.0,0,0,3
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,4,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,5,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,6,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,7,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,8,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,9,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,10,0.5,0.5,3,0,6
nappagreedy,Materialistic,io.github.hidroh.materialistic,1,0.012578616352201257,0.012578616352201259,2,0,314
nappagreedy,Materialistic,io.github.hidroh.materialistic,2,0.011869436201780414,0.011869436201780416,2,0,333
nappagreedy,Materialistic,io.github.hidroh.materialistic,3,0.012698412698412697,0.012698412698412698,2,0,311
nappagreedy,Materialistic,io.github.hidroh.materialistic,4,0.012012012012012012,0.012012012012012012,2,0,329
nappagreedy,Materialistic,io.github.hidroh.materialistic,5,0.012048192771084336,0.012048192771084338,2,0,328
nappagreedy,Materialistic,io.github.hidroh.materialistic,6,0.011940298507462685,0.011940298507462687,2,0,331
nappagreedy,Materialistic,io.github.hidroh.materialistic,7,0.011428571428571429,0.011428571428571429,2,0,346
nappagreedy,Materialistic,io.github.hidroh.materialistic,8,0.012012012012012012,0.012012012012012012,2,0,329
nappagreedy,Materialistic,io.github.hidroh.materialistic,9,0.013289036544850499,0.013289036544850499,2,0,297
nappagreedy,Materialistic,io.github.hidroh.materialistic,10,0.012539184952978056,0.012539184952978056,2,0,315
nappagreedy,RedReader,org.quantumbadger.redreader,1,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,2,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,3,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,4,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,5,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,6,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,7,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,8,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,9,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,10,0.0,0.0,0,0,100
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,4,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,5,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,6,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,7,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,8,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,9,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,10,0.0,0.0,0,0,3
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,1,0.36363636363636365,0.36363636363636365,2,1,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,2,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,3,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,4,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,5,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,6,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,7,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,8,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,9,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,10,0.5,0.5,3,0,6
nappatfpr,Materialistic,io.github.hidroh.materialistic,1,0.011363636363636362,0.011363636363636364,2,0,348
nappatfpr,Materialistic,io.github.hidroh.materialistic,2,0.012084592145015106,0.012084592145015106,2,0,327
nappatfpr,Materialistic,io.github.hidroh.materialistic,3,0.012987012987012988,0.012987012987012988,2,0,304
nappatfpr,Materialistic,io.github.hidroh.materialistic,4,0.012539184952978056,0.012539184952978056,2,0,315
nappatfpr,Materialistic,io.github.hidroh.materialistic,5,0.012658227848101266,0.012658227848101266,2,0,312
nappatfpr,Materialistic,io.github.hidroh.materialistic,6,0.012944983818770227,0.012944983818770227,2,0,305
nappatfpr,Materialistic,io.github.hidroh.materialistic,7,0.012307692307692306,0.012307692307692308,2,1,320
nappatfpr,Materialistic,io.github.hidroh.materialistic,8,0.012121212121212121,0.012121212121212121,2,0,326
nappatfpr,Materialistic,io.github.hidroh.materialistic,9,0.012012012012012012,0.012012012012012012,2,0,329
nappatfpr,Materialistic,io.github.hidroh.materialistic,10,0.012658227848101266,0.012658227848101266,2,0,312
nappatfpr,RedReader,org.quantumbadger.redreader,1,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,2,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,3,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,4,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,5,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,6,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,7,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,8,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,9,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,10,0.0,0.0,0,0,100
nappagreedy,Hillffair,appteam.nith.hillffair,1,0.19999999999999998,0.2,1,0,8
nappagreedy,Hillffair,appteam.nith.hillffair,2,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,3,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,4,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,5,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,6,0.36363636363636365,0.36363636363636365,2,1,6
