datetime,cpu,mem
Wed Aug  5 17:52:14 GMT 2020,0,101256
Wed Aug  5 17:52:15 GMT 2020,0,101592
Wed Aug  5 17:52:15 GMT 2020,0,101616
Wed Aug  5 17:52:16 GMT 2020,0,101652
Wed Aug  5 17:52:16 GMT 2020,0,101188
Wed Aug  5 17:52:16 GMT 2020,0,101184
Wed Aug  5 17:52:17 GMT 2020,0,101184
Wed Aug  5 17:52:17 GMT 2020,0,101184
Wed Aug  5 17:52:18 GMT 2020,0,100297
Wed Aug  5 17:52:18 GMT 2020,0,100347
Wed Aug  5 17:52:19 GMT 2020,0,100351
Wed Aug  5 17:52:19 GMT 2020,0,100355
Wed Aug  5 17:52:19 GMT 2020,0,100355
Wed Aug  5 17:52:20 GMT 2020,0,100851
Wed Aug  5 17:52:20 GMT 2020,0,101375
Wed Aug  5 17:52:20 GMT 2020,0,101375
Wed Aug  5 17:52:21 GMT 2020,0,101375
Wed Aug  5 17:52:21 GMT 2020,0,101376
Wed Aug  5 17:52:22 GMT 2020,0,101602
Wed Aug  5 17:52:22 GMT 2020,0,101559
Wed Aug  5 17:52:22 GMT 2020,0,88456
Wed Aug  5 17:52:23 GMT 2020,0,88595
Wed Aug  5 17:52:23 GMT 2020,0,88555
Wed Aug  5 17:52:24 GMT 2020,0,88575
Wed Aug  5 17:52:24 GMT 2020,0,106453
Wed Aug  5 17:52:24 GMT 2020,0,106522
Wed Aug  5 17:52:25 GMT 2020,0,124316
Wed Aug  5 17:52:25 GMT 2020,0,125149
Wed Aug  5 17:52:26 GMT 2020,0,107768
Wed Aug  5 17:52:26 GMT 2020,0,107824
Wed Aug  5 17:52:27 GMT 2020,0,108380
Wed Aug  5 17:52:27 GMT 2020,0,108301
Wed Aug  5 17:52:28 GMT 2020,0,108309
Wed Aug  5 17:52:28 GMT 2020,0,108221
Wed Aug  5 17:52:28 GMT 2020,0,108895
Wed Aug  5 17:52:29 GMT 2020,0,108186
Wed Aug  5 17:52:29 GMT 2020,0,107684
Wed Aug  5 17:52:30 GMT 2020,0,107692
Wed Aug  5 17:52:30 GMT 2020,0,107684
Wed Aug  5 17:52:31 GMT 2020,0,108260
Wed Aug  5 17:52:31 GMT 2020,0,108228
Wed Aug  5 17:52:32 GMT 2020,0,108228
Wed Aug  5 17:52:32 GMT 2020,0,108227
Wed Aug  5 17:52:32 GMT 2020,0,109165
Wed Aug  5 17:52:33 GMT 2020,0,110220
Wed Aug  5 17:52:33 GMT 2020,0,109932
Wed Aug  5 17:52:34 GMT 2020,0,109952
Wed Aug  5 17:52:34 GMT 2020,0,109958
Wed Aug  5 17:52:35 GMT 2020,0,112572
Wed Aug  5 17:52:35 GMT 2020,0,113701
Wed Aug  5 17:52:35 GMT 2020,0,119242
Wed Aug  5 17:52:36 GMT 2020,0,122615
Wed Aug  5 17:52:36 GMT 2020,0,122607
