Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
31,2385860,32,306134,0,29,21
81,2385972,82,306134,0,80,12
181,2386804,182,306134,0,180,23
282,2387220,282,306134,0,281,18
386,2386684,387,306134,0,384,11
484,2387032,484,306134,0,482,17
584,2387716,584,306134,0,583,26
684,2387768,685,306134,0,683,23
785,2388220,785,306134,0,784,18
886,2388100,886,306134,0,885,17
989,2388872,991,464315,158181,988,16
1089,2384808,1091,464315,158181,1088,17
1194,2383064,1195,464315,158181,1192,5
1288,2383680,1288,464315,158181,1287,24
1391,2383680,1392,464315,158181,1389,13
1492,2383288,1494,464315,158181,1490,15
1594,2383288,1595,464315,158181,1591,7
1691,2383692,1691,464315,158181,1689,16
1794,2383692,1798,464315,158181,1792,14
1895,2382932,1896,464315,158181,1892,12
1995,2382540,1996,464315,158181,1994,13
2093,2383576,2093,464315,158181,2092,17
2193,2383268,2194,464315,158181,2192,15
2296,2382848,2298,464315,158181,2294,14
2399,2382848,2401,464315,158181,2396,5
2495,2383304,2496,464315,158181,2494,17
2597,2383504,2598,464315,158181,2595,18
2696,2382720,2697,464315,158181,2695,16
2797,2387944,2798,464315,158181,2795,12
2896,2401368,2896,464315,158181,2895,25
2996,2399512,2997,464315,158181,2995,29
3101,2381348,3102,464315,158181,3098,8
3198,2381860,3199,464315,158181,3197,10
3298,2382608,3298,464315,158181,3297,16
3401,2382876,3402,464315,158181,3399,13
3505,2382088,3507,464315,158181,3501,7
3601,2382532,3602,464315,158181,3599,17
3701,2383188,3701,464315,158181,3699,16
3800,2382520,3800,464315,158181,3799,25
3901,2382324,3902,464315,158181,3900,11
4001,2383836,4001,464315,158181,4000,28
4101,2384476,4101,464315,158181,4100,28
4205,2385392,4206,464315,158181,4203,21
4301,2386728,4301,464315,158181,4300,31
4402,2387416,4402,464315,158181,4401,21
4503,2382844,4503,464315,158181,4502,18
4604,2382844,4605,464315,158181,4602,19
4703,2382844,4704,464315,158181,4702,26
4804,2382844,4804,464315,158181,4803,11
4906,2383352,4906,464315,158181,4905,10
5007,2384412,5007,464315,158181,5006,15
5106,2383872,5106,464315,158181,5105,13
5206,2383676,5206,464315,158181,5205,3
5309,2384292,5309,464315,158181,5308,9
5409,2384432,5409,464315,158181,5408,13
5508,2384704,5509,464315,158181,5507,17
5610,2384820,5610,464315,158181,5608,15
5709,2387064,5709,464315,158181,5708,26
5810,2387312,5810,464315,158181,5809,26
5910,2388392,5910,464315,158181,5909,21
6010,2387848,6010,464315,158181,6009,28
6111,2383684,6111,464315,158181,6110,24
6211,2385240,6211,464315,158181,6210,28
6311,2385540,6312,464315,158181,6310,29
6412,2386740,6413,464315,158181,6411,36
6512,2386944,6512,464315,158181,6511,35
6613,2388132,6614,464315,158181,6612,25
6713,2389968,6713,464315,158181,6712,34
6813,2386392,6813,464315,158181,6812,35
6914,2386432,6914,464315,158181,6913,12
7015,2387372,7015,464315,158181,7014,33
7114,2387324,7114,464315,158181,7114,30
7215,2386680,7216,464315,158181,7215,6
7317,2386940,7317,464315,158181,7316,12
7417,2387292,7417,464315,158181,7416,12
7516,2386704,7517,464315,158181,7516,12
7619,2386704,7620,464315,158181,7618,1
7719,2387384,7720,464315,158181,7719,14
7819,2388384,7819,464315,158181,7818,25
7919,2388540,7919,464315,158181,7918,25
8021,2389284,8021,464315,158181,8020,15
8120,2390868,8120,464315,158181,8119,29
8220,2390384,8220,464315,158181,8219,33
8320,2390284,8320,464315,158181,8320,9
8421,2386720,8421,464315,158181,8420,21
8521,2387712,8521,464315,158181,8520,27
8621,2388704,8622,464315,158181,8621,20
8722,2389992,8722,464315,158181,8721,19
8822,2391748,8823,464315,158181,8822,32
8922,2393888,8923,464315,158181,8922,32
9025,2388728,9026,464315,158181,9024,10
9124,2390992,9125,464315,158181,9123,43
9225,2391996,9225,464315,158181,9224,41
9325,2392152,9326,464315,158181,9324,35
9426,2393836,9427,464315,158181,9425,33
9526,2392856,9526,464315,158181,9525,45
9627,2393088,9627,464315,158181,9626,35
9727,2389820,9727,464315,158181,9726,23
9829,2391536,9829,464315,158181,9827,24
9927,2392784,9927,464315,158181,9926,36
10027,2393780,10027,464315,158181,10026,32
10127,2395544,10128,464315,158181,10127,21
10228,2395764,10228,464315,158181,10227,14
10328,2391280,10329,464315,158181,10327,17
10428,2390680,10429,464315,158181,10428,2
10530,2390300,10530,464315,158181,10529,8
10631,2391556,10631,464315,158181,10630,17
10730,2391092,10730,464315,158181,10729,0
10832,2390500,10832,464315,158181,10830,4
10932,2390664,10933,464315,158181,10931,15
11033,2391208,11033,464315,158181,11031,14
11132,2391332,11132,464315,158181,11131,18
11232,2390308,11232,464315,158181,11231,7
11332,2390468,11332,0,0,11331,20
11432,2394304,11433,0,0,11432,41
11533,2392504,11533,0,0,11532,44
11633,2389696,11634,0,0,11632,33
11734,2391016,11734,0,0,11733,40
11834,2392792,11835,0,0,11834,48
11934,2391900,11935,0,0,11933,32
12035,2386548,12035,0,0,12034,13
12135,2384060,12136,0,0,12134,33
12235,2383856,12235,0,0,12234,32
12336,2382840,12336,0,0,12335,20
12436,2382456,12436,0,0,12435,4
12537,2383104,12538,0,0,12536,15
12637,2383104,12637,0,0,12636,15
12737,2382216,12738,0,0,12737,10
12839,2382472,12840,0,0,12838,7
12939,2383244,12939,0,0,12938,14
13038,2383244,13039,0,0,13038,14
13138,2383316,13139,0,0,13138,26
13240,2384324,13240,0,0,13239,20
13339,2385956,13340,0,0,13339,32
13440,2385956,13441,0,0,13439,28
13540,2387004,13541,0,0,13540,32
13641,2387536,13642,0,0,13640,32
13741,2388368,13742,0,0,13740,28
13841,2383676,13842,0,0,13841,22
13942,2383084,13942,0,0,13941,8
14043,2382760,14044,0,0,14042,15
14143,2383516,14143,0,0,14142,25
14243,2383420,14243,0,0,14242,20
14344,2383596,14345,0,0,14344,8
14445,2384540,14445,0,0,14444,17
14545,2384540,14545,0,0,14544,15
14645,2383652,14645,0,0,14644,18
14746,2383652,14747,0,0,14745,2
14845,2384760,14846,0,0,14845,30
14946,2385692,14946,0,0,14945,29
15046,2385608,15046,0,0,15045,25
15147,2386384,15147,0,0,15146,17
15247,2388156,15247,0,0,15246,37
15347,2389676,15348,0,0,15347,40
15450,2387236,15451,0,0,15448,20
15548,2386112,15549,0,0,15547,30
15649,2385388,15649,0,0,15648,24
15749,2384896,15749,0,0,15748,24
15850,2386500,15851,0,0,15849,18
15950,2387280,15950,0,0,15949,29
16050,2387276,16050,0,0,16049,28
16150,2387176,16151,0,0,16150,23
16251,2387372,16252,0,0,16250,10
16353,2387800,16353,0,0,16351,19
16452,2388036,16452,0,0,16451,19
16552,2388176,16552,0,0,16551,14
16654,2388272,16654,0,0,16652,20
16753,2389420,16753,0,0,16752,33
16854,2389768,16854,0,0,16853,33
16953,2389672,16954,0,0,16953,28
17055,2391236,17056,0,0,17054,29
17154,2404772,17155,0,0,17154,54
17255,2413184,17255,0,0,17254,42
17356,2382784,17356,0,0,17355,19
17457,2383556,17457,0,0,17456,20
17557,2383936,17557,0,0,17556,24
17657,2383788,17657,0,0,17656,22
17758,2384572,17759,0,0,17757,24
17858,2386336,17859,0,0,17857,19
17959,2386720,17959,0,0,17957,28
18059,2387020,18059,0,0,18058,29
18160,2387008,18160,0,0,18158,7
18264,2387768,18264,0,0,18262,14
18360,2391836,18360,0,0,18359,42
18461,2392072,18461,0,0,18459,17
18561,2391776,18562,0,0,18560,10
18663,2392092,18664,0,0,18661,4
18762,2392808,18762,0,0,18761,19
18863,2392808,18864,0,0,18862,16
18969,2392316,18971,0,0,18966,17
19072,2392236,19074,0,0,19066,2
19167,2392952,19168,0,0,19163,20
19267,2393064,19268,0,0,19264,19
19366,2393316,19367,0,0,19365,24
19470,2392472,19471,0,0,19467,26
19570,2392472,19571,0,0,19568,20
19667,2393220,19668,0,0,19666,24
19775,2393220,19777,0,0,19772,15
19872,2393220,19873,0,0,19869,17
19972,2392480,19975,0,0,19970,14
20071,2392584,20072,0,0,20069,10
20171,2393488,20172,0,0,20169,17
20281,2393528,20282,0,0,20274,17
20373,2393528,20374,0,0,20371,19
20479,2392936,20481,0,0,20475,12
20574,2393268,20575,0,0,20572,12
20672,2394156,20673,0,0,20671,22
20777,2394156,20779,0,0,20775,17
20879,2393416,20881,0,0,20875,17
20985,2393120,20987,0,0,20980,8
21077,2393904,21078,0,0,21074,18
21175,2391784,21176,0,0,21174,23
21275,2391788,21276,0,0,21274,20
21380,2391196,21381,0,0,21378,15
21482,2391196,21484,0,0,21479,2
21580,2392020,21581,0,0,21577,17
21679,2392244,21679,0,0,21677,19
21781,2392244,21783,0,0,21779,20
21882,2391208,21884,0,0,21880,10
21984,2391288,21985,0,0,21980,8
22080,2391772,22081,0,0,22079,18
22186,2391628,22188,0,0,22183,14
22286,2391760,22288,0,0,22283,17
22388,2391464,22390,0,0,22385,8
22484,2391716,22485,0,0,22482,10
22583,2392344,22584,0,0,22582,18
22687,2392196,22688,0,0,22684,16
22789,2392196,22791,0,0,22785,0
22888,2391804,22890,0,0,22886,8
22987,2392008,22988,0,0,22985,14
23086,2392564,23087,0,0,23085,17
23189,2392520,23190,0,0,23187,17
23290,2391832,23291,0,0,23288,12
23388,2392112,23388,0,0,23386,11
23488,2393016,23488,0,0,23486,28
23590,2393988,23590,0,0,23588,27
23693,2394340,23694,0,0,23690,17
23790,2396940,23791,0,0,23789,26
23889,2397440,23889,0,0,23888,32
23989,2395872,23989,0,0,23988,22
24090,2391136,24090,0,0,24089,10
24191,2391904,24192,0,0,24190,25
24292,2392224,24293,0,0,24290,31
24341,2392464,24341,0,0,24340,35
24442,2391928,24442,0,0,24441,15
24542,2393120,24542,0,0,24541,23
24642,2394172,24642,0,0,24641,32
24742,2394256,24743,0,0,24742,21
24843,2393864,24844,0,0,24843,6
24944,2394052,24945,0,0,24943,20
25044,2394508,25044,0,0,25043,21
25144,2395520,25144,0,0,25143,28
25244,2396156,25244,0,0,25243,19
25344,2397808,25344,0,0,25344,25
25445,2398080,25445,0,0,25444,15
25545,2398080,25546,0,0,25545,16
25646,2397688,25646,0,0,25645,1
25747,2398052,25748,0,0,25747,0
25848,2398200,25848,0,0,25847,16
25948,2398396,25948,0,0,25947,14
26048,2398260,26049,0,0,26048,19
26150,2393952,26150,0,0,26149,5
26250,2394252,26250,0,0,26249,19
26350,2394908,26350,0,0,26349,27
26450,2395080,26451,0,0,26450,30
26551,2394340,26551,0,0,26550,21
26651,2394340,26652,0,0,26651,2
26752,2395024,26753,0,0,26751,16
26853,2395416,26853,0,0,26852,19
26953,2395416,26953,0,0,26952,18
27053,2394668,27054,0,0,27052,17
27154,2394724,27155,0,0,27153,4
27255,2395272,27255,0,0,27254,26
27354,2391220,27355,0,0,27354,29
27455,2391304,27456,0,0,27454,17
27556,2390712,27556,0,0,27555,13
27657,2390564,27658,0,0,27656,4
27757,2390832,27757,0,0,27756,21
27858,2391404,27859,0,0,27857,16
27958,2391404,27958,0,0,27957,17
28058,2391036,28058,0,0,28057,16
28160,2391660,28160,0,0,28159,15
28259,2392788,28259,0,0,28258,33
28360,2393284,28360,0,0,28359,31
28460,2394176,28461,0,0,28459,35
28562,2395072,28562,0,0,28560,19
28661,2395316,28661,0,0,28660,49
28761,2397452,28762,0,0,28760,46
28862,2393060,28862,0,0,28861,29
28962,2392308,28962,0,0,28961,13
29062,2392420,29063,0,0,29062,30
29163,2393696,29163,0,0,29162,20
29263,2393600,29263,0,0,29262,25
29364,2393008,29364,0,0,29363,15
29465,2393168,29465,0,0,29464,8
29565,2394616,29565,0,0,29564,25
29665,2394616,29665,0,0,29664,28
29765,2394468,29765,0,0,29764,16
29866,2393876,29866,0,0,29865,1
29966,2394740,29967,0,0,29965,16
30068,2394880,30068,0,0,30066,14
30166,2394536,30167,0,0,30165,14
30267,2394084,30267,0,0,30266,16
30368,2394084,30369,0,0,30367,1
30468,2394544,30469,0,0,30467,16
30569,2395352,30570,0,0,30568,21
30669,2395504,30669,0,0,30668,17
30769,2395504,30769,0,0,30768,20
30871,2394904,30871,0,0,30869,4
30971,2394848,30972,0,0,30970,11
31071,2395440,31071,0,0,31070,20
31171,2395408,31171,0,0,31170,16
31271,2395652,31272,0,0,31270,16
31373,2395104,31373,0,0,31371,7
31474,2395260,31474,0,0,31472,12
31573,2395564,31574,0,0,31572,19
31675,2395564,31675,0,0,31673,17
31774,2395564,31775,0,0,31773,19
31875,2395120,31875,0,0,31873,14
31976,2395476,31977,0,0,31975,12
32076,2395764,32077,0,0,32075,15
32177,2395764,32178,0,0,32176,16
32278,2395976,32278,0,0,32277,17
32378,2391088,32379,0,0,32377,16
32479,2391244,32480,0,0,32478,7
32580,2392004,32581,0,0,32579,17
32680,2392252,32680,0,0,32679,17
32780,2392252,32781,0,0,32779,0
32880,2391856,32880,0,0,32879,14
32981,2393120,32981,0,0,32980,16
33081,2394016,33081,0,0,33080,29
33181,2394724,33182,0,0,33181,27
33282,2396264,33283,0,0,33281,18
33383,2397440,33383,0,0,33382,39
33484,2397520,33484,0,0,33482,35
33584,2392424,33584,0,0,33583,22
33684,2392228,33685,0,0,33683,16
33785,2392052,33785,0,0,33784,16
33885,2391924,33885,0,0,33884,19
33985,2391336,33985,0,0,33984,13
34086,2391088,34086,0,0,34084,1
34186,2391724,34187,0,0,34185,15
34286,2391696,34286,0,0,34285,14
34386,2391696,34386,0,0,34385,12
34487,2391696,34487,0,0,34486,6
34587,2392152,34587,0,0,34586,16
34687,2393296,34687,0,0,34686,26
34787,2393268,34788,0,0,34787,0
34889,2393160,34890,0,0,34888,20
34989,2394972,34989,0,0,34988,33
35089,2397652,35089,0,0,35088,33
35190,2396868,35190,0,0,35189,27
35289,2391540,35290,0,0,35289,21
35390,2391540,35391,0,0,35390,11
35490,2392072,35490,0,0,35489,35
35591,2396288,35591,0,0,35590,50
35691,2394916,35691,0,0,35690,37
35793,2396960,35793,0,0,35791,25
35892,2400152,35892,0,0,35891,34
35993,2402140,35993,0,0,35992,44
36093,2398112,36093,0,0,36092,42
36193,2396428,36194,0,0,36192,36
36294,2398560,36294,0,0,36293,32
36394,2401440,36394,0,0,36393,40
36494,2396960,36494,0,0,36494,50
36594,2396472,36595,0,0,36594,44
36695,2398176,36695,0,0,36694,22
36795,2400656,36795,0,0,36794,39
36896,2403952,36896,0,0,36895,38
36996,2398976,36996,0,0,36995,44
37096,2398420,37097,0,0,37096,48
37197,2400068,37197,0,0,37196,26
37297,2402892,37298,0,0,37296,37
37398,2405984,37398,0,0,37397,35
37500,2401024,37501,0,0,37499,52
37602,2400584,37603,0,0,37600,41
37703,2400840,37705,0,0,37701,34
37801,2404044,37802,0,0,37800,41
37901,2406376,37902,0,0,37900,35
38001,2403840,38001,0,0,38000,41
38103,2398268,38103,0,0,38102,36
38203,2399680,38203,0,0,38202,28
38306,2402384,38307,0,0,38304,28
38404,2402248,38405,0,0,38403,40
38505,2402952,38505,0,0,38503,35
38605,2402268,38606,0,0,38604,37
38708,2402804,38709,0,0,38706,28
38809,2403152,38810,0,0,38807,20
38908,2403780,38908,0,0,38906,17
39008,2404392,39009,0,0,39007,16
39111,2404236,39112,0,0,39109,17
39211,2404228,39213,0,0,39209,19
39310,2403932,39312,0,0,39308,20
39410,2404752,39412,0,0,39409,17
39510,2406616,39510,0,0,39509,31
39616,2407360,39618,0,0,39611,30
39713,2408264,39715,0,0,39712,37
39818,2409636,39819,0,0,39815,32
39911,2408272,39911,0,0,39910,43
40011,2410000,40012,0,0,40010,30
40111,2406912,40112,0,0,40111,41
40212,2407476,40212,0,0,40211,40
40312,2407912,40313,0,0,40311,26
40413,2411580,40414,0,0,40412,33
40513,2413992,40514,0,0,40512,36
40614,2411440,40614,0,0,40613,43
40714,2410104,40714,0,0,40713,35
40814,2410008,40815,0,0,40813,28
40915,2411888,40915,0,0,40914,20
41015,2413320,41016,0,0,41014,34
41116,2406944,41117,0,0,41116,38
41217,2406448,41217,0,0,41216,28
41318,2405964,41319,0,0,41316,29
41420,2408100,41421,0,0,41418,15
41518,2410968,41519,0,0,41517,31
41624,2412508,41625,0,0,41622,28
41719,2407320,41719,0,0,41718,60
41819,2408168,41820,0,0,41818,0
41920,2410040,41920,0,0,41919,63
