Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,156968,2629320.1123882504,928684.8167305236,752400.1424010217,26.94316730523627,1731333.8369047618,1402688.8369047618
2,157676,2564874.968233799,846454.6626429479,846454.6626429479,27.952986022871663,1316521.3824110671,1316521.3824110671
3,150831,2471463.5750332004,1422071.7835325366,549015.1958831341,22.08565737051793,1535225.882437276,592700.2759856631
4,153488,2485699.851174935,1496642.2721932116,1496642.2721932116,23.864784084014477,1551323.3836265223,1551323.3836265223
5,150070,2538499.3711009426,2168155.5193591453,2168155.5193591453,21.44421222065558,2498382.283076923,2498382.283076923
6,153555,2603168.9419439007,1049403.6314416179,1049403.6314416179,23.775446802227492,1615196.5532128515,1615196.5532128515
7,159098,2599091.8513853904,138990.96725440805,138990.96725440805,29.16183879093199,408736.4,408736.4
8,167156,2537756.7338129496,145123.8345323741,100927.5185851319,41.8794964028777,145123.8345323741,100927.5185851319
9,158906,2485721.707440101,123124.86254728878,9607.126103404791,29.466865257001285,433946.7377777778,33859.782222222224
10,161110,2590611.592039801,1151954.8930348258,1151954.8930348258,32.03421287530012,1693184.1572212067,1693184.1572212067
