datetime,cpu,mem
Wed Aug  5 19:39:40 GMT 2020,21,80481
Wed Aug  5 19:39:41 GMT 2020,21,79935
Wed Aug  5 19:39:41 GMT 2020,21,79961
Wed Aug  5 19:39:41 GMT 2020,21,79969
Wed Aug  5 19:39:42 GMT 2020,21,79969
Wed Aug  5 19:39:42 GMT 2020,21,79969
Wed Aug  5 19:39:43 GMT 2020,21,79965
Wed Aug  5 19:39:43 GMT 2020,21,79964
Wed Aug  5 19:39:43 GMT 2020,21,79964
Wed Aug  5 19:39:44 GMT 2020,21,79968
Wed Aug  5 19:39:44 GMT 2020,21,78668
Wed Aug  5 19:39:45 GMT 2020,21,78688
Wed Aug  5 19:39:45 GMT 2020,21,78699
Wed Aug  5 19:39:45 GMT 2020,19,98644
Wed Aug  5 19:39:45 GMT 2020,19,93080
Wed Aug  5 19:39:46 GMT 2020,19,157692
Wed Aug  5 19:39:46 GMT 2020,19,146165
Wed Aug  5 19:39:47 GMT 2020,19,146832
Wed Aug  5 19:39:47 GMT 2020,19,146793
Wed Aug  5 19:39:47 GMT 2020,19,147206
Wed Aug  5 19:39:48 GMT 2020,19,149784
Wed Aug  5 19:39:48 GMT 2020,19,151862
Wed Aug  5 19:39:49 GMT 2020,19,155434
Wed Aug  5 19:39:50 GMT 2020,19,139542
Wed Aug  5 19:39:50 GMT 2020,19,139550
Wed Aug  5 19:39:51 GMT 2020,19,139574
Wed Aug  5 19:39:51 GMT 2020,19,139573
Wed Aug  5 19:39:52 GMT 2020,19,153761
Wed Aug  5 19:39:53 GMT 2020,0,153486
Wed Aug  5 19:39:53 GMT 2020,0,153521
Wed Aug  5 19:39:54 GMT 2020,0,152204
Wed Aug  5 19:39:54 GMT 2020,0,184144
Wed Aug  5 19:39:55 GMT 2020,0,206201
Wed Aug  5 19:39:56 GMT 2020,0,209437
Wed Aug  5 19:39:56 GMT 2020,0,215086
Wed Aug  5 19:39:57 GMT 2020,0,214552
Wed Aug  5 19:39:58 GMT 2020,0,214521
Wed Aug  5 19:39:58 GMT 2020,0,202807
Wed Aug  5 19:39:59 GMT 2020,0,209375
Wed Aug  5 19:40:00 GMT 2020,0.1,200255
Wed Aug  5 19:40:00 GMT 2020,0.1,206265
