Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
59,2307756,60,0,0,30,12
130,2308028,130,0,0,129,16
230,2308604,231,0,0,229,16
330,2308456,330,0,0,329,16
434,2308292,436,0,0,431,3
533,2309220,534,0,0,531,18
632,2309376,633,0,0,631,16
736,2308796,737,0,0,734,16
784,2309208,785,0,0,782,15
886,2309048,887,0,0,884,11
984,2310192,984,0,0,983,21
1085,2310192,1086,0,0,1084,15
1187,2309528,1189,0,0,1186,7
1286,2310432,1286,0,0,1284,17
1386,2310784,1386,0,0,1385,11
1488,2309324,1490,0,0,1487,16
1591,2307756,1592,0,0,1588,9
1687,2309028,1687,0,0,1686,17
1788,2308864,1788,0,0,1786,15
1887,2308864,1887,0,0,1886,18
1994,2307688,1996,0,0,1990,1
2089,2308344,2090,0,0,2087,17
2188,2308988,2189,0,0,2187,20
2291,2308236,2292,0,0,2290,13
2394,2308268,2396,0,0,2391,6
2490,2309112,2491,0,0,2489,15
2593,2309460,2594,0,0,2590,12
2694,2308676,2695,0,0,2692,16
2798,2308676,2800,0,0,2794,6
2895,2309732,2896,0,0,2892,15
2992,2309600,2993,0,0,2991,17
3096,2309600,3098,0,0,3094,15
3200,2308796,3202,0,0,3196,9
3296,2309308,3297,0,0,3294,18
3394,2309684,3395,0,0,3393,14
3496,2309684,3496,0,0,3495,20
3598,2309096,3599,0,0,3596,6
3700,2309372,3701,0,0,3696,13
3796,2309464,3797,0,0,3795,27
3898,2310004,3899,0,0,3897,30
3997,2324868,3997,0,0,3996,25
4097,2326348,4097,0,0,4096,41
4196,2311828,4197,0,0,4196,41
4297,2313656,4297,0,0,4296,16
4397,2309672,4398,0,0,4396,26
4498,2310356,4498,0,0,4497,30
4598,2310120,4598,0,0,4597,20
4699,2311640,4700,0,0,4698,24
4799,2316796,4799,0,0,4798,41
4899,2330368,4899,0,0,4898,28
5000,2340768,5001,0,0,4999,26
5100,2363068,5100,0,0,5099,36
5201,2369688,5202,0,0,5200,20
5300,2353444,5300,0,0,5299,32
5401,2369460,5401,0,0,5400,20
5503,2377712,5503,0,0,5501,32
5603,2355140,5603,0,0,5602,30
5703,2355736,5703,0,0,5702,25
5804,2356408,5805,0,0,5803,25
5904,2357104,5904,0,0,5903,33
6004,2356404,6004,0,0,6003,31
6104,2356328,6105,0,0,6103,26
6206,2356180,6206,0,0,6205,19
6306,2357208,6306,0,0,6305,36
6406,2357172,6406,0,0,6405,30
6506,2356128,6506,0,0,6505,30
6607,2356368,6608,0,0,6606,21
6708,2357368,6708,0,0,6706,28
6807,2358280,6808,0,0,6806,33
6907,2357952,6908,0,0,6906,31
7008,2357708,7008,0,0,7007,28
7109,2358204,7110,0,0,7108,22
7209,2359552,7209,0,0,7208,37
7309,2360008,7309,0,0,7308,37
7409,2360196,7409,0,0,7408,34
7510,2359648,7510,0,0,7508,21
7611,2360336,7612,0,0,7610,30
7710,2362600,7711,0,0,7709,38
7810,2362576,7811,0,0,7809,33
7911,2362292,7911,0,0,7910,31
8013,2362144,8013,0,0,8011,21
8113,2363216,8114,0,0,8112,30
8213,2364788,8213,0,0,8212,34
8312,2349564,8313,0,0,8312,30
8413,2350472,8413,0,0,8412,16
8514,2349924,8514,0,0,8513,12
8616,2350236,8617,0,0,8614,8
8716,2351192,8716,0,0,8714,17
8815,2350996,8815,0,0,8814,14
8916,2350996,8916,0,0,8915,13
9017,2350852,9017,0,0,9016,15
9119,2350852,9119,0,0,9117,5
9218,2351284,9219,0,0,9217,16
9318,2351556,9319,0,0,9317,16
9419,2351532,9419,0,0,9418,12
9520,2351528,9520,0,0,9518,17
9620,2351332,9620,0,0,9619,12
9722,2351384,9723,0,0,9720,6
9822,2351580,9823,0,0,9821,16
9921,2351580,9922,0,0,9920,19
10022,2351580,10022,0,0,10021,13
10122,2351580,10123,0,0,10121,14
10226,2351220,10226,0,0,10223,8
10325,2351852,10325,0,0,10323,21
10425,2352528,10425,0,0,10424,23
10525,2353776,10525,0,0,10524,25
10626,2354768,10626,0,0,10625,27
10726,2355384,10726,0,0,10726,24
10828,2356816,10829,0,0,10828,22
10929,2356504,10929,0,0,10928,36
11028,2351972,11028,0,0,11027,35
11128,2351972,11129,0,0,11128,28
11230,2350892,11230,0,0,11229,16
11330,2351160,11330,0,0,11329,22
11430,2352304,11431,0,0,11430,24
11531,2352148,11531,0,0,11530,23
11631,2352148,11632,0,0,11630,21
11731,2352196,11731,0,0,11730,19
11831,2351612,11832,0,0,11831,9
11933,2353468,11933,0,0,11932,21
12032,2353912,12032,0,0,12032,32
12132,2354944,12133,1571100,1571100,12132,28
12233,2355868,12233,1571100,1571100,12232,25
12334,2355904,12335,1571100,1571100,12333,19
12434,2356916,12434,1571100,1571100,12433,34
12534,2358008,12535,1571100,1571100,12534,36
12635,2353720,12635,1571100,1571100,12634,39
12735,2356152,12735,1571100,1571100,12734,43
12835,2363160,12835,1571100,1571100,12835,18
12936,2365136,12936,1571100,1571100,12935,21
13036,2364688,13036,1571100,1571100,13035,40
13136,2365764,13137,1571100,1571100,13136,27
13237,2366448,13237,1571100,1571100,13236,23
13337,2368420,13338,1571100,1571100,13336,28
13437,2372588,13438,1571100,1571100,13437,31
13538,2373400,13539,1571100,1571100,13537,35
13639,2374456,13639,1571100,1571100,13638,37
13739,2374560,13739,1571100,1571100,13738,30
13839,2374896,13840,1571100,1571100,13839,34
13941,2375016,13942,1571100,1571100,13940,24
14042,2375964,14042,1571100,1571100,14040,31
14141,2376252,14141,1571100,1571100,14140,21
14241,2376332,14242,1571100,1571100,14240,17
14343,2375232,14343,1571100,1571100,14342,0
14443,2375132,14444,1571100,1571100,14443,11
14544,2376148,14545,1571100,1571100,14544,18
14646,2376148,14646,1571100,1571100,14645,16
14745,2376000,14745,1571100,1571100,14744,20
14846,2376000,14847,1571100,1571100,14845,40
14946,2364596,14947,1571100,1571100,14946,29
15048,2364836,15048,1571100,1571100,15047,27
15148,2365180,15149,1571100,1571100,15147,22
15249,2365452,15250,1571100,1571100,15248,30
15349,2365768,15349,1571100,1571100,15348,34
15449,2365620,15449,1571100,1571100,15448,28
15551,2365472,15552,1571100,1571100,15550,9
15652,2365416,15652,1571100,1571100,15651,11
15751,2366428,15752,1571100,1571100,15751,18
15855,2366280,15856,1571100,1571100,15853,17
15952,2361840,15953,1571100,1571100,15951,20
16053,2361840,16053,1571100,1571100,16052,17
16153,2361076,16154,1571100,1571100,16152,12
16254,2361476,16255,1571100,1571100,16253,21
16354,2361600,16355,1571100,1571100,16354,15
16455,2361684,16455,1571100,1571100,16454,16
16555,2361684,16556,1571100,1571100,16555,19
16656,2361248,16657,1571100,1571100,16655,14
16758,2362100,16758,1571100,1571100,16757,19
16857,2362660,16858,1571100,1571100,16857,41
16959,2362760,16959,1571100,1571100,16957,44
17059,2363504,17059,1571100,1571100,17058,47
17159,2364648,17159,1571100,1571100,17158,35
17259,2365424,17260,1571100,1571100,17258,23
17359,2365032,17360,1571100,1571100,17359,29
17461,2365444,17461,1571100,1571100,17460,18
17560,2360360,17560,1571100,1571100,17559,24
17661,2360636,17661,1571100,1571100,17660,15
17762,2360140,17763,1571100,1571100,17761,6
17862,2361228,17863,1571100,1571100,17861,18
17962,2361852,17963,1571100,1571100,17961,20
18062,2362224,18063,1571100,1571100,18061,20
18163,2362052,18163,1571100,1571100,18162,16
18263,2361200,18263,1571100,1571100,18262,15
18364,2360996,18364,1571100,1571100,18363,7
18464,2361580,18464,1571100,1571100,18463,17
18564,2362504,18565,1571100,1571100,18563,31
18665,2363220,18665,1571100,1571100,18664,30
18765,2363372,18766,1571100,1571100,18765,29
18868,2363620,18868,1571100,1571100,18866,17
18966,2365996,18967,1571100,1571100,18966,42
19067,2365464,19068,1571100,1571100,19066,42
19167,2365872,19168,1571100,1571100,19167,23
19269,2360952,19269,1571100,1571100,19268,27
19368,2360528,19368,1571100,1571100,19367,13
19468,2360404,19469,1571100,1571100,19468,4
19569,2360584,19569,1571100,1571100,19568,13
19669,2360904,19670,1571100,1571100,19668,17
19770,2360800,19770,1571100,1571100,19769,16
19870,2360656,19870,1571100,1571100,19869,11
19971,2361112,19972,1571100,1571100,19970,7
20071,2361924,20072,1571100,1571100,20070,18
20172,2361924,20172,1571100,1571100,20171,17
20271,2362536,20272,1571100,1571100,20271,18
20372,2363000,20372,1571100,1571100,20371,32
20473,2363424,20473,1571100,1571100,20471,21
20572,2364260,20573,1571100,1571100,20571,25
20674,2365392,20674,1571100,1571100,20672,32
20775,2367072,20776,1571100,1571100,20774,31
20873,2368636,20874,1571100,1571100,20873,37
20974,2368184,20974,1571100,1571100,20973,15
21074,2363892,21075,1571100,1571100,21074,25
21175,2364224,21175,1571100,1571100,21174,30
21275,2363800,21275,1571100,1571100,21274,26
21375,2363364,21376,1571100,1571100,21374,19
21476,2363632,21477,1571100,1571100,21475,6
21577,2365160,21578,1571100,1571100,21576,15
21677,2365160,21678,1571100,1571100,21676,14
21777,2365480,21777,1571100,1571100,21776,15
21877,2365404,21878,1571100,1571100,21876,16
21978,2364664,21978,1571100,1571100,21977,7
22078,2364792,22078,1571100,1571100,22077,22
22178,2367004,22179,1571100,1571100,22177,31
22278,2367392,22279,1571100,1571100,22277,28
22379,2368140,22379,1571100,1571100,22378,31
22479,2368296,22480,1552044,1552044,22478,31
22580,2370260,22581,1552044,1552044,22579,41
22680,2401472,22680,1552044,1552044,22679,45
22781,2404780,22782,1552044,1552044,22780,29
22880,2402484,22881,1552044,1552044,22880,45
22981,2393340,22982,1552044,1552044,22981,32
23082,2389392,23082,1552044,1552044,23081,35
23182,2409832,23183,1552044,1552044,23182,27
23283,2410796,23283,1552044,1552044,23282,38
23383,2388244,23383,1552044,1552044,23382,35
23483,2388332,23483,1552044,1552044,23482,35
23583,2388568,23584,1552044,1552044,23583,37
23684,2387972,23684,1552044,1552044,23683,30
23784,2387820,23785,1552044,1552044,23784,23
23834,2388564,23835,1552044,1552044,23834,36
23935,2390652,23935,1552044,1552044,23934,38
24035,2390344,24035,1552044,1552044,24034,34
24135,2390236,24136,1552044,1552044,24135,34
24235,2389388,24236,1552044,1552044,24235,34
24336,2389480,24336,1552044,1552044,24335,20
24436,2390792,24437,1552044,1552044,24436,37
24537,2391536,24537,1552044,1552044,24536,36
24637,2391388,24637,1552044,1552044,24636,38
24737,2391276,24737,1552044,1552044,24737,35
24837,2391428,24838,1552044,1552044,24837,39
24938,2390780,24938,1552044,1552044,24937,26
25039,2390980,25040,1552044,1552044,25038,32
25139,2391764,25139,1552044,1552044,25138,36
25239,2391824,25239,1552044,1552044,25238,38
25339,2392320,25339,1552044,1552044,25338,37
25439,2391012,25440,1552044,1552044,25439,37
25539,2391216,25540,1552044,1552044,25539,34
25639,2391320,25640,1552044,1552044,25639,24
25741,2393032,25741,1552044,1552044,25740,35
25840,2395020,25841,1552044,1552044,25840,39
25941,2395064,25941,1552044,1552044,25940,39
26041,2394888,26042,1552044,1552044,26041,34
26142,2379748,26142,1552044,1552044,26141,25
26242,2377388,26243,1552044,1552044,26242,21
26344,2377480,26344,1552044,1552044,26343,1
26444,2377968,26445,1552044,1552044,26443,24
26545,2378136,26545,1552044,1552044,26544,17
26644,2378136,26645,1552044,1552044,26644,17
26745,2378136,26745,1552044,1552044,26744,16
