Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
17,2524372,18,975907,0,86,24
88,2524412,88,975907,0,186,16
187,2525452,187,975907,0,286,14
287,2525452,287,975907,0,389,6
392,2524668,393,975907,0,487,28
489,2527348,489,975907,0,588,22
589,2527212,590,975907,0,689,22
691,2527072,692,975907,0,789,20
791,2527100,793,975907,0,890,27
891,2527812,892,975907,0,990,21
990,2528100,991,975907,0,1092,13
1095,2527512,1096,975907,0,1194,8
1196,2527560,1198,975907,0,1292,19
1293,2525104,1293,975907,0,1392,15
1393,2524908,1393,975907,0,1494,12
1496,2524320,1497,975907,0,1594,8
1596,2524840,1597,975907,0,1693,14
1694,2525564,1695,975907,0,1796,15
1798,2525548,1799,975907,0,1896,13
1898,2524532,1899,975907,0,1995,7
1997,2524796,1998,975907,0,2095,22
2096,2525592,2096,975907,0,2196,20
2197,2526356,2197,975907,0,2298,16
2299,2525572,2300,975907,0,2398,9
2400,2525832,2401,975907,0,2497,18
2498,2526444,2499,975907,0,2598,14
2599,2526444,2600,975907,0,2700,14
2702,2525908,2703,975907,0,2802,2
2804,2525716,2805,975907,0,2899,18
2900,2526448,2901,975907,0,3000,15
3002,2526720,3003,975907,0,3102,14
3105,2526328,3107,975907,0,3204,7
3207,2526328,3209,975907,0,3301,14
3303,2527048,3303,975907,0,3403,13
3405,2527476,3407,975907,0,3501,18
3502,2527476,3503,975907,0,3605,6
3608,2526300,3609,975907,0,3703,18
3704,2526868,3705,975907,0,3803,28
3804,2528080,3805,975907,0,3903,28
3904,2526768,3904,975907,0,4006,15
4008,2528000,4010,975907,0,4104,27
4105,2529040,4106,975907,0,4204,28
4205,2531056,4206,975907,0,4304,20
4305,2531656,4305,975907,0,4405,14
4406,2531864,4407,975907,0,4505,26
4506,2525396,4507,975907,0,4605,30
4606,2538288,4606,975907,0,4705,24
4706,2537652,4706,975907,0,4805,20
4806,2524904,4806,975907,0,4906,16
4907,2525184,4907,975907,0,5006,11
5007,2524792,5007,975907,0,5106,2
5107,2525024,5107,975907,0,5207,12
5209,2525700,5209,975907,0,5307,13
5308,2525700,5308,975907,0,5407,8
