RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,27,27,29.62962962962963,100.0,8,0,0,0,19
2,27,27,59.25925925925926,100.0,16,0,0,0,11
3,27,27,59.25925925925926,100.0,16,0,0,0,11
4,27,27,59.25925925925926,100.0,16,0,0,0,11
5,27,27,59.25925925925926,100.0,16,0,0,0,11
6,27,27,59.25925925925926,100.0,16,0,0,0,11
7,27,27,59.25925925925926,100.0,16,0,0,0,11
8,27,27,59.25925925925926,100.0,16,0,0,0,11
9,27,27,59.25925925925926,100.0,16,0,0,0,11
10,27,27,59.25925925925926,100.0,16,0,0,0,11
