datetime,cpu,mem
Wed Aug  5 11:41:02 GMT 2020,11,109165
Wed Aug  5 11:41:03 GMT 2020,11,109711
Wed Aug  5 11:41:03 GMT 2020,11,109755
Wed Aug  5 11:41:04 GMT 2020,11,116216
Wed Aug  5 11:41:04 GMT 2020,11,116384
Wed Aug  5 11:41:04 GMT 2020,11,116408
Wed Aug  5 11:41:05 GMT 2020,11,116408
Wed Aug  5 11:41:05 GMT 2020,11,116408
Wed Aug  5 11:41:06 GMT 2020,11,116408
Wed Aug  5 11:41:06 GMT 2020,11,116408
Wed Aug  5 11:41:06 GMT 2020,11,116408
Wed Aug  5 11:41:07 GMT 2020,11,116408
Wed Aug  5 11:41:07 GMT 2020,11,116408
Wed Aug  5 11:41:07 GMT 2020,11,96781
Wed Aug  5 11:41:08 GMT 2020,11,96750
Wed Aug  5 11:41:08 GMT 2020,11,108348
Wed Aug  5 11:41:08 GMT 2020,11,107603
Wed Aug  5 11:41:09 GMT 2020,22,82884
Wed Aug  5 11:41:09 GMT 2020,22,99586
Wed Aug  5 11:41:10 GMT 2020,22,105845
Wed Aug  5 11:41:10 GMT 2020,22,105907
Wed Aug  5 11:41:10 GMT 2020,22,106669
Wed Aug  5 11:41:11 GMT 2020,22,106772
Wed Aug  5 11:41:11 GMT 2020,22,106840
Wed Aug  5 11:41:11 GMT 2020,22,138566
Wed Aug  5 11:41:12 GMT 2020,22,153796
Wed Aug  5 11:41:12 GMT 2020,22,107403
Wed Aug  5 11:41:12 GMT 2020,22,73306
Wed Aug  5 11:41:13 GMT 2020,22,72496
Wed Aug  5 11:41:13 GMT 2020,22,71660
Wed Aug  5 11:41:13 GMT 2020,22,71696
Wed Aug  5 11:41:14 GMT 2020,22,108299
Wed Aug  5 11:41:14 GMT 2020,22,112167
Wed Aug  5 11:41:15 GMT 2020,0,113034
Wed Aug  5 11:41:15 GMT 2020,0,114864
Wed Aug  5 11:41:16 GMT 2020,0,116454
Wed Aug  5 11:41:16 GMT 2020,0,117565
Wed Aug  5 11:41:17 GMT 2020,0,117469
Wed Aug  5 11:41:17 GMT 2020,0,117469
Wed Aug  5 11:41:18 GMT 2020,0,117469
Wed Aug  5 11:41:18 GMT 2020,0,117045
Wed Aug  5 11:41:19 GMT 2020,0,117065
Wed Aug  5 11:41:19 GMT 2020,0,117066
Wed Aug  5 11:41:20 GMT 2020,0,106957
Wed Aug  5 11:41:20 GMT 2020,0,124897
Wed Aug  5 11:41:21 GMT 2020,0,124981
Wed Aug  5 11:41:21 GMT 2020,30,124977
Wed Aug  5 11:41:22 GMT 2020,30,124985
Wed Aug  5 11:41:23 GMT 2020,30,124981
Wed Aug  5 11:41:23 GMT 2020,30,124513
Wed Aug  5 11:41:24 GMT 2020,30,124742
Wed Aug  5 11:41:24 GMT 2020,30,91039
Wed Aug  5 11:41:25 GMT 2020,30,90581
Wed Aug  5 11:41:25 GMT 2020,30,90577
Wed Aug  5 11:41:26 GMT 2020,30,107668
Wed Aug  5 11:41:26 GMT 2020,30,108076
Wed Aug  5 11:41:27 GMT 2020,30,125706
Wed Aug  5 11:41:27 GMT 2020,30,125778
Wed Aug  5 11:41:27 GMT 2020,30,125778
Wed Aug  5 11:41:28 GMT 2020,30,125778
Wed Aug  5 11:41:29 GMT 2020,30,123202
