datetime,cpu,mem
Wed Aug  5 13:44:38 GMT 2020,0,68033
Wed Aug  5 13:44:39 GMT 2020,0,87393
Wed Aug  5 13:44:39 GMT 2020,0,87690
Wed Aug  5 13:44:40 GMT 2020,0,105709
Wed Aug  5 13:44:40 GMT 2020,0,106315
Wed Aug  5 13:44:40 GMT 2020,0,106355
Wed Aug  5 13:44:41 GMT 2020,0,106351
Wed Aug  5 13:44:41 GMT 2020,0,106391
Wed Aug  5 13:44:42 GMT 2020,0,106471
Wed Aug  5 13:44:42 GMT 2020,0,106467
Wed Aug  5 13:44:42 GMT 2020,0,106467
Wed Aug  5 13:44:43 GMT 2020,0,106467
Wed Aug  5 13:44:43 GMT 2020,0,106458
Wed Aug  5 13:44:44 GMT 2020,0,105793
Wed Aug  5 13:44:44 GMT 2020,0,106238
Wed Aug  5 13:44:44 GMT 2020,0,106242
Wed Aug  5 13:44:45 GMT 2020,0,106246
Wed Aug  5 13:44:45 GMT 2020,0,106248
Wed Aug  5 13:44:45 GMT 2020,0,106412
Wed Aug  5 13:44:46 GMT 2020,0,106496
Wed Aug  5 13:44:46 GMT 2020,0,107782
Wed Aug  5 13:44:46 GMT 2020,0,93999
Wed Aug  5 13:44:47 GMT 2020,0,94110
Wed Aug  5 13:44:47 GMT 2020,0,94110
Wed Aug  5 13:44:47 GMT 2020,0,111387
Wed Aug  5 13:44:48 GMT 2020,0,111434
Wed Aug  5 13:44:48 GMT 2020,0,129525
Wed Aug  5 13:44:49 GMT 2020,0,129631
Wed Aug  5 13:44:49 GMT 2020,0,112936
Wed Aug  5 13:44:49 GMT 2020,0,113190
Wed Aug  5 13:44:50 GMT 2020,0,113718
Wed Aug  5 13:44:50 GMT 2020,0,113678
Wed Aug  5 13:44:51 GMT 2020,0,113662
Wed Aug  5 13:44:51 GMT 2020,0,113657
Wed Aug  5 13:44:52 GMT 2020,0,96414
Wed Aug  5 13:44:52 GMT 2020,0,96539
Wed Aug  5 13:44:52 GMT 2020,0,96040
Wed Aug  5 13:44:53 GMT 2020,0,96039
Wed Aug  5 13:44:53 GMT 2020,0,112567
Wed Aug  5 13:44:54 GMT 2020,0,113080
Wed Aug  5 13:44:54 GMT 2020,0,112856
Wed Aug  5 13:44:54 GMT 2020,0,112870
Wed Aug  5 13:44:55 GMT 2020,0,112978
Wed Aug  5 13:44:55 GMT 2020,0,114401
Wed Aug  5 13:44:56 GMT 2020,0,114604
Wed Aug  5 13:44:56 GMT 2020,0,114648
Wed Aug  5 13:44:57 GMT 2020,0,114659
Wed Aug  5 13:44:57 GMT 2020,0,118308
Wed Aug  5 13:44:58 GMT 2020,0,121779
Wed Aug  5 13:44:58 GMT 2020,0,125491
Wed Aug  5 13:44:59 GMT 2020,0,126055
Wed Aug  5 13:44:59 GMT 2020,0,125887
Wed Aug  5 13:45:00 GMT 2020,0,125967
Wed Aug  5 13:45:00 GMT 2020,0,125971
Wed Aug  5 13:45:01 GMT 2020,0,125971
Wed Aug  5 13:45:01 GMT 2020,0,125975
Wed Aug  5 13:45:02 GMT 2020,0,125979
Wed Aug  5 13:45:02 GMT 2020,0,125979
Wed Aug  5 13:45:03 GMT 2020,0,125979
Wed Aug  5 13:45:03 GMT 2020,0,125979
Wed Aug  5 13:45:04 GMT 2020,0,125967
Wed Aug  5 13:45:04 GMT 2020,0,126205
Wed Aug  5 13:45:04 GMT 2020,0,128683
Wed Aug  5 13:45:05 GMT 2020,0,131558
Wed Aug  5 13:45:05 GMT 2020,0,135200
Wed Aug  5 13:45:06 GMT 2020,0,132788
Wed Aug  5 13:45:06 GMT 2020,0,133564
Wed Aug  5 13:45:07 GMT 2020,0,133564
Wed Aug  5 13:45:07 GMT 2020,0,133564
Wed Aug  5 13:45:08 GMT 2020,0,133562
Wed Aug  5 13:45:08 GMT 2020,0,133490
Wed Aug  5 13:45:09 GMT 2020,0,135900
Wed Aug  5 13:45:09 GMT 2020,0,135462
Wed Aug  5 13:45:10 GMT 2020,0,134906
Wed Aug  5 13:45:10 GMT 2020,0,134926
Wed Aug  5 13:45:11 GMT 2020,0,134930
Wed Aug  5 13:45:11 GMT 2020,0,134934
Wed Aug  5 13:45:12 GMT 2020,0,134934
Wed Aug  5 13:45:12 GMT 2020,0,134953
Wed Aug  5 13:45:13 GMT 2020,0,134876
Wed Aug  5 13:45:13 GMT 2020,0,151435
Wed Aug  5 13:45:14 GMT 2020,0,117896
Wed Aug  5 13:45:14 GMT 2020,0,117120
Wed Aug  5 13:45:15 GMT 2020,0,117113
Wed Aug  5 13:45:15 GMT 2020,0,133591
Wed Aug  5 13:45:15 GMT 2020,0,161992
Wed Aug  5 13:45:16 GMT 2020,0,145777
Wed Aug  5 13:45:17 GMT 2020,0,146415
Wed Aug  5 13:45:17 GMT 2020,0,146697
Wed Aug  5 13:45:18 GMT 2020,0,147089
Wed Aug  5 13:45:18 GMT 2020,0,147242
Wed Aug  5 13:45:19 GMT 2020,0,149635
Wed Aug  5 13:45:20 GMT 2020,0,145153
Wed Aug  5 13:45:20 GMT 2020,0,152518
Wed Aug  5 13:45:21 GMT 2020,0,152814
Wed Aug  5 13:45:22 GMT 2020,0,153284
Wed Aug  5 13:45:22 GMT 2020,0,153476
Wed Aug  5 13:45:23 GMT 2020,0,153444
Wed Aug  5 13:45:24 GMT 2020,0,153716
Wed Aug  5 13:45:24 GMT 2020,0,153541
Wed Aug  5 13:45:25 GMT 2020,0,115022
Wed Aug  5 13:45:26 GMT 2020,0,114258
Wed Aug  5 13:45:26 GMT 2020,0,114255
Wed Aug  5 13:45:27 GMT 2020,0,147582
Wed Aug  5 13:45:27 GMT 2020,0,154409
Wed Aug  5 13:45:28 GMT 2020,0,154109
Wed Aug  5 13:45:28 GMT 2020,0,155179
Wed Aug  5 13:45:29 GMT 2020,0,155147
Wed Aug  5 13:45:30 GMT 2020,0,155955
Wed Aug  5 13:45:30 GMT 2020,0,151967
Wed Aug  5 13:45:31 GMT 2020,0,152963
Wed Aug  5 13:45:32 GMT 2020,0,152605
Wed Aug  5 13:45:32 GMT 2020,0,135373
Wed Aug  5 13:45:33 GMT 2020,0,135251
Wed Aug  5 13:45:33 GMT 2020,0,152062
Wed Aug  5 13:45:34 GMT 2020,0,135692
Wed Aug  5 13:45:34 GMT 2020,0,135804
Wed Aug  5 13:45:35 GMT 2020,0,135796
Wed Aug  5 13:45:36 GMT 2020,0,145604
Wed Aug  5 13:45:36 GMT 2020,0,145755
Wed Aug  5 13:45:37 GMT 2020,0,145759
Wed Aug  5 13:45:37 GMT 2020,0,145691
Wed Aug  5 13:45:38 GMT 2020,0,145571
Wed Aug  5 13:45:39 GMT 2020,0,145567
Wed Aug  5 13:45:39 GMT 2020,0,145567
Wed Aug  5 13:45:40 GMT 2020,0,145567
Wed Aug  5 13:45:40 GMT 2020,0,145543
Wed Aug  5 13:45:41 GMT 2020,0,145559
Wed Aug  5 13:45:42 GMT 2020,0,145563
Wed Aug  5 13:45:42 GMT 2020,0,145534
Wed Aug  5 13:45:43 GMT 2020,0,128233
Wed Aug  5 13:45:43 GMT 2020,0,128125
Wed Aug  5 13:45:44 GMT 2020,0,128123
Wed Aug  5 13:45:44 GMT 2020,0,144756
Wed Aug  5 13:45:44 GMT 2020,0,143281
Wed Aug  5 13:45:45 GMT 2020,0,143281
Wed Aug  5 13:45:45 GMT 2020,0,143278
Wed Aug  5 13:45:46 GMT 2020,0,144524
Wed Aug  5 13:45:46 GMT 2020,0,143978
Wed Aug  5 13:45:47 GMT 2020,0,145150
Wed Aug  5 13:45:47 GMT 2020,0,146298
Wed Aug  5 13:45:48 GMT 2020,0,146314
Wed Aug  5 13:45:48 GMT 2020,0,146338
Wed Aug  5 13:45:49 GMT 2020,0,146338
Wed Aug  5 13:45:50 GMT 2020,0,146338
Wed Aug  5 13:45:50 GMT 2020,0,146342
Wed Aug  5 13:45:51 GMT 2020,0,146170
Wed Aug  5 13:45:52 GMT 2020,0,146184
Wed Aug  5 13:45:52 GMT 2020,0,146186
Wed Aug  5 13:45:53 GMT 2020,0,146131
Wed Aug  5 13:45:53 GMT 2020,0,128591
Wed Aug  5 13:45:53 GMT 2020,0,128531
Wed Aug  5 13:45:54 GMT 2020,0,128527
Wed Aug  5 13:45:55 GMT 2020,0,145207
Wed Aug  5 13:45:55 GMT 2020,0,145951
Wed Aug  5 13:45:56 GMT 2020,0,145951
Wed Aug  5 13:45:56 GMT 2020,0,145667
Wed Aug  5 13:45:57 GMT 2020,0,145681
Wed Aug  5 13:45:57 GMT 2020,0,145627
Wed Aug  5 13:45:58 GMT 2020,0,111700
Wed Aug  5 13:45:58 GMT 2020,0,111156
Wed Aug  5 13:45:59 GMT 2020,0,111153
Wed Aug  5 13:45:59 GMT 2020,0,144495
Wed Aug  5 13:46:00 GMT 2020,0,143036
Wed Aug  5 13:46:00 GMT 2020,0,143036
Wed Aug  5 13:46:01 GMT 2020,0,143033
Wed Aug  5 13:46:01 GMT 2020,0,142860
Wed Aug  5 13:46:02 GMT 2020,0,142964
Wed Aug  5 13:46:02 GMT 2020,0,142966
Wed Aug  5 13:46:03 GMT 2020,0,142936
Wed Aug  5 13:46:03 GMT 2020,0,156946
Wed Aug  5 13:46:04 GMT 2020,0,157130
Wed Aug  5 13:46:05 GMT 2020,0,157134
Wed Aug  5 13:46:05 GMT 2020,0,156862
Wed Aug  5 13:46:06 GMT 2020,0,156590
Wed Aug  5 13:46:07 GMT 2020,0,156338
Wed Aug  5 13:46:07 GMT 2020,0,156312
Wed Aug  5 13:46:08 GMT 2020,0,158232
Wed Aug  5 13:46:09 GMT 2020,0,149002
Wed Aug  5 13:46:09 GMT 2020,0,165695
Wed Aug  5 13:46:10 GMT 2020,0,165723
Wed Aug  5 13:46:11 GMT 2020,0,165867
Wed Aug  5 13:46:12 GMT 2020,0,165691
Wed Aug  5 13:46:12 GMT 2020,0,165689
Wed Aug  5 13:46:13 GMT 2020,0,151959
Wed Aug  5 13:46:14 GMT 2020,0,177553
Wed Aug  5 13:46:14 GMT 2020,0,175992
Wed Aug  5 13:46:15 GMT 2020,0,176776
Wed Aug  5 13:46:15 GMT 2020,0,164027
Wed Aug  5 13:46:16 GMT 2020,0,164015
Wed Aug  5 13:46:17 GMT 2020,0,178467
Wed Aug  5 13:46:18 GMT 2020,0,178499
Wed Aug  5 13:46:18 GMT 2020,0,178503
Wed Aug  5 13:46:19 GMT 2020,0,178490
Wed Aug  5 13:46:20 GMT 2020,0,180953
Wed Aug  5 13:46:20 GMT 2020,0,190180
Wed Aug  5 13:46:21 GMT 2020,0,189555
Wed Aug  5 13:46:22 GMT 2020,0,190006
Wed Aug  5 13:46:22 GMT 2020,0,239933
Wed Aug  5 13:46:23 GMT 2020,0,241085
Wed Aug  5 13:46:24 GMT 2020,0,240813
Wed Aug  5 13:46:25 GMT 2020,0,240581
Wed Aug  5 13:46:25 GMT 2020,0,240585
Wed Aug  5 13:46:26 GMT 2020,0,240533
Wed Aug  5 13:46:27 GMT 2020,0,242291
Wed Aug  5 13:46:27 GMT 2020,0,247466
Wed Aug  5 13:46:28 GMT 2020,0,245596
Wed Aug  5 13:46:29 GMT 2020,0,245712
Wed Aug  5 13:46:29 GMT 2020,0,245950
Wed Aug  5 13:46:30 GMT 2020,0,245804
Wed Aug  5 13:46:31 GMT 2020,0,246326
Wed Aug  5 13:46:31 GMT 2020,0,239866
Wed Aug  5 13:46:32 GMT 2020,0,239737
Wed Aug  5 13:46:33 GMT 2020,0,241735
Wed Aug  5 13:46:33 GMT 2020,0,240182
Wed Aug  5 13:46:34 GMT 2020,0,241380
Wed Aug  5 13:46:34 GMT 2020,0,244260
Wed Aug  5 13:46:35 GMT 2020,0,243412
Wed Aug  5 13:46:36 GMT 2020,0,243556
Wed Aug  5 13:46:36 GMT 2020,0,243552
Wed Aug  5 13:46:37 GMT 2020,0,243552
Wed Aug  5 13:46:38 GMT 2020,0,243384
Wed Aug  5 13:46:39 GMT 2020,0,243400
Wed Aug  5 13:46:39 GMT 2020,0,243214
Wed Aug  5 13:46:40 GMT 2020,0,243508
Wed Aug  5 13:46:40 GMT 2020,0,243307
Wed Aug  5 13:46:41 GMT 2020,0,243175
Wed Aug  5 13:46:42 GMT 2020,0,244003
Wed Aug  5 13:46:42 GMT 2020,0,244003
Wed Aug  5 13:46:43 GMT 2020,0,243987
Wed Aug  5 13:46:44 GMT 2020,0,243331
Wed Aug  5 13:46:44 GMT 2020,0,243188
Wed Aug  5 13:46:45 GMT 2020,0,242660
Wed Aug  5 13:46:45 GMT 2020,0,242440
Wed Aug  5 13:46:46 GMT 2020,0,242257
Wed Aug  5 13:46:46 GMT 2020,0,242992
Wed Aug  5 13:46:47 GMT 2020,0,243140
Wed Aug  5 13:46:48 GMT 2020,0,243000
Wed Aug  5 13:46:48 GMT 2020,0,243224
Wed Aug  5 13:46:49 GMT 2020,0,243236
Wed Aug  5 13:46:50 GMT 2020,0,243240
Wed Aug  5 13:46:50 GMT 2020,0,243098
Wed Aug  5 13:46:51 GMT 2020,0,225707
Wed Aug  5 13:46:52 GMT 2020,0,242368
Wed Aug  5 13:46:52 GMT 2020,0,242144
Wed Aug  5 13:46:53 GMT 2020,0,242506
Wed Aug  5 13:46:53 GMT 2020,0,241084
Wed Aug  5 13:46:54 GMT 2020,0,240977
Wed Aug  5 13:46:55 GMT 2020,0,241197
Wed Aug  5 13:46:55 GMT 2020,0,243322
Wed Aug  5 13:46:56 GMT 2020,0,243362
Wed Aug  5 13:46:57 GMT 2020,0,243442
Wed Aug  5 13:46:57 GMT 2020,0,243478
Wed Aug  5 13:46:58 GMT 2020,0,243478
Wed Aug  5 13:46:59 GMT 2020,0,243390
Wed Aug  5 13:46:59 GMT 2020,0,243406
Wed Aug  5 13:47:00 GMT 2020,0,243410
Wed Aug  5 13:47:00 GMT 2020,0,243414
Wed Aug  5 13:47:01 GMT 2020,0,243366
Wed Aug  5 13:47:02 GMT 2020,0,243383
Wed Aug  5 13:47:02 GMT 2020,0,244139
Wed Aug  5 13:47:03 GMT 2020,0,243731
Wed Aug  5 13:47:03 GMT 2020,0,243723
Wed Aug  5 13:47:04 GMT 2020,0,244153
Wed Aug  5 13:47:05 GMT 2020,0,244165
Wed Aug  5 13:47:05 GMT 2020,0,244161
Wed Aug  5 13:47:06 GMT 2020,0,244108
Wed Aug  5 13:47:07 GMT 2020,0,226454
Wed Aug  5 13:47:07 GMT 2020,0,243433
Wed Aug  5 13:47:08 GMT 2020,0,242850
Wed Aug  5 13:47:08 GMT 2020,0,242638
Wed Aug  5 13:47:09 GMT 2020,0,241321
Wed Aug  5 13:47:09 GMT 2020,0,241225
Wed Aug  5 13:47:10 GMT 2020,0,241650
Wed Aug  5 13:47:10 GMT 2020,0,242050
