STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",4116979,0,1,4,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",1612448,1,1,4,True
"TfprPrefetchingStrategy",3438,0,0,0,True
"TfprPrefetchingStrategy",2828385,1,1,4,True
"TfprPrefetchingStrategy",677,0,0,0,True
"TfprPrefetchingStrategy",935834,1,1,4,True
"TfprPrefetchingStrategy",729,0,0,0,True
"TfprPrefetchingStrategy",875156,1,1,4,True
"TfprPrefetchingStrategy",781,0,0,0,True
"TfprPrefetchingStrategy",1398073,1,1,4,True
"TfprPrefetchingStrategy",938,0,0,0,True
"TfprPrefetchingStrategy",913386,1,1,4,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",933646,1,1,4,True
"TfprPrefetchingStrategy",678,0,0,0,True
"TfprPrefetchingStrategy",2782969,1,1,4,True
"TfprPrefetchingStrategy",1354,0,0,0,True
"TfprPrefetchingStrategy",892291,1,1,4,True
"TfprPrefetchingStrategy",937,0,0,0,True
"TfprPrefetchingStrategy",2903907,1,1,4,True
"TfprPrefetchingStrategy",1094,0,0,0,True
