Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
30,2512892,31,0,0,81,33
82,2512956,83,0,0,181,26
183,2513980,183,0,0,283,12
285,2513588,285,0,0,385,4
388,2513588,389,0,0,483,21
485,2514948,486,0,0,584,32
585,2515444,586,0,0,684,19
686,2515260,687,0,0,786,14
790,2515744,791,0,0,885,29
886,2516764,887,0,0,985,19
986,2516640,987,0,0,1088,13
1090,2515856,1092,0,0,1188,7
1192,2516072,1193,0,0,1287,19
1288,2512080,1289,0,0,1388,16
1390,2510120,1391,0,0,1490,17
1493,2509532,1494,0,0,1589,5
1595,2509532,1596,0,0,1688,15
1690,2510332,1690,0,0,1791,15
1793,2510332,1795,0,0,1891,15
1894,2509652,1895,0,0,1992,12
1996,2509284,1998,0,0,2091,19
2093,2508152,2094,0,0,2191,28
2193,2508768,2193,0,0,2292,16
2295,2508396,2296,0,0,2392,15
2394,2508072,2396,0,0,2492,14
2494,2508744,2494,0,0,2593,15
2595,2508548,2597,0,0,2695,12
2697,2507960,2699,0,0,2796,3
2800,2508236,2802,0,0,2894,16
2896,2509040,2897,0,0,2997,13
3000,2508904,3001,0,0,3098,16
3101,2508492,3102,0,0,3199,2
3203,2508416,3204,0,0,3298,16
3301,2508740,3302,0,0,3399,17
3403,2509532,3404,0,0,3500,18
3502,2509052,3503,0,0,3603,7
3605,2509052,3607,0,0,3699,25
3701,2510244,3702,0,0,3800,30
3801,2510400,3802,0,0,3899,24
3900,2510940,3900,0,0,4003,21
4005,2511264,4006,0,0,4101,28
4103,2512348,4104,0,0,4201,27
4201,2514340,4202,0,0,4300,20
4301,2513740,4301,0,0,4401,12
4402,2513740,4402,0,0,4502,28
4503,2508956,4503,0,0,4601,30
4602,2525296,4602,0,0,4702,14
4703,2522716,4703,0,0,4803,24
4804,2508980,4805,0,0,4904,14
4906,2508888,4906,0,0,5003,11
5004,2508512,5004,0,0,5104,1
5105,2508256,5106,0,0,5205,18
5206,2508620,5206,0,0,5304,13
5305,2508860,5305,0,0,5405,8
5405,2508260,5405,0,0,5506,12
5507,2508808,5508,0,0,5605,26
5606,2510776,5606,0,0,5706,26
5706,2511768,5706,0,0,5806,15
5807,2512628,5807,0,0,5906,29
5907,2512012,5907,0,0,6007,24
6007,2512672,6008,0,0,6107,20
6108,2507576,6109,0,0,6207,32
6208,2508716,6209,0,0,6308,35
6308,2509716,6309,0,0,6408,25
6409,2510592,6409,0,0,6508,25
6509,2514336,6509,0,0,6609,37
6609,2515164,6610,0,0,6710,17
6711,2513988,6712,0,0,6811,14
6813,2509028,6813,0,0,6910,41
6911,2509812,6911,0,0,7010,35
7011,2512028,7011,0,0,7111,15
7113,2511232,7113,0,0,7213,22
7214,2510912,7215,0,0,7313,21
7313,2511248,7314,0,0,7413,20
7414,2511128,7414,0,0,7514,1
7515,2511128,7515,0,0,7615,18
7616,2511904,7616,0,0,7716,12
7719,2512152,7720,0,0,7815,26
7815,2512400,7816,0,0,7915,16
7916,2512636,7916,0,0,8015,28
8016,2513908,8016,0,0,8116,29
8117,2516228,8117,0,0,8216,26
8217,2515608,8217,0,0,8317,8
8317,2516376,8318,0,0,8417,24
8418,2512680,8418,0,0,8517,26
8518,2513032,8518,0,0,8618,16
