RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,26,26,11.538461538461538,33.333333333333336,3,6,0,0,17
2,26,26,15.384615384615385,40.0,4,6,2,0,14
3,26,26,15.384615384615385,40.0,4,6,2,0,14
4,26,26,15.384615384615385,40.0,4,6,2,0,14
5,26,26,15.384615384615385,40.0,4,6,2,0,14
6,26,26,15.384615384615385,40.0,4,6,2,0,14
7,26,26,15.384615384615385,40.0,4,6,2,0,14
8,26,26,15.384615384615385,40.0,4,6,2,0,14
9,26,26,15.384615384615385,40.0,4,6,2,0,14
10,26,26,15.384615384615385,40.0,4,6,2,0,14
