RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",233594,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55833,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71198,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53854,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1131979,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",36407,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",703490,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64532,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",180417,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59480,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",230521,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",37968,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",397604,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",216093,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",27343,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44635,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",99167,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62291,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79115,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",342760,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65521,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57188,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63021,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71250,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",280521,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55781,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",218646,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46094,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",223386,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",34843,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",302240,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65781,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",257708,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",200833,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38594,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1089739,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",188333,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",218073,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65677,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",187032,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35937,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",223021,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60521,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",357083,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44688,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",195937,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65416,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",385416,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",289115,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59583,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",686563,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",37656,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63385,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70521,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",312188,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57188,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",238802,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",282500,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56146,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",280625,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42761,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",217031,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41250,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",191875,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42917,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",257135,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52916,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",482448,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",222240,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46198,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1349948,0,1,3,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1814167,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",237292,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64948,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",191094,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",33229,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",168594,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",36198,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",228073,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39167,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",241979,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58333,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",297292,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",318073,1,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59271,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",352656,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58125,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40157,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44531,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",370156,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",85885,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",208229,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",243698,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57031,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",205364,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70573,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",422292,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61198,0,0,0,True
