STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",742500,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",279010,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",330729,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50365,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",307188,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63385,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",366354,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46563,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59270,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",459323,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",392448,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60729,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61719,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54062,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56458,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62084,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52760,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56563,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48750,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",275677,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55105,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58021,0,0,0,True
