Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,144365,2613953.948646773,611575.7612768911,611575.7612768911,30.560721721027065,1203935.3442622952,1203935.3442622952
2,143247,2671199.759272218,813481.2197340798,422362.01049685094,28.659202239328202,1287336.2823920266,668389.0509413067
3,142029,2674733.7827926655,1019946.5528913963,1019946.5528913963,27.80167989241686,1639778.0181405896,1639778.0181405896
4,143432,2632619.6703910613,816072.4106145251,618675.4755586592,28.625698324022345,1294148.053156146,981111.0531561462
5,134326,2571978.195376585,1839177.284116331,1839177.284116331,21.407450782163632,1929840.9530516432,1929840.9530516432
6,142540,2679982.220660576,832893.7174982432,765381.7835558678,28.32255797610682,1288269.3043478262,1183845.954347826
7,142647,2605598.867977528,1036811.0646067415,1036811.0646067415,27.6938202247191,1780963.7587454764,1780963.7587454764
8,145572,2580191.4273916036,298220.120440468,298220.120440468,32.06059087470734,878932.7281947262,878932.7281947262
9,149766,2667839.550200803,542519.3299866131,538611.546854083,39.024765729585006,542519.3299866131,538611.546854083
10,146497,2653581.187414501,632955.6634746921,632955.6634746921,32.96306429548564,1269384.3347050755,1269384.3347050755
