datetime,cpu,mem
Wed Aug  5 18:42:25 GMT 2020,1.4,58728
Wed Aug  5 18:42:25 GMT 2020,1.4,98832
Wed Aug  5 18:42:26 GMT 2020,1.4,98992
Wed Aug  5 18:42:26 GMT 2020,1.4,98992
Wed Aug  5 18:42:26 GMT 2020,1.4,100130
Wed Aug  5 18:42:27 GMT 2020,1.4,125022
Wed Aug  5 18:42:27 GMT 2020,1.4,136523
Wed Aug  5 18:42:27 GMT 2020,1.4,153320
Wed Aug  5 18:42:28 GMT 2020,1.4,153318
Wed Aug  5 18:42:28 GMT 2020,1.4,153318
Wed Aug  5 18:42:28 GMT 2020,1.4,153319
Wed Aug  5 18:42:29 GMT 2020,1.4,153319
Wed Aug  5 18:42:29 GMT 2020,1.4,153298
Wed Aug  5 18:42:30 GMT 2020,1.4,153276
Wed Aug  5 18:42:30 GMT 2020,1.4,155614
Wed Aug  5 18:42:30 GMT 2020,1.4,155926
Wed Aug  5 18:42:30 GMT 2020,1.4,158661
Wed Aug  5 18:42:31 GMT 2020,1.4,158438
Wed Aug  5 18:42:31 GMT 2020,1.4,166588
Wed Aug  5 18:42:32 GMT 2020,1.4,166595
Wed Aug  5 18:42:32 GMT 2020,1.4,166599
Wed Aug  5 18:42:32 GMT 2020,1.4,166603
Wed Aug  5 18:42:33 GMT 2020,1.4,166603
Wed Aug  5 18:42:33 GMT 2020,1.4,166603
Wed Aug  5 18:42:34 GMT 2020,1.4,166603
Wed Aug  5 18:42:34 GMT 2020,1.4,166600
Wed Aug  5 18:42:35 GMT 2020,1.4,166612
Wed Aug  5 18:42:35 GMT 2020,1.4,166612
Wed Aug  5 18:42:35 GMT 2020,1.4,166436
Wed Aug  5 18:42:36 GMT 2020,1.4,166452
Wed Aug  5 18:42:36 GMT 2020,1.4,166456
Wed Aug  5 18:42:37 GMT 2020,1.4,166460
Wed Aug  5 18:42:37 GMT 2020,1.4,166460
Wed Aug  5 18:42:38 GMT 2020,1.4,166460
Wed Aug  5 18:42:38 GMT 2020,1.4,166460
Wed Aug  5 18:42:38 GMT 2020,1.4,166902
