RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
1,0.19999999999999998,0.2,1,0,8
2,0.36363636363636365,0.36363636363636365,2,1,6
3,0.36363636363636365,0.36363636363636365,2,1,6
4,0.36363636363636365,0.36363636363636365,2,1,6
5,0.36363636363636365,0.36363636363636365,2,1,6
6,0.36363636363636365,0.36363636363636365,2,1,6
7,0.36363636363636365,0.36363636363636365,2,1,6
8,0.36363636363636365,0.36363636363636365,2,1,6
9,0.36363636363636365,0.36363636363636365,2,1,6
10,0.36363636363636365,0.36363636363636365,2,1,6
