Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
17,2443012,17,0,0,15,27
116,2443400,117,0,0,116,25
220,2443584,221,0,0,219,20
271,2442996,272,0,0,269,12
372,2443280,373,0,0,369,10
474,2443940,474,0,0,468,16
569,2444632,569,0,0,568,42
669,2464684,669,0,0,668,24
772,2467580,773,0,0,771,15
870,2468972,871,0,0,869,20
971,2469456,972,0,0,969,29
1071,2491444,1072,0,0,1070,28
1172,2497852,1173,0,0,1170,27
1272,2498108,1273,0,0,1271,27
1375,2498108,1376,0,0,1373,21
1475,2497324,1477,0,0,1473,20
1574,2498416,1574,0,0,1572,25
1674,2498500,1674,0,0,1672,19
1776,2498500,1778,0,0,1775,15
1878,2497912,1879,0,0,1876,6
1977,2498532,1977,0,0,1974,11
2076,2499056,2077,0,0,2075,14
2179,2498792,2180,0,0,2177,16
2280,2497792,2282,0,0,2278,7
2379,2497792,2380,0,0,2377,14
2477,2498844,2478,0,0,2476,18
2577,2498844,2578,0,0,2576,18
2680,2498060,2682,0,0,2679,7
2782,2498268,2783,0,0,2779,8
2879,2498684,2880,0,0,2878,17
2984,2498684,2985,0,0,2981,17
3087,2497780,3090,0,0,3082,10
3183,2498420,3184,0,0,3181,7
3282,2498312,3282,0,0,3280,18
3382,2498312,3383,0,0,3380,16
3484,2498148,3485,0,0,3482,16
3586,2498668,3587,0,0,3583,5
3683,2499228,3684,0,0,3682,21
3787,2499760,3789,0,0,3785,32
3888,2499532,3890,0,0,3886,19
3989,2494852,3990,0,0,3987,27
4085,2498008,4086,0,0,4084,31
4185,2498740,4185,0,0,4184,32
4285,2506336,4285,0,0,4284,10
4386,2513184,4386,0,0,4385,37
4486,2500552,4487,0,0,4485,43
4586,2493888,4586,0,0,4585,17
4688,2493940,4688,0,0,4687,14
4789,2495168,4789,0,0,4788,25
4888,2495204,4889,0,0,4888,28
4989,2495036,4989,0,0,4988,17
5090,2494956,5090,0,0,5089,25
5190,2496264,5190,0,0,5189,22
5290,2496284,5290,0,0,5289,11
5392,2496280,5393,0,0,5391,1
5492,2496944,5493,0,0,5491,22
5591,2496748,5592,0,0,5591,16
5691,2501076,5691,0,0,5691,49
5793,2504260,5794,0,0,5792,15
5892,2505444,5893,0,0,5892,17
5993,2505568,5993,0,0,5992,20
6093,2504656,6094,0,0,6093,5
6195,2504996,6195,0,0,6194,11
6294,2505652,6295,0,0,6294,16
6395,2505900,6396,0,0,6394,15
6495,2504332,6496,0,0,6494,11
6597,2504548,6598,0,0,6597,7
6697,2505020,6698,0,0,6696,15
6797,2505004,6798,0,0,6796,13
6899,2504416,6899,0,0,6898,8
7000,2504416,7000,0,0,6999,14
7100,2504840,7101,0,0,7099,14
7199,2505032,7200,0,0,7199,13
7300,2504312,7300,0,0,7299,11
7402,2504136,7403,0,0,7401,3
7501,2504980,7502,0,0,7501,18
7602,2504980,7602,0,0,7601,15
7702,2504588,7702,0,0,7702,17
7804,2504588,7804,0,0,7803,7
7904,2504588,7905,0,0,7903,15
8005,2504868,8005,0,0,8004,13
8105,2504736,8105,0,0,8104,13
8205,2504272,8205,0,0,8204,5
8307,2504496,8308,0,0,8306,13
8408,2505352,8408,0,0,8406,15
8507,2505548,8507,0,0,8506,14
8608,2504568,8608,0,0,8607,7
8710,2504600,8710,0,0,8709,9
8810,2505476,8810,0,0,8809,15
8910,2505476,8910,0,0,8909,13
9010,2504496,9010,0,0,9009,14
9113,2504524,9113,0,0,9111,3
9212,2505312,9213,0,0,9212,14
9314,2505528,9315,0,0,9313,17
9413,2505528,9413,0,0,9412,18
9516,2504940,9517,0,0,9514,5
9615,2505148,9616,0,0,9614,8
9716,2505204,9717,0,0,9715,16
9815,2505204,9815,0,0,9814,16
9917,2505028,9917,0,0,9915,7
10018,2505060,10018,0,0,10016,7
10117,2505984,10118,0,0,10116,14
10218,2506032,10218,0,0,10217,14
10318,2505340,10318,0,0,10317,15
10418,2505340,10418,0,0,10417,2
10520,2505388,10520,0,0,10519,14
10620,2505632,10620,0,0,10619,15
10720,2505632,10720,0,0,10719,14
10822,2504640,10822,0,0,10820,6
10922,2505288,10922,0,0,10921,10
11022,2506324,11022,0,0,11021,16
11122,2506016,11122,0,0,11121,17
11222,2505448,11222,0,0,11221,12
11324,2505836,11325,0,0,11323,8
11424,2505516,11424,0,0,11423,12
11524,2505516,11525,0,0,11523,13
11624,2504928,11624,0,0,11623,13
11725,2504928,11726,0,0,11724,1
11826,2505220,11827,0,0,11825,14
11926,2505780,11927,0,0,11925,14
12027,2506028,12027,0,0,12026,15
12127,2505376,12128,0,0,12126,6
12229,2505564,12230,0,0,12228,10
12328,2505968,12329,0,0,12327,14
12428,2506920,12429,0,0,12428,25
12529,2507220,12529,0,0,12528,19
12631,2507768,12631,0,0,12629,21
12730,2510224,12730,0,0,12729,29
12830,2511004,12830,0,0,12829,33
12931,2510892,12931,0,0,12930,8
13031,2505244,13032,0,0,13030,18
13132,2510436,13132,0,0,13130,39
13232,2510356,13233,0,0,13231,24
13345,2509768,13346,0,0,13344,15
13445,2510204,13446,0,0,13444,20
13544,2510204,13545,0,0,13544,19
13645,2510388,13645,0,0,13644,18
13747,2511728,13747,0,0,13745,20
13846,2512572,13846,0,0,13845,25
13946,2511592,13946,0,0,13945,21
14047,2510600,14048,0,0,14047,5
14148,2511800,14148,0,0,14147,19
14248,2512096,14248,0,0,14247,16
14348,2511312,14348,0,0,14347,12
14449,2511288,14449,0,0,14448,2
14550,2511416,14550,0,0,14549,14
14650,2511324,14650,0,0,14649,15
14750,2511572,14750,0,0,14749,13
14851,2511180,14851,0,0,14850,7
14953,2511716,14953,0,0,14952,8
15053,2512004,15053,0,0,15052,17
15152,2511964,15152,0,0,15151,16
15253,2511560,15253,0,0,15252,14
15354,2511560,15354,0,0,15353,6
15455,2512136,15455,0,0,15454,17
15557,2512340,15558,0,0,15555,12
15656,2512316,15656,0,0,15655,13
15707,2511728,15708,0,0,15707,10
15808,2511728,15809,0,0,15808,8
15910,2512036,15910,0,0,15908,13
16009,2512256,16010,0,0,16008,16
16109,2511988,16109,0,0,16108,15
16209,2511460,16210,0,0,16209,7
16311,2511564,16312,0,0,16310,8
16411,2512264,16411,0,0,16410,17
16511,2512264,16511,0,0,16510,15
16611,2511872,16612,0,0,16611,8
16713,2512160,16714,0,0,16712,8
16814,2512492,16814,0,0,16813,20
16913,2512492,16913,0,0,16912,17
17013,2512204,17014,0,0,17013,11
17116,2512000,17117,0,0,17115,2
17215,2512152,17216,0,0,17215,19
17317,2512368,17317,0,0,17316,13
17416,2512368,17416,0,0,17415,17
17517,2512172,17518,0,0,17516,4
17618,2512172,17619,0,0,17617,8
17719,2512988,17719,0,0,17718,15
17819,2512988,17819,0,0,17818,15
17919,2512000,17919,0,0,17918,15
18020,2512000,18020,0,0,18019,4
18121,2512536,18122,0,0,18120,17
18221,2513060,18222,0,0,18220,13
18322,2512936,18322,0,0,18321,14
18422,2512116,18422,0,0,18421,7
18523,2512348,18524,0,0,18522,13
18625,2513108,18626,0,0,18624,13
18725,2513108,18725,0,0,18724,13
18825,2512324,18826,0,0,18825,13
18927,2511148,18927,0,0,18926,3
19027,2511656,19028,0,0,19026,14
19128,2511888,19129,0,0,19127,14
19228,2511904,19228,0,0,19227,19
19329,2511828,19329,0,0,19328,5
19429,2512192,19430,0,0,19428,23
19529,2512768,19529,0,0,19528,18
19629,2512572,19630,0,0,19629,16
19730,2511984,19730,0,0,19729,14
19831,2511984,19832,0,0,19830,5
19931,2512832,19931,0,0,19930,14
20032,2512832,20032,0,0,20031,13
20132,2512552,20133,0,0,20132,17
20235,2512364,20235,0,0,20233,8
20335,2512000,20335,0,0,20333,15
20435,2512512,20435,0,0,20434,16
20535,2512512,20536,0,0,20535,13
20637,2512120,20638,0,0,20636,3
20737,2512924,20737,0,0,20736,11
20838,2513208,20839,0,0,20837,16
20938,2513472,20938,0,0,20937,15
21039,2512688,21039,0,0,21038,7
21141,2513048,21141,0,0,21139,6
21240,2513192,21240,0,0,21239,15
21341,2513192,21341,0,0,21340,13
21441,2512884,21441,586403,586403,21440,14
21544,2513096,21544,586403,586403,21542,9
21644,2513488,21644,586403,586403,21643,17
21746,2513488,21747,586403,586403,21744,13
21846,2513764,21846,586403,586403,21845,14
21947,2512980,21947,586403,586403,21946,2
22048,2513428,22048,586403,586403,22047,14
22148,2513596,22149,586403,586403,22147,16
22248,2513808,22248,586403,586403,22247,17
22348,2513028,22348,586403,586403,22347,8
22449,2513276,22450,586403,586403,22448,7
22549,2514184,22549,586403,586403,22548,17
22651,2514184,22651,586403,586403,22649,12
22750,2513400,22750,586403,586403,22749,16
22853,2513400,22853,586403,586403,22851,1
22952,2513788,22953,586403,586403,22951,13
23052,2514316,23052,586403,586403,23051,15
23152,2514440,23153,586403,586403,23151,15
23255,2514288,23256,586403,586403,23253,8
23354,2514504,23355,586403,586403,23353,11
23454,2514424,23454,586403,586403,23453,17
23554,2514424,23555,586403,586403,23554,13
23655,2513836,23655,586403,586403,23654,9
23757,2514076,23757,586403,586403,23755,7
23857,2514964,23857,586403,586403,23855,14
23959,2514964,23960,586403,586403,23957,13
24057,2515020,24057,586403,586403,24056,16
24158,2514628,24158,586403,586403,24156,1
24258,2514776,24258,586403,586403,24257,12
24358,2513436,24358,586403,586403,24357,25
24458,2513436,24459,586403,586403,24457,12
24561,2512848,24561,586403,586403,24559,6
24660,2513564,24660,586403,586403,24659,29
24760,2513884,24761,586403,586403,24760,26
24861,2513884,24861,586403,586403,24860,17
