datetime,cpu,mem
Wed Aug  5 01:13:01 GMT 2020,1.4,103392
Wed Aug  5 01:13:01 GMT 2020,1.4,107127
Wed Aug  5 01:13:01 GMT 2020,1.4,107588
Wed Aug  5 01:13:02 GMT 2020,1.4,107675
Wed Aug  5 01:13:02 GMT 2020,1.4,107703
Wed Aug  5 01:13:03 GMT 2020,1.4,107703
Wed Aug  5 01:13:03 GMT 2020,1.4,107703
Wed Aug  5 01:13:03 GMT 2020,1.4,107703
Wed Aug  5 01:13:04 GMT 2020,1.4,107699
Wed Aug  5 01:13:04 GMT 2020,1.4,107699
Wed Aug  5 01:13:05 GMT 2020,1.4,107699
Wed Aug  5 01:13:05 GMT 2020,18,107244
Wed Aug  5 01:13:05 GMT 2020,18,107109
Wed Aug  5 01:13:06 GMT 2020,18,109743
Wed Aug  5 01:13:06 GMT 2020,18,94601
Wed Aug  5 01:13:06 GMT 2020,18,110926
Wed Aug  5 01:13:07 GMT 2020,18,115573
Wed Aug  5 01:13:07 GMT 2020,18,117663
Wed Aug  5 01:13:08 GMT 2020,18,117951
Wed Aug  5 01:13:08 GMT 2020,18,117903
Wed Aug  5 01:13:08 GMT 2020,18,117904
Wed Aug  5 01:13:09 GMT 2020,18,117904
Wed Aug  5 01:13:09 GMT 2020,18,117904
Wed Aug  5 01:13:10 GMT 2020,18,117898
Wed Aug  5 01:13:10 GMT 2020,18,117474
Wed Aug  5 01:13:10 GMT 2020,18,117474
Wed Aug  5 01:13:11 GMT 2020,18,117478
Wed Aug  5 01:13:11 GMT 2020,18,117486
Wed Aug  5 01:13:12 GMT 2020,18,117486
Wed Aug  5 01:13:12 GMT 2020,18,117486
Wed Aug  5 01:13:13 GMT 2020,18,117486
Wed Aug  5 01:13:13 GMT 2020,18,117486
Wed Aug  5 01:13:13 GMT 2020,18,117466
Wed Aug  5 01:13:14 GMT 2020,18,117442
Wed Aug  5 01:13:14 GMT 2020,18,117418
Wed Aug  5 01:13:15 GMT 2020,18,117398
Wed Aug  5 01:13:15 GMT 2020,18,117374
Wed Aug  5 01:13:16 GMT 2020,18,117378
Wed Aug  5 01:13:16 GMT 2020,18,117336
Wed Aug  5 01:13:16 GMT 2020,18,119978
Wed Aug  5 01:13:17 GMT 2020,18,145112
Wed Aug  5 01:13:17 GMT 2020,18,189067
Wed Aug  5 01:13:18 GMT 2020,18,188855
Wed Aug  5 01:13:18 GMT 2020,18,189089
Wed Aug  5 01:13:19 GMT 2020,18,189293
Wed Aug  5 01:13:19 GMT 2020,18,188449
Wed Aug  5 01:13:20 GMT 2020,18,188746
Wed Aug  5 01:13:20 GMT 2020,18,188266
Wed Aug  5 01:13:21 GMT 2020,18,188262
Wed Aug  5 01:13:21 GMT 2020,18,188274
Wed Aug  5 01:13:22 GMT 2020,18,188300
Wed Aug  5 01:13:23 GMT 2020,18,188325
Wed Aug  5 01:13:23 GMT 2020,18,188349
Wed Aug  5 01:13:24 GMT 2020,18,188405
Wed Aug  5 01:13:24 GMT 2020,18,188373
Wed Aug  5 01:13:25 GMT 2020,18,188493
Wed Aug  5 01:13:25 GMT 2020,18,188161
Wed Aug  5 01:13:26 GMT 2020,18,188177
Wed Aug  5 01:13:27 GMT 2020,18,188177
Wed Aug  5 01:13:27 GMT 2020,18,188185
Wed Aug  5 01:13:28 GMT 2020,18,188185
Wed Aug  5 01:13:28 GMT 2020,18,188185
Wed Aug  5 01:13:29 GMT 2020,18,188081
Wed Aug  5 01:13:29 GMT 2020,0,171808
Wed Aug  5 01:13:30 GMT 2020,0,189110
Wed Aug  5 01:13:30 GMT 2020,0,187307
Wed Aug  5 01:13:31 GMT 2020,0,187937
Wed Aug  5 01:13:31 GMT 2020,0,174125
Wed Aug  5 01:13:32 GMT 2020,0,192509
Wed Aug  5 01:13:32 GMT 2020,0,192547
Wed Aug  5 01:13:33 GMT 2020,0,193264
Wed Aug  5 01:13:33 GMT 2020,0,193513
Wed Aug  5 01:13:34 GMT 2020,0,193729
Wed Aug  5 01:13:34 GMT 2020,0,193692
Wed Aug  5 01:13:35 GMT 2020,0,193697
Wed Aug  5 01:13:36 GMT 2020,32,193179
Wed Aug  5 01:13:36 GMT 2020,32,192261
Wed Aug  5 01:13:37 GMT 2020,32,192266
Wed Aug  5 01:13:37 GMT 2020,32,192253
Wed Aug  5 01:13:38 GMT 2020,32,191868
Wed Aug  5 01:13:38 GMT 2020,32,192629
Wed Aug  5 01:13:39 GMT 2020,32,192792
Wed Aug  5 01:13:40 GMT 2020,32,192158
Wed Aug  5 01:13:40 GMT 2020,32,192734
Wed Aug  5 01:13:41 GMT 2020,32,192470
Wed Aug  5 01:13:42 GMT 2020,32,192534
Wed Aug  5 01:13:42 GMT 2020,32,192682
Wed Aug  5 01:13:43 GMT 2020,32,192670
Wed Aug  5 01:13:43 GMT 2020,32,192674
Wed Aug  5 01:13:44 GMT 2020,32,192674
Wed Aug  5 01:13:45 GMT 2020,32,192674
Wed Aug  5 01:13:45 GMT 2020,32,192650
Wed Aug  5 01:13:46 GMT 2020,32,192584
Wed Aug  5 01:13:46 GMT 2020,32,192480
Wed Aug  5 01:13:47 GMT 2020,32,192640
Wed Aug  5 01:13:48 GMT 2020,32,192652
Wed Aug  5 01:13:48 GMT 2020,32,192660
Wed Aug  5 01:13:49 GMT 2020,32,192648
Wed Aug  5 01:13:49 GMT 2020,32,192647
Wed Aug  5 01:13:50 GMT 2020,27,193278
Wed Aug  5 01:13:50 GMT 2020,27,180090
Wed Aug  5 01:13:51 GMT 2020,27,198952
Wed Aug  5 01:13:52 GMT 2020,27,199254
Wed Aug  5 01:13:52 GMT 2020,27,199734
Wed Aug  5 01:13:53 GMT 2020,27,199270
Wed Aug  5 01:13:53 GMT 2020,27,199554
Wed Aug  5 01:13:54 GMT 2020,27,198798
Wed Aug  5 01:13:55 GMT 2020,27,198765
Wed Aug  5 01:13:55 GMT 2020,27,198782
Wed Aug  5 01:13:56 GMT 2020,27,198618
Wed Aug  5 01:13:56 GMT 2020,27,198466
Wed Aug  5 01:13:57 GMT 2020,26,198199
Wed Aug  5 01:13:57 GMT 2020,26,198439
Wed Aug  5 01:13:58 GMT 2020,26,198878
Wed Aug  5 01:13:59 GMT 2020,26,199387
Wed Aug  5 01:13:59 GMT 2020,26,199807
Wed Aug  5 01:14:00 GMT 2020,26,199387
Wed Aug  5 01:14:01 GMT 2020,26,199483
Wed Aug  5 01:14:01 GMT 2020,26,199501
Wed Aug  5 01:14:02 GMT 2020,26,199253
Wed Aug  5 01:14:03 GMT 2020,26,199437
Wed Aug  5 01:14:04 GMT 2020,26,199529
Wed Aug  5 01:14:04 GMT 2020,26,199594
Wed Aug  5 01:14:05 GMT 2020,26,199690
Wed Aug  5 01:14:05 GMT 2020,26,199750
Wed Aug  5 01:14:06 GMT 2020,26,199830
Wed Aug  5 01:14:07 GMT 2020,26,199700
Wed Aug  5 01:14:07 GMT 2020,26,199744
Wed Aug  5 01:14:08 GMT 2020,26,199796
Wed Aug  5 01:14:09 GMT 2020,26,199815
Wed Aug  5 01:14:09 GMT 2020,26,201141
Wed Aug  5 01:14:10 GMT 2020,26,187441
Wed Aug  5 01:14:10 GMT 2020,26,205557
Wed Aug  5 01:14:11 GMT 2020,26,206101
Wed Aug  5 01:14:12 GMT 2020,26,206325
Wed Aug  5 01:14:12 GMT 2020,26,205681
Wed Aug  5 01:14:13 GMT 2020,26,205085
Wed Aug  5 01:14:14 GMT 2020,26,205089
Wed Aug  5 01:14:15 GMT 2020,26,205093
Wed Aug  5 01:14:15 GMT 2020,26,205093
Wed Aug  5 01:14:16 GMT 2020,26,205093
Wed Aug  5 01:14:17 GMT 2020,26,205113
Wed Aug  5 01:14:17 GMT 2020,26,204989
Wed Aug  5 01:14:18 GMT 2020,26,205114
Wed Aug  5 01:14:19 GMT 2020,26,205110
Wed Aug  5 01:14:19 GMT 2020,26,205118
Wed Aug  5 01:14:20 GMT 2020,26,205130
Wed Aug  5 01:14:20 GMT 2020,26,205140
Wed Aug  5 01:14:21 GMT 2020,26,205140
Wed Aug  5 01:14:22 GMT 2020,26,205036
Wed Aug  5 01:14:22 GMT 2020,26,204588
Wed Aug  5 01:14:23 GMT 2020,26,204615
Wed Aug  5 01:14:24 GMT 2020,26,204977
Wed Aug  5 01:14:24 GMT 2020,26,191460
Wed Aug  5 01:14:25 GMT 2020,26,207428
Wed Aug  5 01:14:26 GMT 2020,26,208452
Wed Aug  5 01:14:26 GMT 2020,26,208916
Wed Aug  5 01:14:27 GMT 2020,26,208916
Wed Aug  5 01:14:28 GMT 2020,26,208565
Wed Aug  5 01:14:29 GMT 2020,26,208605
Wed Aug  5 01:14:29 GMT 2020,26,209116
Wed Aug  5 01:14:30 GMT 2020,26,209123
Wed Aug  5 01:14:31 GMT 2020,26,207897
Wed Aug  5 01:14:31 GMT 2020,26,208758
Wed Aug  5 01:14:32 GMT 2020,26,209042
Wed Aug  5 01:14:33 GMT 2020,26,211525
Wed Aug  5 01:14:34 GMT 2020,26,211317
Wed Aug  5 01:14:35 GMT 2020,26,211353
Wed Aug  5 01:14:35 GMT 2020,26,211369
Wed Aug  5 01:14:36 GMT 2020,26,211361
Wed Aug  5 01:14:37 GMT 2020,26,211365
Wed Aug  5 01:14:38 GMT 2020,26,211369
Wed Aug  5 01:14:39 GMT 2020,26,211013
Wed Aug  5 01:14:39 GMT 2020,26,211045
Wed Aug  5 01:14:40 GMT 2020,26,211221
Wed Aug  5 01:14:41 GMT 2020,26,211201
Wed Aug  5 01:14:41 GMT 2020,26,211201
Wed Aug  5 01:14:42 GMT 2020,26,211205
Wed Aug  5 01:14:43 GMT 2020,26,211168
Wed Aug  5 01:14:43 GMT 2020,26,211324
Wed Aug  5 01:14:44 GMT 2020,26,216713
Wed Aug  5 01:14:45 GMT 2020,26,216717
Wed Aug  5 01:14:45 GMT 2020,26,217685
Wed Aug  5 01:14:46 GMT 2020,26,217457
Wed Aug  5 01:14:47 GMT 2020,26,216945
Wed Aug  5 01:14:48 GMT 2020,26,216050
Wed Aug  5 01:14:49 GMT 2020,26,215601
Wed Aug  5 01:14:49 GMT 2020,26,215682
Wed Aug  5 01:14:50 GMT 2020,26,262571
Wed Aug  5 01:14:51 GMT 2020,26,215463
Wed Aug  5 01:14:52 GMT 2020,26,215915
