RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",2084,0,0,0,True
1,"TfprPrefetchingStrategy",2292,0,0,0,True
1,"TfprPrefetchingStrategy",2969,0,0,0,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",1574583,0,1,1,True
1,"TfprPrefetchingStrategy",990,0,0,0,True
1,"TfprPrefetchingStrategy",737969,0,1,1,True
1,"TfprPrefetchingStrategy",973073,0,1,1,True
1,"TfprPrefetchingStrategy",842604,0,1,1,True
1,"TfprPrefetchingStrategy",1042,0,0,0,True
1,"TfprPrefetchingStrategy",777708,0,1,1,True
1,"TfprPrefetchingStrategy",1927,0,0,0,True
1,"TfprPrefetchingStrategy",2135,0,0,0,True
1,"TfprPrefetchingStrategy",938,0,0,0,True
1,"TfprPrefetchingStrategy",512239,0,1,1,True
1,"TfprPrefetchingStrategy",937,0,0,0,True
1,"TfprPrefetchingStrategy",1165781,0,1,2,True
1,"TfprPrefetchingStrategy",1136042,0,1,1,True
1,"TfprPrefetchingStrategy",2362760,0,1,1,True
1,"TfprPrefetchingStrategy",1615,0,0,0,True
2,"TfprPrefetchingStrategy",1448802,0,2,2,True
2,"TfprPrefetchingStrategy",674740,0,1,1,True
2,"TfprPrefetchingStrategy",858542,0,1,1,True
2,"TfprPrefetchingStrategy",729,0,0,0,True
2,"TfprPrefetchingStrategy",1086615,0,1,1,True
2,"TfprPrefetchingStrategy",729,0,0,0,True
2,"TfprPrefetchingStrategy",1135625,0,1,2,True
2,"TfprPrefetchingStrategy",607448,0,1,1,True
2,"TfprPrefetchingStrategy",748958,0,1,1,True
2,"TfprPrefetchingStrategy",885,0,0,0,True
2,"TfprPrefetchingStrategy",1043489,0,1,2,True
2,"TfprPrefetchingStrategy",2031562,0,1,1,True
2,"TfprPrefetchingStrategy",612604,0,1,1,True
2,"TfprPrefetchingStrategy",990,0,0,0,True
2,"TfprPrefetchingStrategy",623646,0,1,1,True
2,"TfprPrefetchingStrategy",834,0,0,0,True
2,"TfprPrefetchingStrategy",1256823,0,2,2,True
2,"TfprPrefetchingStrategy",882396,0,1,1,True
2,"TfprPrefetchingStrategy",668854,0,1,1,True
2,"TfprPrefetchingStrategy",834,0,0,0,True
3,"TfprPrefetchingStrategy",1611667,0,2,2,True
3,"TfprPrefetchingStrategy",420834,0,1,1,True
3,"TfprPrefetchingStrategy",656666,0,1,1,True
3,"TfprPrefetchingStrategy",1875,0,0,0,True
3,"TfprPrefetchingStrategy",766459,0,1,1,True
3,"TfprPrefetchingStrategy",886,0,0,0,True
3,"TfprPrefetchingStrategy",1226979,0,2,2,True
3,"TfprPrefetchingStrategy",1080052,0,1,1,True
3,"TfprPrefetchingStrategy",775573,0,1,1,True
3,"TfprPrefetchingStrategy",1770,0,0,0,True
3,"TfprPrefetchingStrategy",1463750,0,1,2,True
3,"TfprPrefetchingStrategy",700990,0,1,1,True
3,"TfprPrefetchingStrategy",712916,0,1,1,True
3,"TfprPrefetchingStrategy",2239,0,0,0,True
3,"TfprPrefetchingStrategy",861302,0,1,1,True
3,"TfprPrefetchingStrategy",1875,0,0,0,True
3,"TfprPrefetchingStrategy",1269062,0,2,2,True
3,"TfprPrefetchingStrategy",861302,0,1,1,True
3,"TfprPrefetchingStrategy",1050364,0,1,1,True
3,"TfprPrefetchingStrategy",1094,0,0,0,True
4,"TfprPrefetchingStrategy",1551458,0,2,2,True
4,"TfprPrefetchingStrategy",405000,0,1,1,True
4,"TfprPrefetchingStrategy",1181979,0,1,1,True
4,"TfprPrefetchingStrategy",573,0,0,0,True
4,"TfprPrefetchingStrategy",896407,0,1,1,True
4,"TfprPrefetchingStrategy",1875,0,0,0,True
4,"TfprPrefetchingStrategy",1079896,0,2,2,True
4,"TfprPrefetchingStrategy",907344,0,1,1,True
4,"TfprPrefetchingStrategy",927657,0,1,1,True
4,"TfprPrefetchingStrategy",1667,0,0,0,True
4,"TfprPrefetchingStrategy",1257031,0,2,2,True
4,"TfprPrefetchingStrategy",854323,0,1,1,True
4,"TfprPrefetchingStrategy",891145,0,1,1,True
4,"TfprPrefetchingStrategy",1146,0,0,0,True
4,"TfprPrefetchingStrategy",1236875,0,1,1,True
4,"TfprPrefetchingStrategy",834,0,0,0,True
4,"TfprPrefetchingStrategy",1331354,0,2,2,True
4,"TfprPrefetchingStrategy",639948,0,1,1,True
4,"TfprPrefetchingStrategy",1172240,0,1,1,True
4,"TfprPrefetchingStrategy",1146,0,0,0,True
5,"TfprPrefetchingStrategy",12941094,0,2,2,True
5,"TfprPrefetchingStrategy",682708,0,1,1,True
5,"TfprPrefetchingStrategy",789375,0,1,1,True
5,"TfprPrefetchingStrategy",1927,0,0,0,True
5,"TfprPrefetchingStrategy",1232187,0,1,1,True
5,"TfprPrefetchingStrategy",1042,0,0,0,True
5,"TfprPrefetchingStrategy",1669844,0,2,2,True
5,"TfprPrefetchingStrategy",875521,0,1,1,True
5,"TfprPrefetchingStrategy",2387292,0,1,1,True
5,"TfprPrefetchingStrategy",1145,0,0,0,True
5,"TfprPrefetchingStrategy",1195990,0,2,2,True
5,"TfprPrefetchingStrategy",699166,0,1,1,True
5,"TfprPrefetchingStrategy",3690886,0,1,1,True
5,"TfprPrefetchingStrategy",3542,0,0,0,True
5,"TfprPrefetchingStrategy",564844,0,1,1,True
5,"TfprPrefetchingStrategy",990,0,0,0,True
5,"TfprPrefetchingStrategy",1378125,0,2,2,True
5,"TfprPrefetchingStrategy",935156,0,1,1,True
5,"TfprPrefetchingStrategy",953750,0,1,1,True
5,"TfprPrefetchingStrategy",1666,0,0,0,True
6,"TfprPrefetchingStrategy",1646354,0,2,2,True
6,"TfprPrefetchingStrategy",839011,0,1,1,True
6,"TfprPrefetchingStrategy",1611198,0,1,1,True
6,"TfprPrefetchingStrategy",3125,0,0,0,True
6,"TfprPrefetchingStrategy",858230,0,1,1,True
6,"TfprPrefetchingStrategy",1719,0,0,0,True
6,"TfprPrefetchingStrategy",1141094,0,2,2,True
6,"TfprPrefetchingStrategy",1026406,0,1,1,True
6,"TfprPrefetchingStrategy",1359948,0,1,1,True
6,"TfprPrefetchingStrategy",1042,0,0,0,True
6,"TfprPrefetchingStrategy",1249271,0,2,2,True
6,"TfprPrefetchingStrategy",681354,0,1,1,True
6,"TfprPrefetchingStrategy",991406,0,1,1,True
6,"TfprPrefetchingStrategy",1615,0,0,0,True
6,"TfprPrefetchingStrategy",1028437,0,1,1,True
6,"TfprPrefetchingStrategy",1094,0,0,0,True
6,"TfprPrefetchingStrategy",1337291,0,2,2,True
6,"TfprPrefetchingStrategy",815104,0,1,1,True
6,"TfprPrefetchingStrategy",1222708,0,1,1,True
6,"TfprPrefetchingStrategy",1094,0,0,0,True
7,"TfprPrefetchingStrategy",1809791,0,2,2,True
7,"TfprPrefetchingStrategy",700416,0,1,1,True
7,"TfprPrefetchingStrategy",924740,0,1,1,True
7,"TfprPrefetchingStrategy",1667,0,0,0,True
7,"TfprPrefetchingStrategy",919583,0,1,1,True
7,"TfprPrefetchingStrategy",1354,0,0,0,True
7,"TfprPrefetchingStrategy",1188959,0,2,2,True
7,"TfprPrefetchingStrategy",800937,0,1,1,True
7,"TfprPrefetchingStrategy",1059636,0,1,1,True
7,"TfprPrefetchingStrategy",1510,0,0,0,True
7,"TfprPrefetchingStrategy",1316354,0,2,2,True
7,"TfprPrefetchingStrategy",1323906,0,1,1,True
7,"TfprPrefetchingStrategy",1345625,0,1,1,True
7,"TfprPrefetchingStrategy",1562,0,0,0,True
7,"TfprPrefetchingStrategy",1984479,0,1,1,True
7,"TfprPrefetchingStrategy",781,0,0,0,True
7,"TfprPrefetchingStrategy",1200313,0,2,2,True
7,"TfprPrefetchingStrategy",841510,0,1,1,True
7,"TfprPrefetchingStrategy",986093,0,1,1,True
7,"TfprPrefetchingStrategy",2343,0,0,0,True
8,"TfprPrefetchingStrategy",1656042,0,2,2,True
8,"TfprPrefetchingStrategy",893750,0,1,1,True
8,"TfprPrefetchingStrategy",1306718,0,1,1,True
8,"TfprPrefetchingStrategy",2500,0,0,0,True
8,"TfprPrefetchingStrategy",816927,0,1,1,True
8,"TfprPrefetchingStrategy",1094,0,0,0,True
8,"TfprPrefetchingStrategy",1182188,0,2,2,True
8,"TfprPrefetchingStrategy",719532,0,1,1,True
8,"TfprPrefetchingStrategy",854062,0,1,1,True
8,"TfprPrefetchingStrategy",2083,0,0,0,True
8,"TfprPrefetchingStrategy",1385469,0,2,2,True
8,"TfprPrefetchingStrategy",773802,0,1,1,True
8,"TfprPrefetchingStrategy",919063,0,1,1,True
8,"TfprPrefetchingStrategy",1718,0,0,0,True
8,"TfprPrefetchingStrategy",996302,0,1,1,True
8,"TfprPrefetchingStrategy",1198,0,0,0,True
8,"TfprPrefetchingStrategy",1339219,0,2,2,True
8,"TfprPrefetchingStrategy",1059687,0,1,1,True
8,"TfprPrefetchingStrategy",904739,0,1,1,True
8,"TfprPrefetchingStrategy",1980,0,0,0,True
9,"TfprPrefetchingStrategy",2269688,0,2,2,True
9,"TfprPrefetchingStrategy",407032,0,1,1,True
9,"TfprPrefetchingStrategy",790625,0,1,1,True
9,"TfprPrefetchingStrategy",2135,0,0,0,True
9,"TfprPrefetchingStrategy",3271666,0,1,1,True
9,"TfprPrefetchingStrategy",2188,0,0,0,True
9,"TfprPrefetchingStrategy",1093073,0,2,2,True
9,"TfprPrefetchingStrategy",1054270,0,1,1,True
9,"TfprPrefetchingStrategy",887240,0,1,1,True
9,"TfprPrefetchingStrategy",1094,0,0,0,True
9,"TfprPrefetchingStrategy",1328125,0,2,2,True
9,"TfprPrefetchingStrategy",772552,0,1,1,True
9,"TfprPrefetchingStrategy",5081562,0,1,1,True
9,"TfprPrefetchingStrategy",1511,0,0,0,True
9,"TfprPrefetchingStrategy",884323,0,1,1,True
9,"TfprPrefetchingStrategy",1823,0,0,0,True
9,"TfprPrefetchingStrategy",1211718,0,2,2,True
9,"TfprPrefetchingStrategy",962969,0,1,1,True
9,"TfprPrefetchingStrategy",803229,0,1,1,True
9,"TfprPrefetchingStrategy",1927,0,0,0,True
10,"TfprPrefetchingStrategy",1485364,0,2,2,True
10,"TfprPrefetchingStrategy",729427,0,1,1,True
10,"TfprPrefetchingStrategy",856511,0,1,1,True
10,"TfprPrefetchingStrategy",1511,0,0,0,True
10,"TfprPrefetchingStrategy",1239271,0,1,1,True
10,"TfprPrefetchingStrategy",1928,0,0,0,True
10,"TfprPrefetchingStrategy",1151250,0,2,2,True
10,"TfprPrefetchingStrategy",704480,0,1,1,True
10,"TfprPrefetchingStrategy",1457291,0,1,1,True
10,"TfprPrefetchingStrategy",1354,0,0,0,True
10,"TfprPrefetchingStrategy",1239427,0,2,2,True
10,"TfprPrefetchingStrategy",1172396,0,1,1,True
10,"TfprPrefetchingStrategy",960521,0,1,1,True
10,"TfprPrefetchingStrategy",1354,0,0,0,True
10,"TfprPrefetchingStrategy",1374323,0,1,1,True
10,"TfprPrefetchingStrategy",1980,0,0,0,True
10,"TfprPrefetchingStrategy",1173750,0,2,2,True
10,"TfprPrefetchingStrategy",875261,0,1,1,True
10,"TfprPrefetchingStrategy",1036459,0,1,1,True
10,"TfprPrefetchingStrategy",2396,0,0,0,True
