Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
57,2515804,58,0,0,26,9
125,2516096,126,0,0,124,22
225,2517464,225,0,0,224,21
325,2517464,325,0,0,324,16
430,2516980,432,0,0,428,6
528,2517916,529,0,0,526,14
628,2518756,629,0,0,626,17
730,2518756,731,0,0,728,19
831,2518200,832,1124269,1124269,829,5
931,2518716,932,1124269,1124269,929,17
1029,2519220,1030,1124269,1124269,1028,23
1130,2519456,1130,1124269,1124269,1129,13
1234,2518280,1236,1124269,1124269,1232,3
1331,2518952,1332,1124269,1124269,1330,12
1431,2519724,1432,1124269,1124269,1430,12
1533,2519560,1534,1124269,1124269,1531,15
1637,2519072,1638,1124269,1124269,1634,5
1734,2519872,1736,1124269,1124269,1732,12
1833,2520060,1833,1124269,1124269,1832,17
1933,2520308,1934,1124269,1124269,1932,16
2037,2519512,2039,1124269,1124269,2034,3
2135,2520056,2136,1124269,1124269,2133,13
2235,2520592,2236,1124269,1124269,2234,20
2335,2520592,2335,1124269,1124269,2334,16
2438,2519516,2442,1124269,1124269,2435,6
2539,2519864,2540,1124269,1124269,2537,9
2637,2519512,2637,1124269,1124269,2636,15
2740,2519512,2742,1124269,1124269,2739,20
2841,2519120,2842,1124269,1124269,2839,6
2942,2519120,2943,1124269,1124269,2939,10
3039,2520344,3039,1124269,1124269,3038,16
3142,2520344,3144,1124269,1124269,3141,15
3193,2519356,3194,1124269,1124269,3191,10
3293,2519636,3294,1124269,1124269,3291,5
3392,2520096,3392,1124269,1124269,3390,15
3493,2520744,3494,1124269,1124269,3491,18
3591,2536992,3591,1124269,1124269,3590,31
3691,2535692,3692,1124269,1124269,3690,12
3792,2519308,3792,1124269,1124269,3791,27
3892,2517992,3892,1124269,1124269,3891,32
3996,2518200,3997,1124269,1124269,3994,18
4094,2519204,4095,1124269,1124269,4093,23
4194,2521688,4195,1124269,1124269,4193,29
4296,2521372,4297,1124269,1124269,4293,24
4393,2522544,4394,1124269,1124269,4393,18
4494,2517884,4494,1124269,1124269,4493,17
4594,2518684,4594,1124269,1124269,4594,19
4694,2516804,4695,1124269,1124269,4694,22
4795,2517784,4795,1124269,1124269,4794,16
4896,2524224,4897,1124269,1124269,4895,24
4995,2523532,4996,1124269,1124269,4995,18
5097,2523992,5098,1124269,1124269,5096,13
5197,2525248,5197,1124269,1124269,5196,32
5296,2525672,5297,1124269,1124269,5296,32
5397,2541820,5397,1124269,1124269,5396,21
5499,2556988,5499,1124269,1124269,5498,19
5598,2558936,5599,1124269,1124269,5598,24
5700,2558772,5700,1124269,1124269,5699,26
5801,2559592,5801,1124269,1124269,5800,11
5901,2560084,5902,1124269,1124269,5900,29
6002,2560284,6002,1124269,1124269,6001,24
6102,2560024,6102,1124269,1124269,6101,23
6202,2559240,6202,1124269,1124269,6201,9
6303,2561076,6304,1124269,1124269,6302,20
6406,2561272,6406,1124269,1124269,6404,14
6504,2561148,6504,1124269,1124269,6503,16
6606,2560276,6607,1124269,1124269,6604,3
6705,2561404,6705,1124269,1124269,6704,16
6805,2561704,6806,1124269,1124269,6804,14
6905,2561704,6906,1124269,1124269,6904,17
7006,2560724,7006,1124269,1124269,7005,12
7106,2560824,7106,1124269,1124269,7105,10
7207,2561820,7208,1124269,1124269,7206,21
7307,2562068,7307,1124269,1124269,7306,17
7407,2561480,7408,1124269,1124269,7407,10
7509,2561348,7509,1124269,1124269,7508,8
7609,2561648,7610,1124269,1124269,7608,17
7709,2561060,7710,1124269,1124269,7708,15
7810,2561060,7810,1124269,1124269,7808,16
7910,2560336,7910,1124269,1124269,7909,1
8011,2561608,8012,1124269,1124269,8010,13
8111,2561532,8111,1124269,1124269,8110,16
8211,2561532,8212,1124269,1124269,8210,14
8312,2561220,8313,1124269,1124269,8311,15
8413,2561396,8414,1124269,1124269,8412,7
8514,2561868,8515,1124269,1124269,8513,16
8613,2561772,8614,1124269,1124269,8612,14
8714,2561184,8714,1124269,1124269,8713,15
8814,2561184,8815,1124269,1124269,8814,2
8916,2557672,8917,1124269,1124269,8915,15
9015,2557672,9016,1124269,1124269,9014,14
9116,2557136,9116,1124269,1124269,9115,15
9219,2557136,9219,1124269,1124269,9217,6
9318,2557532,9318,1124269,1124269,9317,16
9419,2557728,9419,1124269,1124269,9417,17
9518,2557624,9518,1124269,1124269,9517,15
9618,2557364,9619,1124269,1124269,9617,6
9720,2557804,9721,1124269,1124269,9719,13
9820,2558036,9820,1124269,1124269,9819,17
9921,2558036,9921,1124269,1124269,9920,16
10022,2556956,10022,1124269,1124269,10021,12
10123,2557288,10124,1124269,1124269,10122,11
10223,2557828,10224,1124269,1124269,10222,17
10324,2557632,10324,1124269,1124269,10322,19
10424,2557240,10424,1124269,1124269,10423,21
10524,2557032,10525,1124269,1124269,10523,4
10625,2557528,10626,1124269,1124269,10624,19
10725,2557776,10726,1124269,1124269,10724,18
10826,2556796,10826,1124269,1124269,10825,19
10926,2556796,10926,1124269,1124269,10925,2
11028,2557576,11028,1124269,1124269,11026,16
11128,2558020,11129,1124269,1124269,11127,16
11229,2558228,11229,1124269,1124269,11227,12
11330,2557704,11330,1124269,1124269,11328,6
