datetime,cpu,mem
Wed Aug  5 09:32:09 GMT 2020,2.4,75754
Wed Aug  5 09:32:09 GMT 2020,2.4,76468
Wed Aug  5 09:32:09 GMT 2020,2.4,93178
Wed Aug  5 09:32:10 GMT 2020,2.4,144428
Wed Aug  5 09:32:10 GMT 2020,2.4,201360
Wed Aug  5 09:32:11 GMT 2020,2.4,196757
Wed Aug  5 09:32:11 GMT 2020,2.4,184430
Wed Aug  5 09:32:12 GMT 2020,2.4,223337
Wed Aug  5 09:32:12 GMT 2020,2.4,224136
Wed Aug  5 09:32:13 GMT 2020,23,230793
Wed Aug  5 09:32:13 GMT 2020,23,230777
Wed Aug  5 09:32:14 GMT 2020,23,230820
Wed Aug  5 09:32:14 GMT 2020,23,229852
Wed Aug  5 09:32:14 GMT 2020,23,229909
Wed Aug  5 09:32:15 GMT 2020,23,229913
Wed Aug  5 09:32:15 GMT 2020,23,229955
Wed Aug  5 09:32:16 GMT 2020,23,250413
Wed Aug  5 09:32:16 GMT 2020,23,248408
Wed Aug  5 09:32:17 GMT 2020,23,243117
Wed Aug  5 09:32:17 GMT 2020,23,243113
Wed Aug  5 09:32:18 GMT 2020,23,243121
Wed Aug  5 09:32:18 GMT 2020,23,243122
Wed Aug  5 09:32:19 GMT 2020,23,242766
Wed Aug  5 09:32:19 GMT 2020,20,242786
Wed Aug  5 09:32:20 GMT 2020,20,242804
Wed Aug  5 09:32:20 GMT 2020,20,243414
Wed Aug  5 09:32:21 GMT 2020,20,252796
Wed Aug  5 09:32:21 GMT 2020,20,258741
Wed Aug  5 09:32:22 GMT 2020,20,251656
Wed Aug  5 09:32:22 GMT 2020,20,248048
Wed Aug  5 09:32:23 GMT 2020,20,248054
Wed Aug  5 09:32:23 GMT 2020,20,248046
Wed Aug  5 09:32:24 GMT 2020,20,248046
Wed Aug  5 09:32:24 GMT 2020,20,246826
Wed Aug  5 09:32:25 GMT 2020,20,246838
Wed Aug  5 09:32:25 GMT 2020,20,213027
Wed Aug  5 09:32:26 GMT 2020,20,212926
Wed Aug  5 09:32:26 GMT 2020,20,229398
Wed Aug  5 09:32:26 GMT 2020,20,229335
Wed Aug  5 09:32:27 GMT 2020,20,240296
Wed Aug  5 09:32:27 GMT 2020,20,258404
Wed Aug  5 09:32:28 GMT 2020,20,255356
Wed Aug  5 09:32:28 GMT 2020,20,256993
Wed Aug  5 09:32:29 GMT 2020,20,252683
Wed Aug  5 09:32:29 GMT 2020,20,252591
Wed Aug  5 09:32:30 GMT 2020,20,215215
Wed Aug  5 09:32:30 GMT 2020,20,214767
Wed Aug  5 09:32:31 GMT 2020,20,214767
Wed Aug  5 09:32:31 GMT 2020,22,231663
Wed Aug  5 09:32:31 GMT 2020,22,232057
Wed Aug  5 09:32:32 GMT 2020,22,232061
Wed Aug  5 09:32:32 GMT 2020,22,232057
Wed Aug  5 09:32:33 GMT 2020,22,232057
