Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,110807,2405538.8028933094,241547.26220614827,237642.57866184448,24.504052366019312,241547.26220614827,237642.57866184448
2,111798,2588466.7813620074,499725.18548387097,499725.18548387097,26.10849921635128,876876.2688679246,876876.2688679246
3,111714,2358597.6358744395,1446720.995515695,877225.5147982063,26.310571296426634,1548074.7696737044,938681.8128598848
4,111106,2460006.8674481516,972110.3318304779,890392.5888187556,25.062253990426715,1349274.5406758448,1235851.5406758448
5,110472,2462266.3463281957,1235273.7316409792,1235273.7316409792,21.051677243880327,3960775.947674419,3960775.947674419
6,111712,2501062.1022421527,809370.5748878923,809370.5748878923,25.914700878762893,969332.1063372717,969332.1063372717
7,109987,2392146.2987249545,110891.01183970856,110891.01183970856,19.494058579765827,391505.8874598071,391505.8874598071
8,111912,2551083.509400179,266925.0223813787,266925.0223813787,28.207862696553388,480121.17552334943,480121.17552334943
9,112409,2634037.543672014,1330046.327094474,289233.867201426,27.153297682709447,1743355.1156542057,379112.6156542056
10,113505,2639341.8005295675,265407.1270962048,262087.12709620476,30.001765225066197,265407.1270962048,262087.12709620476
