Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
11,2513888,12,0,0,80,19
81,2514888,82,0,0,180,21
181,2515960,182,0,0,281,18
284,2516380,286,0,0,384,17
385,2516152,387,0,0,484,6
486,2516152,487,0,0,583,14
584,2517020,585,0,0,686,23
687,2517248,688,0,0,786,10
788,2516856,789,0,0,887,11
888,2516968,889,0,0,986,19
987,2518080,988,0,0,1087,14
1088,2518080,1089,0,0,1189,12
1190,2517388,1192,0,0,1291,6
1293,2517720,1294,0,0,1389,18
1390,2518296,1390,0,0,1492,16
1494,2518820,1496,0,0,1593,16
1595,2517756,1597,0,0,1693,6
1695,2518036,1697,0,0,1792,16
1793,2519052,1794,0,0,1893,15
1894,2519052,1895,0,0,1995,12
1996,2518464,1998,0,0,2095,7
2097,2518912,2098,0,0,2194,17
2195,2519712,2195,0,0,2295,15
2296,2519832,2296,0,0,2395,12
2396,2516908,2396,0,0,2496,6
2499,2516968,2501,0,0,2596,17
2597,2516472,2597,0,0,2698,13
2700,2516672,2701,0,0,2799,10
2801,2515888,2802,0,0,2900,12
2902,2515888,2903,0,0,2998,15
2999,2516884,2999,0,0,3102,13
3106,2516780,3107,0,0,3201,9
3203,2515812,3204,0,0,3300,14
3301,2519724,3302,417085,417085,3399,26
3400,2534652,3401,417085,417085,3500,26
3501,2530612,3501,417085,417085,3607,1
3612,2514540,3615,417085,417085,3701,18
3704,2515316,3705,417085,417085,3801,31
3803,2515868,3804,417085,417085,3902,21
3903,2515624,3903,417085,417085,4003,18
4004,2516224,4005,417085,417085,4103,29
4104,2517612,4104,417085,417085,4205,30
4206,2519404,4207,417085,417085,4303,12
4304,2520004,4304,417085,417085,4403,31
4404,2521836,4404,417085,417085,4503,34
4504,2515560,4504,417085,417085,4605,9
4606,2515168,4607,417085,417085,4705,23
4706,2515308,4707,417085,417085,4805,24
4806,2540128,4806,417085,417085,4906,13
4906,2540376,4907,417085,417085,5007,23
