datetime,cpu,mem
Thu Aug  6 00:35:04 GMT 2020,20,76010
Thu Aug  6 00:35:04 GMT 2020,20,75743
Thu Aug  6 00:35:04 GMT 2020,20,75759
Thu Aug  6 00:35:05 GMT 2020,20,75759
Thu Aug  6 00:35:05 GMT 2020,20,75759
Thu Aug  6 00:35:06 GMT 2020,20,75759
Thu Aug  6 00:35:06 GMT 2020,20,75767
Thu Aug  6 00:35:06 GMT 2020,20,75767
Thu Aug  6 00:35:07 GMT 2020,20,75767
Thu Aug  6 00:35:07 GMT 2020,20,75767
Thu Aug  6 00:35:07 GMT 2020,20,75776
Thu Aug  6 00:35:08 GMT 2020,20,75776
Thu Aug  6 00:35:08 GMT 2020,20,75774
Thu Aug  6 00:35:08 GMT 2020,16,94471
Thu Aug  6 00:35:09 GMT 2020,16,96836
Thu Aug  6 00:35:09 GMT 2020,16,108083
Thu Aug  6 00:35:09 GMT 2020,16,125709
Thu Aug  6 00:35:10 GMT 2020,16,126272
Thu Aug  6 00:35:10 GMT 2020,16,126509
Thu Aug  6 00:35:11 GMT 2020,16,126728
Thu Aug  6 00:35:11 GMT 2020,16,128196
Thu Aug  6 00:35:11 GMT 2020,16,130490
Thu Aug  6 00:35:12 GMT 2020,16,132435
Thu Aug  6 00:35:12 GMT 2020,16,120311
Thu Aug  6 00:35:13 GMT 2020,16,120311
Thu Aug  6 00:35:14 GMT 2020,16,120311
Thu Aug  6 00:35:14 GMT 2020,16,119959
Thu Aug  6 00:35:15 GMT 2020,16,119973
Thu Aug  6 00:35:15 GMT 2020,16,133774
Thu Aug  6 00:35:16 GMT 2020,16,134034
Thu Aug  6 00:35:17 GMT 2020,0,134038
Thu Aug  6 00:35:17 GMT 2020,0,123402
Thu Aug  6 00:35:18 GMT 2020,0,184720
Thu Aug  6 00:35:18 GMT 2020,0,188697
Thu Aug  6 00:35:19 GMT 2020,0,188450
Thu Aug  6 00:35:19 GMT 2020,0,177498
Thu Aug  6 00:35:20 GMT 2020,0,183150
Thu Aug  6 00:35:20 GMT 2020,0,183222
Thu Aug  6 00:35:21 GMT 2020,0,183194
Thu Aug  6 00:35:22 GMT 2020,0.1,183599
Thu Aug  6 00:35:22 GMT 2020,0.1,177387
Thu Aug  6 00:35:23 GMT 2020,0.1,177399
Thu Aug  6 00:35:23 GMT 2020,0.1,177358
Thu Aug  6 00:35:24 GMT 2020,0.1,164341
Thu Aug  6 00:35:24 GMT 2020,0.1,164199
Thu Aug  6 00:35:25 GMT 2020,0.1,164215
Thu Aug  6 00:35:25 GMT 2020,0.1,164188
Thu Aug  6 00:35:26 GMT 2020,0.1,165611
Thu Aug  6 00:35:26 GMT 2020,0.1,166117
Thu Aug  6 00:35:26 GMT 2020,0.1,166089
Thu Aug  6 00:35:27 GMT 2020,0.1,166045
Thu Aug  6 00:35:27 GMT 2020,0.1,166589
Thu Aug  6 00:35:28 GMT 2020,0.1,216690
Thu Aug  6 00:35:28 GMT 2020,0.1,194702
Thu Aug  6 00:35:29 GMT 2020,0.1,196274
Thu Aug  6 00:35:30 GMT 2020,0.1,191823
Thu Aug  6 00:35:31 GMT 2020,0.1,194787
Thu Aug  6 00:35:31 GMT 2020,0.1,181696
Thu Aug  6 00:35:32 GMT 2020,0.1,181700
Thu Aug  6 00:35:33 GMT 2020,0.1,181772
Thu Aug  6 00:35:34 GMT 2020,0.1,181705
Thu Aug  6 00:35:35 GMT 2020,0.1,223728
Thu Aug  6 00:35:35 GMT 2020,0.1,224344
Thu Aug  6 00:35:36 GMT 2020,0.1,223709
Thu Aug  6 00:35:36 GMT 2020,0.1,180620
Thu Aug  6 00:35:37 GMT 2020,0.1,180515
Thu Aug  6 00:35:38 GMT 2020,0.1,214345
Thu Aug  6 00:35:39 GMT 2020,0.1,215624
Thu Aug  6 00:35:39 GMT 2020,0.1,215573
Thu Aug  6 00:35:40 GMT 2020,0.1,180586
