Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,66848,2358871.4071856285,636242.2694610779,636242.2694610779,28.115269461077844,836633.5354330709,836633.5354330709
2,67396,2400087.4413075782,783399.26448737,369404.1515601783,29.453804017848274,857280.8211382114,404242.26666666666
3,66902,2523151.1796407187,628871.1526946108,628871.1526946108,28.66560292588476,866156.5567010309,866156.5567010309
4,66139,2432088.278366112,482372.13464447804,65915.04992435704,27.173978819969744,1151075.7436823105,157291.87003610109
5,66269,2431957.589123867,1510529.339879154,1510529.339879154,27.665594965361763,1972328.2504930967,1972328.2504930967
6,65688,2598879.33484533,1134784.1981358752,1134784.1981358752,25.678353658536587,1477020.7023355835,1477020.7023355835
7,66846,2483675.365269461,817594.5134730539,817594.5134730539,28.33383233532934,1232851.3205417607,1232851.3205417607
8,67848,2333381.657817109,372491.50147492625,366513.50147492625,33.11071083613961,372491.50147492625,366513.50147492625
9,69785,2508530.3758967,496979.27403156384,496979.27403156384,43.42232441144565,776669.403587444,776669.403587444
10,69922,2527794.424068768,732720.893982808,732720.893982808,42.19914040114613,3157032.0,3157032.0
