Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,174599,2619697.4902411024,1054914.0591274397,1054265.0591274397,40.9902411021814,1054914.0591274397,1054265.0591274397
2,176086,2630345.639157655,874634.0978941377,874634.0978941377,45.89755264655663,1647086.934619507,1647086.934619507
3,177891,2536799.4295377675,806142.4064261556,806142.4064261556,50.5140924464487,1151446.5611916264,1151446.5611916264
4,175711,2626932.5248146034,1592767.5436394752,1592767.5436394752,44.1067208068704,2390514.98630137,2390514.98630137
5,174675,2635812.0206540446,965695.990246701,640728.6299483649,41.93224796571747,1212685.9589337176,804603.7478386167
6,177917,2619810.511837655,1097927.3466741827,1097927.3466741827,49.80777903043968,2092076.3834586467,2092076.3834586467
7,180838,2507827.3159301085,735769.6241685144,32571.260532150776,56.76426431040162,1122951.2707275804,49711.128595600676
8,181039,2494454.3977839337,826206.52132964,826206.52132964,57.24432132963989,1261677.4712351945,1261677.4712351945
9,184723,2498730.191096634,419292.9842562432,419292.9842562432,59.813246471226925,958235.3312655087,958235.3312655087
10,185876,2417625.3915857607,652029.1030204962,479765.33980582526,60.091185971845476,652029.1030204962,479765.33980582526
