Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
8,2655604,9,0,0,80,13
81,2655400,82,0,0,179,22
180,2656528,181,0,0,282,18
284,2656928,285,0,0,383,16
385,2657240,386,0,0,482,12
483,2656672,484,0,0,582,8
584,2656884,585,0,0,681,22
682,2657464,682,0,0,784,15
786,2658128,787,0,0,884,23
886,2657492,888,0,0,988,5
991,2657712,993,0,0,1084,21
1085,2659004,1085,0,0,1187,13
1189,2659004,1192,0,0,1288,15
1290,2659004,1291,0,0,1388,10
1390,2658024,1392,0,0,1487,7
1488,2658636,1489,0,0,1587,18
1588,2658912,1589,0,0,1690,13
1691,2658284,1693,0,0,1790,14
1791,2657424,1793,0,0,1891,7
1894,2657252,1895,0,0,1989,15
1991,2657996,1991,0,0,2089,17
2091,2657600,2092,0,0,2189,16
2190,2657600,2191,0,0,2292,10
2295,2657012,2296,0,0,2392,10
2395,2657012,2396,0,0,2491,19
2492,2657748,2493,0,0,2594,16
2596,2656768,2597,0,0,2694,17
2696,2656172,2698,0,0,2797,5
2800,2656308,2802,0,0,2894,18
2896,2656912,2897,0,0,2994,14
2996,2657108,2997,0,0,3096,16
3098,2657344,3099,0,0,3197,11
3199,2656756,3200,0,0,3297,6
3299,2657004,3301,0,0,3396,15
3397,2657544,3398,0,0,3497,14
3498,2657348,3499,0,0,3599,15
3600,2657348,3601,0,0,3697,20
3698,2670592,3698,0,0,3798,33
3798,2670744,3799,0,0,3898,37
3898,2656976,3899,0,0,4000,26
4003,2657640,4004,0,0,4100,20
4102,2658240,4107,0,0,4199,31
4200,2659528,4201,0,0,4300,31
4300,2663336,4301,0,0,4400,23
4401,2664136,4401,0,0,4501,16
4502,2659928,4503,0,0,4601,37
4602,2661328,4603,0,0,4702,36
4704,2662320,4705,0,0,4802,25
4803,2663488,4803,0,0,4902,26
4903,2663164,4904,0,0,5003,23
5004,2664688,5005,0,0,5103,25
5103,2659856,5104,0,0,5203,16
5204,2660820,5205,0,0,5303,30
5304,2662300,5305,0,0,5404,36
5404,2659232,5404,0,0,5504,34
5505,2632708,5505,0,0,5604,12
5605,2633108,5606,0,0,5706,28
5707,2633664,5707,0,0,5805,35
5806,2634308,5807,0,0,5906,40
5906,2641876,5907,0,0,6006,19
6007,2654768,6007,0,0,6107,16
6108,2655040,6109,4936225,4936225,6207,15
6207,2655620,6208,4936225,4936225,6307,0
6308,2655808,6308,4936225,4936225,6408,34
6408,2658868,6409,4936225,4936225,6508,31
6508,2659056,6509,4936225,4936225,6608,30
6609,2661188,6609,4936225,4936225,6709,30
6709,2661988,6710,4936225,4936225,6809,31
6810,2667052,6810,4936225,4936225,6909,24
6910,2666460,6910,4936225,4936225,7010,19
7011,2666448,7012,4936225,4936225,7110,22
7111,2666820,7111,4936225,4936225,7211,18
7212,2666820,7212,4936225,4936225,7312,26
7313,2666672,7313,4936225,4936225,7412,21
7413,2665932,7413,4936225,4936225,7513,8
7515,2666568,7515,4936225,4936225,7614,22
7614,2666636,7615,4936225,4936225,7714,15
7716,2666860,7716,4936225,4936225,7814,15
7815,2666768,7816,4936225,4936225,7915,19
7916,2666860,7916,4936225,4936225,8016,4
8017,2665908,8017,4936225,4936225,8116,11
8117,2666584,8118,4936225,4936225,8216,14
8217,2667152,8218,4936225,4936225,8317,16
8318,2667152,8318,4936225,4936225,8417,20
8418,2667336,8419,4936225,4936225,8518,13
8519,2667140,8520,4936225,4936225,8619,10
8620,2667360,8621,4936225,4936225,8720,14
8721,2667828,8721,4936225,4936225,8821,16
8822,2667812,8823,4936225,4936225,8920,23
8921,2667932,8921,4936225,4936225,9021,17
9022,2667044,9022,4936225,4936225,9122,10
9123,2667268,9123,4936225,4936225,9222,31
9223,2668384,9223,4936225,4936225,9322,31
9323,2669276,9323,4936225,4936225,9423,31
9424,2669772,9424,4936225,4936225,9523,32
9524,2669924,9525,4936225,4936225,9624,20
9625,2671300,9625,4936225,4936225,9724,42
9725,2667444,9725,4936225,4936225,9826,42
9827,2672516,9828,4936225,4936225,9925,45
9926,2665264,9926,4936225,4936225,10025,52
10026,2666492,10026,4936225,4936225,10126,50
10128,2669564,10128,4936225,4936225,10226,48
10227,2674620,10228,4936225,4936225,10327,52
10328,2651828,10329,4936225,4936225,10428,30
10430,2651688,10431,4936225,4936225,10528,29
10529,2649220,10529,4936225,4936225,10628,16
10630,2649776,10630,4936225,4936225,10728,25
10729,2650568,10730,4936225,4936225,10830,56
10831,2653952,10832,4936225,4936225,10930,30
10931,2654560,10931,4936225,4936225,11031,22
11032,2654476,11033,4936225,4936225,11131,8
11133,2654564,11136,4936225,4936225,11231,22
11232,2654980,11233,4936225,4936225,11332,28
11333,2656896,11334,4936225,4936225,11432,55
11434,2662940,11435,4936225,4936225,11532,47
11533,2666120,11534,4936225,4936225,11634,34
11636,2665560,11637,4936225,4936225,11733,50
11735,2669176,11735,4936225,4936225,11836,67
