Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,67088,2536578.9014925375,1559854.0253731343,1559854.0253731343,28.425373134328357,2686638.0385604114,2686638.0385604114
2,66687,2602100.024024024,0.0,0.0,28.123244866488108,0,0
3,67325,2525040.625,1442231.1666666667,1442231.1666666667,29.449404761904763,1794776.562962963,1794776.562962963
4,66849,2572719.994011976,541260.0958083832,541260.0958083832,27.614630768403313,695311.0461538462,695311.0461538462
5,66758,2388057.4632683657,833136.8875562219,833136.8875562219,28.617052792943856,894850.7310789049,894850.7310789049
6,66395,2353681.978883861,499833.4343891403,499833.4343891403,28.060331825037707,798529.0771084337,798529.0771084337
7,67457,2481765.590504451,109481.72106824926,0.0,29.303055851508773,488680.0,0.0
8,67458,2664607.068249258,586371.5474777448,586371.5474777448,31.393175074183976,890122.5743243244,890122.5743243244
9,69292,2466546.161849711,164436.35838150288,164436.35838150288,39.54260917504761,209944.57564575647,209944.57564575647
10,68699,2463871.5393586005,429836.18804664724,429836.18804664724,35.98396501457726,664116.2725225225,664116.2725225225
