datetime,cpu,mem
Thu Aug  6 10:23:39 GMT 2020,10,66617
Thu Aug  6 10:23:40 GMT 2020,10,86044
Thu Aug  6 10:23:40 GMT 2020,10,85900
Thu Aug  6 10:23:40 GMT 2020,10,103678
Thu Aug  6 10:23:41 GMT 2020,10,104426
Thu Aug  6 10:23:41 GMT 2020,10,104422
Thu Aug  6 10:23:42 GMT 2020,10,104418
Thu Aug  6 10:23:42 GMT 2020,10,104466
Thu Aug  6 10:23:42 GMT 2020,10,104572
Thu Aug  6 10:23:43 GMT 2020,10,104568
Thu Aug  6 10:23:43 GMT 2020,10,104568
Thu Aug  6 10:23:44 GMT 2020,10,104568
Thu Aug  6 10:23:44 GMT 2020,10,104079
Thu Aug  6 10:23:44 GMT 2020,10,104461
Thu Aug  6 10:23:45 GMT 2020,10,105003
Thu Aug  6 10:23:45 GMT 2020,10,104999
Thu Aug  6 10:23:45 GMT 2020,10,105003
Thu Aug  6 10:23:46 GMT 2020,10,105005
Thu Aug  6 10:23:46 GMT 2020,10,105261
Thu Aug  6 10:23:46 GMT 2020,10,105337
Thu Aug  6 10:23:47 GMT 2020,10,106639
Thu Aug  6 10:23:47 GMT 2020,10,92944
Thu Aug  6 10:23:48 GMT 2020,10,93063
Thu Aug  6 10:23:48 GMT 2020,10,93061
Thu Aug  6 10:23:48 GMT 2020,10,110634
Thu Aug  6 10:23:49 GMT 2020,10,110639
Thu Aug  6 10:23:49 GMT 2020,10,128947
Thu Aug  6 10:23:49 GMT 2020,10,111625
Thu Aug  6 10:23:50 GMT 2020,10,112285
Thu Aug  6 10:23:50 GMT 2020,10,113199
Thu Aug  6 10:23:51 GMT 2020,10,113115
Thu Aug  6 10:23:51 GMT 2020,10,113111
Thu Aug  6 10:23:51 GMT 2020,10,113111
Thu Aug  6 10:23:52 GMT 2020,10,113161
Thu Aug  6 10:23:52 GMT 2020,10,95935
Thu Aug  6 10:23:53 GMT 2020,10,95915
Thu Aug  6 10:23:53 GMT 2020,10,95473
Thu Aug  6 10:23:54 GMT 2020,10,95472
Thu Aug  6 10:23:54 GMT 2020,10,112051
Thu Aug  6 10:23:54 GMT 2020,10,112242
Thu Aug  6 10:23:55 GMT 2020,10,112202
Thu Aug  6 10:23:55 GMT 2020,10,112202
Thu Aug  6 10:23:56 GMT 2020,10,112336
Thu Aug  6 10:23:56 GMT 2020,10,113697
Thu Aug  6 10:23:56 GMT 2020,10,113976
Thu Aug  6 10:23:57 GMT 2020,10,113940
Thu Aug  6 10:23:57 GMT 2020,10,113941
Thu Aug  6 10:23:57 GMT 2020,10,117729
Thu Aug  6 10:23:58 GMT 2020,10,120438
Thu Aug  6 10:23:58 GMT 2020,10,123130
Thu Aug  6 10:23:59 GMT 2020,10,126542
Thu Aug  6 10:23:59 GMT 2020,10,125954
Thu Aug  6 10:24:00 GMT 2020,10,126010
Thu Aug  6 10:24:00 GMT 2020,10,126018
Thu Aug  6 10:24:01 GMT 2020,10,126018
Thu Aug  6 10:24:01 GMT 2020,10,126022
Thu Aug  6 10:24:02 GMT 2020,10,126026
Thu Aug  6 10:24:02 GMT 2020,10,126026
Thu Aug  6 10:24:03 GMT 2020,10,126026
Thu Aug  6 10:24:03 GMT 2020,10,126026
