STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1028750,0,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52760,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",540573,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62031,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",451719,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49739,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",402135,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64635,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",455729,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62656,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",418177,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58542,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",569895,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64740,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",712448,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60781,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1328438,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60000,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",650156,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59948,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",666302,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49844,0,0,0,True
