datetime,cpu,mem
Wed Aug  5 22:11:22 GMT 2020,8.1,114954
Wed Aug  5 22:11:23 GMT 2020,8.1,117724
Wed Aug  5 22:11:23 GMT 2020,8.1,121397
Wed Aug  5 22:11:24 GMT 2020,8.1,120782
Wed Aug  5 22:11:24 GMT 2020,8.1,120770
Wed Aug  5 22:11:25 GMT 2020,8.1,120798
Wed Aug  5 22:11:25 GMT 2020,8.1,120798
Wed Aug  5 22:11:25 GMT 2020,8.1,119142
Wed Aug  5 22:11:26 GMT 2020,8.1,119162
Wed Aug  5 22:11:26 GMT 2020,8.1,119166
Wed Aug  5 22:11:27 GMT 2020,8.1,119170
Wed Aug  5 22:11:27 GMT 2020,8.1,119181
Wed Aug  5 22:11:28 GMT 2020,8.1,125229
Wed Aug  5 22:11:28 GMT 2020,8.1,125158
Wed Aug  5 22:11:28 GMT 2020,8.1,126020
Wed Aug  5 22:11:29 GMT 2020,23,125227
Wed Aug  5 22:11:29 GMT 2020,23,127195
Wed Aug  5 22:11:30 GMT 2020,23,128248
Wed Aug  5 22:11:30 GMT 2020,23,131841
Wed Aug  5 22:11:31 GMT 2020,23,132214
Wed Aug  5 22:11:31 GMT 2020,23,131282
Wed Aug  5 22:11:32 GMT 2020,23,131290
Wed Aug  5 22:11:32 GMT 2020,23,131290
Wed Aug  5 22:11:33 GMT 2020,23,131723
Wed Aug  5 22:11:33 GMT 2020,23,159467
Wed Aug  5 22:11:34 GMT 2020,23,163079
Wed Aug  5 22:11:34 GMT 2020,23,187591
Wed Aug  5 22:11:35 GMT 2020,23,203016
Wed Aug  5 22:11:35 GMT 2020,0,209989
Wed Aug  5 22:11:36 GMT 2020,0,212720
Wed Aug  5 22:11:36 GMT 2020,0,225761
Wed Aug  5 22:11:37 GMT 2020,0,258045
Wed Aug  5 22:11:37 GMT 2020,0,258341
Wed Aug  5 22:11:38 GMT 2020,0,244154
Wed Aug  5 22:11:39 GMT 2020,0,245851
Wed Aug  5 22:11:40 GMT 2020,0,245981
Wed Aug  5 22:11:40 GMT 2020,0.1,253257
Wed Aug  5 22:11:41 GMT 2020,0.1,264610
Wed Aug  5 22:11:42 GMT 2020,0.1,263551
Wed Aug  5 22:11:43 GMT 2020,0.1,263220
Wed Aug  5 22:11:44 GMT 2020,0.1,254986
Wed Aug  5 22:11:44 GMT 2020,0.1,254904
Wed Aug  5 22:11:45 GMT 2020,0.1,204573
Wed Aug  5 22:11:46 GMT 2020,0.1,199794
Wed Aug  5 22:11:47 GMT 2020,41,234007
Wed Aug  5 22:11:47 GMT 2020,41,232360
Wed Aug  5 22:11:48 GMT 2020,41,241635
