STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",351615,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50208,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55468,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1027187,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48386,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1025885,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49584,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41771,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45417,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1421771,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3407916,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45313,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66771,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58906,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",80729,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67083,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63490,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",5341250,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53334,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65886,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58333,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59791,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2634896,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",85469,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3595677,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3537968,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",100208,0,0,0,True
