STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1084167,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50052,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54115,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45052,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54896,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",77916,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",656250,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57084,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",399948,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",519062,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45937,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52135,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",465729,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59843,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",480625,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",803542,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60729,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",444896,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69739,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",560417,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293958,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",255781,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63802,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66563,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",399167,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53385,0,0,0,True
