Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,160747,2626619.2618453866,784463.1839152119,259618.86845386535,29.915147449331783,1684443.0348058902,557468.092369478
2,160502,2532623.7278401996,841216.7197253433,841216.7197253433,31.177278401997505,1914246.0014204546,1914246.0014204546
3,161831,2496991.214860681,566738.6965944272,566738.6965944272,32.17089783281734,1215515.2656042497,1215515.2656042497
4,160011,2528284.4633688163,483377.3613024421,483377.3613024421,30.016280525986225,542864.729957806,542864.729957806
5,160328,2430809.5975,822709.770625,669982.470625,30.629756640625,914121.9673611111,744424.9673611111
6,161389,2588458.7262569834,232949.45623836128,14009.02172563625,31.471135940409685,520501.48959778086,31301.71151178918
7,151164,2618664.8779840847,1199208.2135278515,1192545.2135278515,21.964854111405835,1199208.2135278515,1192545.2135278515
8,164160,2583199.4407814406,252372.33028083027,246605.79487179487,34.90346897031879,252372.33028083027,246605.79487179487
9,165324,2587741.453001819,410942.95997574285,410942.95997574285,39.20012128562765,708092.9373040752,708092.9373040752
10,167040,2609021.354141657,364280.53541416564,364280.53541416564,42.03361344537815,874483.2449567723,874483.2449567723
