datetime,cpu,mem
Thu Aug  6 15:04:31 GMT 2020,20,80066
Thu Aug  6 15:04:31 GMT 2020,20,79454
Thu Aug  6 15:04:32 GMT 2020,20,79490
Thu Aug  6 15:04:32 GMT 2020,20,79494
Thu Aug  6 15:04:33 GMT 2020,20,79494
Thu Aug  6 15:04:33 GMT 2020,20,79488
Thu Aug  6 15:04:33 GMT 2020,20,79488
Thu Aug  6 15:04:34 GMT 2020,20,79016
Thu Aug  6 15:04:34 GMT 2020,20,79036
Thu Aug  6 15:04:35 GMT 2020,20,79040
Thu Aug  6 15:04:35 GMT 2020,20,79040
Thu Aug  6 15:04:36 GMT 2020,20,79049
Thu Aug  6 15:04:36 GMT 2020,20,79034
Thu Aug  6 15:04:36 GMT 2020,0,116405
Thu Aug  6 15:04:37 GMT 2020,0,108399
Thu Aug  6 15:04:37 GMT 2020,0,160148
Thu Aug  6 15:04:37 GMT 2020,0,138108
Thu Aug  6 15:04:38 GMT 2020,0,142580
Thu Aug  6 15:04:38 GMT 2020,0,145717
Thu Aug  6 15:04:39 GMT 2020,0,147720
Thu Aug  6 15:04:39 GMT 2020,0,149936
Thu Aug  6 15:04:40 GMT 2020,0,153354
Thu Aug  6 15:04:41 GMT 2020,0,141626
Thu Aug  6 15:04:41 GMT 2020,0,141614
Thu Aug  6 15:04:42 GMT 2020,0,141594
Thu Aug  6 15:04:43 GMT 2020,0,141593
Thu Aug  6 15:04:43 GMT 2020,0,155824
Thu Aug  6 15:04:44 GMT 2020,0,155470
Thu Aug  6 15:04:45 GMT 2020,0,160600
Thu Aug  6 15:04:45 GMT 2020,0.1,182615
Thu Aug  6 15:04:46 GMT 2020,0.1,189231
Thu Aug  6 15:04:47 GMT 2020,0.1,217895
Thu Aug  6 15:04:48 GMT 2020,0.1,209386
Thu Aug  6 15:04:48 GMT 2020,0.1,214934
Thu Aug  6 15:04:49 GMT 2020,0.1,214942
Thu Aug  6 15:04:50 GMT 2020,0.1,205504
Thu Aug  6 15:04:50 GMT 2020,0.1,200892
Thu Aug  6 15:04:51 GMT 2020,0.1,200517
Thu Aug  6 15:04:52 GMT 2020,0.1,186647
Thu Aug  6 15:04:52 GMT 2020,0.1,186848
Thu Aug  6 15:04:53 GMT 2020,0.1,186849
Thu Aug  6 15:04:54 GMT 2020,0.1,186777
Thu Aug  6 15:04:54 GMT 2020,0.1,188933
Thu Aug  6 15:04:55 GMT 2020,0.1,188589
Thu Aug  6 15:04:55 GMT 2020,0.1,188626
Thu Aug  6 15:04:56 GMT 2020,-13.1,247149
Thu Aug  6 15:04:57 GMT 2020,-13.1,210730
Thu Aug  6 15:04:57 GMT 2020,-13.1,211762
Thu Aug  6 15:04:58 GMT 2020,-13.1,212616
Thu Aug  6 15:04:59 GMT 2020,-13.1,214217
Thu Aug  6 15:05:00 GMT 2020,-13.1,200073
Thu Aug  6 15:05:01 GMT 2020,-13.1,200081
Thu Aug  6 15:05:02 GMT 2020,-13.1,200094
Thu Aug  6 15:05:03 GMT 2020,-13.1,243285
Thu Aug  6 15:05:04 GMT 2020,-13.1,243267
Thu Aug  6 15:05:05 GMT 2020,-13.1,242323
